Data,COMTRSCA51006
2020-03-27,0.0
2020-03-28,0.0
2020-03-29,0.0
2020-03-30,0.0
2020-03-31,0.0
2020-04-01,0.0
2020-04-02,0.0
2020-04-03,0.0
2020-04-04,0.0
2020-04-05,0.0
2020-04-06,1.0
2020-04-07,1.0
2020-04-08,1.0
2020-04-09,1.0
2020-04-10,1.0
2020-04-11,1.0
2020-04-12,1.0
2020-04-13,1.0
2020-04-14,1.0
2020-04-15,1.0
2020-04-16,1.0
2020-04-17,1.0
2020-04-18,1.0
2020-04-19,1.0
2020-04-20,1.0
2020-04-21,1.0
2020-04-22,1.0
2020-04-23,1.0
2020-04-24,2.0
2020-04-25,2.0
2020-04-26,2.0
2020-04-27,2.0
2020-04-28,2.0
2020-04-29,3.0
2020-04-30,3.0
2020-05-01,4.0
2020-05-02,4.0
2020-05-03,4.0
2020-05-04,4.0
2020-05-05,5.0
2020-05-06,7.0
2020-05-07,7.0
2020-05-08,7.0
2020-05-09,9.0
2020-05-10,10.0
2020-05-11,10.0
2020-05-12,10.0
2020-05-13,11.0
2020-05-14,11.0
2020-05-15,12.0
2020-05-16,12.0
2020-05-17,17.0
2020-05-18,17.0
2020-05-19,17.0
2020-05-20,20.0
2020-05-21,21.0
2020-05-22,23.0
2020-05-23,26.0
2020-05-24,26.0
2020-05-25,27.0
2020-05-26,28.0
2020-05-27,29.0
2020-05-28,29.0
2020-05-29,29.0
2020-05-30,42.0
2020-05-31,42.0
2020-06-01,42.0
2020-06-02,57.0
2020-06-03,58.0
2020-06-04,60.0
2020-06-05,60.0
2020-06-06,60.0
2020-06-07,60.0
2020-06-08,62.0
2020-06-09,68.0
2020-06-10,88.0
2020-06-11,116.0
2020-06-12,121.0
2020-06-13,121.0
2020-06-14,138.0
2020-06-15,139.0
2020-06-16,142.0
2020-06-17,156.0
