Data,NEALRSCA27003
2020-03-27,0.0
2020-03-28,0.0
2020-03-29,0.0
2020-03-30,0.0
2020-03-31,0.0
2020-04-01,0.0
2020-04-02,0.0
2020-04-03,0.0
2020-04-04,0.0
2020-04-05,0.0
2020-04-06,0.0
2020-04-07,0.0
2020-04-08,0.0
2020-04-09,0.0
2020-04-10,0.0
2020-04-11,0.0
2020-04-12,0.0
2020-04-13,0.0
2020-04-14,0.0
2020-04-15,0.0
2020-04-16,1.0
2020-04-17,1.0
2020-04-18,1.0
2020-04-19,3.0
2020-04-20,4.0
2020-04-21,3.0
2020-04-22,4.0
2020-04-23,4.0
2020-04-24,5.0
2020-04-25,9.0
2020-04-26,15.0
2020-04-27,17.0
2020-04-28,21.0
2020-04-29,25.0
2020-04-30,28.0
2020-05-01,30.0
2020-05-02,40.0
2020-05-03,42.0
2020-05-04,43.0
2020-05-05,50.0
2020-05-06,51.0
2020-05-07,57.0
2020-05-08,63.0
2020-05-09,65.0
2020-05-10,75.0
2020-05-11,80.0
2020-05-12,94.0
2020-05-13,101.0
2020-05-14,105.0
2020-05-15,129.0
2020-05-16,136.0
2020-05-17,158.0
2020-05-18,162.0
2020-05-19,173.0
2020-05-20,180.0
2020-05-21,213.0
2020-05-22,219.0
2020-05-23,224.0
2020-05-24,233.0
2020-05-25,263.0
2020-05-26,273.0
2020-05-27,283.0
2020-05-28,301.0
2020-05-29,330.0
2020-05-30,350.0
2020-05-31,361.0
2020-06-01,459.0
2020-06-02,467.0
2020-06-03,473.0
2020-06-04,577.0
2020-06-05,598.0
2020-06-06,698.0
2020-06-07,761.0
2020-06-08,761.0
2020-06-09,816.0
2020-06-10,852.0
2020-06-11,960.0
2020-06-12,1053.0
2020-06-13,1078.0
2020-06-14,1123.0
2020-06-15,1134.0
2020-06-16,1171.0
2020-06-17,1235.0
2020-06-18,1292.0
2020-06-19,1330.0
2020-06-20,1337.0
2020-06-21,1382.0
2020-06-22,1402.0
2020-06-23,1431.0
2020-06-24,1440.0
2020-06-25,1524.0
2020-06-26,1578.0
2020-06-27,1611.0
2020-06-28,1625.0
2020-06-29,1675.0
2020-06-30,1724.0
2020-07-01,1774.0
2020-07-02,1777.0
2020-07-03,1885.0
2020-07-04,1934.0
2020-07-05,1944.0
2020-07-06,1963.0
2020-07-07,2001.0
2020-07-08,2034.0
2020-07-09,2053.0
2020-07-10,2095.0
2020-07-11,2133.0
2020-07-12,2134.0
2020-07-13,2147.0
2020-07-14,2155.0
2020-07-15,2195.0
2020-07-16,2244.0
2020-07-17,2253.0
2020-07-18,2260.0
2020-07-19,2284.0
2020-07-20,2284.0
2020-07-21,2305.0
2020-07-22,2329.0
2020-07-23,2373.0
2020-07-24,2397.0
2020-07-25,2409.0
2020-07-26,2445.0
2020-07-27,2613.0
2020-07-28,2666.0
2020-07-29,2705.0
2020-07-30,2726.0
2020-07-31,2756.0
2020-08-01,2860.0
2020-08-02,2886.0
2020-08-03,2926.0
2020-08-04,2961.0
2020-08-05,3007.0
2020-08-06,3033.0
2020-08-07,3058.0
2020-08-08,3084.0
2020-08-09,3087.0
2020-08-10,3089.0
2020-08-11,3104.0
2020-08-12,3154.0
2020-08-13,3184.0
2020-08-14,3203.0
2020-08-15,3228.0
2020-08-16,3265.0
2020-08-17,3301.0
2020-08-18,3340.0
2020-08-19,3349.0
