Data,NEALRSOA27008
2020-03-27,0.0
2020-03-28,0.0
2020-03-29,0.0
2020-03-30,0.0
2020-03-31,0.0
2020-04-01,0.0
2020-04-02,0.0
2020-04-03,0.0
2020-04-04,0.0
2020-04-05,0.0
2020-04-06,0.0
2020-04-07,0.0
2020-04-08,0.0
2020-04-09,0.0
2020-04-10,0.0
2020-04-11,0.0
2020-04-12,0.0
2020-04-13,0.0
2020-04-14,0.0
2020-04-15,0.0
2020-04-16,0.0
2020-04-17,0.0
2020-04-18,0.0
2020-04-19,0.0
2020-04-20,0.0
2020-04-21,0.0
2020-04-22,0.0
2020-04-23,0.0
2020-04-24,0.0
2020-04-25,1.0
2020-04-26,1.0
2020-04-27,1.0
2020-04-28,1.0
2020-04-29,1.0
2020-04-30,1.0
2020-05-01,1.0
2020-05-02,1.0
2020-05-03,1.0
2020-05-04,1.0
2020-05-05,2.0
2020-05-06,2.0
2020-05-07,3.0
2020-05-08,3.0
2020-05-09,4.0
2020-05-10,4.0
2020-05-11,4.0
2020-05-12,4.0
2020-05-13,4.0
2020-05-14,4.0
2020-05-15,4.0
2020-05-16,4.0
2020-05-17,4.0
2020-05-18,4.0
2020-05-19,4.0
2020-05-20,5.0
2020-05-21,5.0
2020-05-22,5.0
2020-05-23,5.0
2020-05-24,6.0
2020-05-25,6.0
2020-05-26,6.0
2020-05-27,7.0
2020-05-28,7.0
2020-05-29,7.0
2020-05-30,7.0
2020-05-31,7.0
2020-06-01,7.0
2020-06-02,7.0
2020-06-03,7.0
2020-06-04,7.0
2020-06-05,7.0
2020-06-06,7.0
2020-06-07,7.0
2020-06-08,7.0
2020-06-09,8.0
2020-06-10,8.0
2020-06-11,8.0
2020-06-12,8.0
2020-06-13,8.0
2020-06-14,10.0
2020-06-15,10.0
2020-06-16,11.0
2020-06-17,11.0
2020-06-18,11.0
2020-06-19,11.0
2020-06-20,11.0
2020-06-21,11.0
2020-06-22,11.0
2020-06-23,12.0
2020-06-24,12.0
2020-06-25,16.0
2020-06-26,17.0
2020-06-27,19.0
2020-06-28,19.0
2020-06-29,19.0
2020-06-30,19.0
2020-07-01,19.0
2020-07-02,19.0
2020-07-03,20.0
2020-07-04,24.0
2020-07-05,24.0
2020-07-06,26.0
2020-07-07,27.0
2020-07-08,28.0
2020-07-09,30.0
2020-07-10,31.0
2020-07-11,33.0
2020-07-12,34.0
2020-07-13,34.0
2020-07-14,35.0
2020-07-15,35.0
2020-07-16,35.0
2020-07-17,35.0
2020-07-18,36.0
2020-07-19,38.0
2020-07-20,39.0
2020-07-21,39.0
2020-07-22,39.0
2020-07-23,39.0
