Data,NEPERSOA26002
2020-03-27,0.0
2020-03-28,0.0
2020-03-29,0.0
2020-03-30,0.0
2020-03-31,0.0
2020-04-01,0.0
2020-04-02,0.0
2020-04-03,0.0
2020-04-04,0.0
2020-04-05,0.0
2020-04-06,0.0
2020-04-07,0.0
2020-04-08,0.0
2020-04-09,0.0
2020-04-10,1.0
2020-04-11,2.0
2020-04-12,2.0
2020-04-13,2.0
2020-04-14,2.0
2020-04-15,2.0
2020-04-16,3.0
2020-04-17,3.0
2020-04-18,3.0
2020-04-19,3.0
2020-04-20,3.0
2020-04-21,3.0
2020-04-22,3.0
2020-04-23,5.0
2020-04-24,5.0
2020-04-25,5.0
2020-04-26,5.0
2020-04-27,6.0
2020-04-28,8.0
2020-04-29,8.0
2020-04-30,8.0
2020-05-01,9.0
2020-05-02,10.0
2020-05-03,10.0
2020-05-04,10.0
2020-05-05,10.0
2020-05-06,12.0
2020-05-07,12.0
2020-05-08,16.0
2020-05-09,16.0
2020-05-10,16.0
2020-05-11,16.0
2020-05-12,16.0
2020-05-13,16.0
2020-05-14,16.0
2020-05-15,17.0
2020-05-16,18.0
2020-05-17,19.0
2020-05-18,20.0
2020-05-19,20.0
2020-05-20,23.0
2020-05-21,26.0
2020-05-22,27.0
2020-05-23,28.0
2020-05-24,29.0
2020-05-25,29.0
2020-05-26,30.0
2020-05-27,32.0
2020-05-28,32.0
2020-05-29,33.0
2020-05-30,33.0
2020-05-31,33.0
2020-06-01,35.0
2020-06-02,35.0
2020-06-03,36.0
2020-06-04,36.0
2020-06-05,37.0
2020-06-06,38.0
2020-06-07,38.0
2020-06-08,39.0
2020-06-09,39.0
2020-06-10,41.0
2020-06-11,42.0
2020-06-12,43.0
2020-06-13,47.0
2020-06-14,48.0
2020-06-15,48.0
2020-06-16,51.0
2020-06-17,51.0
2020-06-18,51.0
2020-06-19,52.0
2020-06-20,52.0
2020-06-21,52.0
2020-06-22,52.0
2020-06-23,53.0
2020-06-24,54.0
2020-06-25,55.0
2020-06-26,55.0
2020-06-27,55.0
2020-06-28,55.0
2020-06-29,55.0
2020-06-30,56.0
2020-07-01,56.0
2020-07-02,57.0
2020-07-03,57.0
2020-07-04,57.0
2020-07-05,58.0
2020-07-06,60.0
2020-07-07,60.0
2020-07-08,60.0
2020-07-09,61.0
2020-07-10,61.0
2020-07-11,61.0
2020-07-12,62.0
2020-07-13,62.0
2020-07-14,62.0
2020-07-15,63.0
2020-07-16,63.0
2020-07-17,64.0
2020-07-18,67.0
2020-07-19,67.0
2020-07-20,68.0
2020-07-21,68.0
2020-07-22,68.0
2020-07-23,69.0
2020-07-24,69.0
2020-07-25,69.0
2020-07-26,70.0
2020-07-27,70.0
2020-07-28,71.0
2020-07-29,71.0
2020-07-30,72.0
2020-07-31,73.0
2020-08-01,74.0
2020-08-02,74.0
2020-08-03,75.0
2020-08-04,79.0
2020-08-05,81.0
2020-08-06,83.0
2020-08-07,84.0
2020-08-08,85.0
2020-08-09,86.0
2020-08-10,86.0
