Data,NESERSCA28007
2020-03-27,0.0
2020-03-28,2.0
2020-03-29,2.0
2020-03-30,2.0
2020-03-31,2.0
2020-04-01,2.0
2020-04-02,2.0
2020-04-03,2.0
2020-04-04,2.0
2020-04-05,2.0
2020-04-06,2.0
2020-04-07,2.0
2020-04-08,2.0
2020-04-09,3.0
2020-04-10,4.0
2020-04-11,4.0
2020-04-12,4.0
2020-04-13,4.0
2020-04-14,4.0
2020-04-15,4.0
2020-04-16,4.0
2020-04-17,4.0
2020-04-18,4.0
2020-04-19,4.0
2020-04-20,4.0
2020-04-21,4.0
2020-04-22,4.0
2020-04-23,4.0
2020-04-24,4.0
2020-04-25,4.0
2020-04-26,4.0
2020-04-27,4.0
2020-04-28,6.0
2020-04-29,6.0
2020-04-30,7.0
2020-05-01,7.0
2020-05-02,7.0
2020-05-03,11.0
2020-05-04,11.0
2020-05-05,12.0
2020-05-06,14.0
2020-05-07,17.0
2020-05-08,17.0
2020-05-09,20.0
2020-05-10,21.0
2020-05-11,21.0
2020-05-12,25.0
2020-05-13,30.0
2020-05-14,35.0
2020-05-15,37.0
2020-05-16,42.0
2020-05-17,47.0
2020-05-18,54.0
2020-05-19,60.0
2020-05-20,70.0
2020-05-21,77.0
2020-05-22,80.0
2020-05-23,90.0
2020-05-24,99.0
2020-05-25,105.0
2020-05-26,110.0
2020-05-27,116.0
2020-05-28,120.0
2020-05-29,131.0
2020-05-30,137.0
2020-05-31,137.0
2020-06-01,142.0
2020-06-02,147.0
2020-06-03,172.0
2020-06-04,185.0
2020-06-05,197.0
2020-06-06,209.0
2020-06-07,219.0
2020-06-08,226.0
2020-06-09,235.0
2020-06-10,246.0
2020-06-11,264.0
2020-06-12,277.0
2020-06-13,287.0
2020-06-14,319.0
2020-06-15,336.0
2020-06-16,339.0
2020-06-17,360.0
2020-06-18,392.0
2020-06-19,394.0
2020-06-20,427.0
2020-06-21,471.0
2020-06-22,498.0
2020-06-23,524.0
2020-06-24,569.0
2020-06-25,625.0
2020-06-26,659.0
2020-06-27,734.0
2020-06-28,783.0
2020-06-29,792.0
2020-06-30,835.0
2020-07-01,861.0
2020-07-02,936.0
2020-07-03,1085.0
2020-07-04,1200.0
2020-07-05,1251.0
2020-07-06,1283.0
2020-07-07,1343.0
2020-07-08,1429.0
2020-07-09,1535.0
