Data,NOPARSOA15013
2020-03-27,0.0
2020-03-28,0.0
2020-03-29,0.0
2020-03-30,0.0
2020-03-31,0.0
2020-04-01,0.0
2020-04-02,0.0
2020-04-03,0.0
2020-04-04,0.0
2020-04-05,0.0
2020-04-06,0.0
2020-04-07,0.0
2020-04-08,0.0
2020-04-09,0.0
2020-04-10,0.0
2020-04-11,0.0
2020-04-12,0.0
2020-04-13,0.0
2020-04-14,0.0
2020-04-15,0.0
2020-04-16,0.0
2020-04-17,0.0
2020-04-18,0.0
2020-04-19,0.0
2020-04-20,0.0
2020-04-21,0.0
2020-04-22,0.0
2020-04-23,0.0
2020-04-24,0.0
2020-04-25,1.0
2020-04-26,1.0
2020-04-27,2.0
2020-04-28,4.0
2020-04-29,4.0
2020-04-30,5.0
2020-05-01,6.0
2020-05-02,7.0
2020-05-03,7.0
2020-05-04,7.0
2020-05-05,7.0
2020-05-06,8.0
2020-05-07,8.0
2020-05-08,10.0
2020-05-09,10.0
2020-05-10,10.0
2020-05-11,11.0
2020-05-12,11.0
2020-05-13,11.0
2020-05-14,12.0
2020-05-15,13.0
2020-05-16,14.0
2020-05-17,15.0
2020-05-18,17.0
2020-05-19,18.0
2020-05-20,21.0
2020-05-21,23.0
2020-05-22,25.0
2020-05-23,25.0
2020-05-24,28.0
2020-05-25,30.0
2020-05-26,32.0
2020-05-27,34.0
2020-05-28,37.0
2020-05-29,38.0
2020-05-30,40.0
2020-05-31,41.0
2020-06-01,41.0
2020-06-02,42.0
2020-06-03,45.0
2020-06-04,46.0
2020-06-05,48.0
2020-06-06,48.0
2020-06-07,50.0
2020-06-08,50.0
2020-06-09,50.0
2020-06-10,51.0
2020-06-11,52.0
2020-06-12,56.0
2020-06-13,58.0
2020-06-14,56.0
2020-06-15,56.0
2020-06-16,57.0
2020-06-17,57.0
2020-06-18,57.0
2020-06-19,59.0
2020-06-20,62.0
2020-06-21,62.0
2020-06-22,62.0
2020-06-23,62.0
2020-06-24,63.0
2020-06-25,63.0
2020-06-26,64.0
2020-06-27,64.0
2020-06-28,64.0
2020-06-29,64.0
2020-06-30,66.0
2020-07-01,69.0
2020-07-02,69.0
2020-07-03,70.0
2020-07-04,71.0
2020-07-05,71.0
2020-07-06,74.0
2020-07-07,75.0
2020-07-08,75.0
2020-07-09,75.0
2020-07-10,76.0
2020-07-11,76.0
2020-07-12,76.0
2020-07-13,76.0
2020-07-14,76.0
2020-07-15,76.0
2020-07-16,76.0
2020-07-17,76.0
2020-07-18,76.0
2020-07-19,77.0
2020-07-20,77.0
2020-07-21,77.0
2020-07-22,77.0
2020-07-23,78.0
2020-07-24,78.0
2020-07-25,79.0
2020-07-26,79.0
2020-07-27,80.0
2020-07-28,80.0
2020-07-29,80.0
2020-07-30,81.0
2020-07-31,82.0
2020-08-01,83.0
2020-08-02,87.0
2020-08-03,87.0
2020-08-04,88.0
2020-08-05,88.0
2020-08-06,89.0
2020-08-07,89.0
2020-08-08,89.0
2020-08-09,89.0
2020-08-10,89.0
