Data,NOTORSOA17001
2020-03-27,0.0
2020-03-28,0.0
2020-03-29,0.0
2020-03-30,0.0
2020-03-31,0.0
2020-04-01,0.0
2020-04-02,0.0
2020-04-03,0.0
2020-04-04,0.0
2020-04-05,0.0
2020-04-06,0.0
2020-04-07,0.0
2020-04-08,0.0
2020-04-09,0.0
2020-04-10,0.0
2020-04-11,0.0
2020-04-12,0.0
2020-04-13,0.0
2020-04-14,0.0
2020-04-15,0.0
2020-04-16,0.0
2020-04-17,0.0
2020-04-18,0.0
2020-04-19,0.0
2020-04-20,0.0
2020-04-21,0.0
2020-04-22,0.0
2020-04-23,0.0
2020-04-24,0.0
2020-04-25,0.0
2020-04-26,0.0
2020-04-27,0.0
2020-04-28,0.0
2020-04-29,0.0
2020-04-30,0.0
2020-05-01,0.0
2020-05-02,0.0
2020-05-03,0.0
2020-05-04,0.0
2020-05-05,0.0
2020-05-06,0.0
2020-05-07,0.0
2020-05-08,0.0
2020-05-09,0.0
2020-05-10,0.0
2020-05-11,0.0
2020-05-12,0.0
2020-05-13,3.0
2020-05-14,5.0
2020-05-15,6.0
2020-05-16,6.0
2020-05-17,7.0
2020-05-18,7.0
2020-05-19,8.0
2020-05-20,10.0
2020-05-21,13.0
2020-05-22,14.0
2020-05-23,15.0
2020-05-24,16.0
2020-05-25,17.0
2020-05-26,21.0
2020-05-27,22.0
2020-05-28,22.0
2020-05-29,23.0
2020-05-30,23.0
2020-05-31,24.0
2020-06-01,24.0
2020-06-02,25.0
2020-06-03,25.0
2020-06-04,27.0
2020-06-05,28.0
2020-06-06,31.0
2020-06-07,33.0
2020-06-08,38.0
2020-06-09,40.0
2020-06-10,44.0
2020-06-11,46.0
2020-06-12,47.0
2020-06-13,47.0
2020-06-14,48.0
2020-06-15,50.0
2020-06-16,53.0
2020-06-17,58.0
2020-06-18,58.0
2020-06-19,64.0
2020-06-20,70.0
2020-06-21,74.0
2020-06-22,76.0
2020-06-23,77.0
2020-06-24,70.0
2020-06-25,78.0
2020-06-26,78.0
2020-06-27,81.0
2020-06-28,82.0
2020-06-29,83.0
2020-06-30,85.0
2020-07-01,87.0
2020-07-02,88.0
2020-07-03,89.0
2020-07-04,93.0
2020-07-05,95.0
