Data,SESPRSCA35174
2020-03-27,0.0
2020-03-28,1.0
2020-03-29,1.0
2020-03-30,1.0
2020-03-31,1.0
2020-04-01,1.0
2020-04-02,1.0
2020-04-03,1.0
2020-04-04,1.0
2020-04-05,1.0
2020-04-06,2.0
2020-04-07,5.0
2020-04-08,6.0
2020-04-09,6.0
2020-04-10,7.0
2020-04-11,8.0
2020-04-12,10.0
2020-04-13,11.0
2020-04-14,11.0
2020-04-15,11.0
2020-04-16,9.0
2020-04-17,9.0
2020-04-18,9.0
2020-04-19,9.0
2020-04-20,9.0
2020-04-21,11.0
2020-04-22,13.0
2020-04-23,16.0
2020-04-24,17.0
2020-04-25,20.0
2020-04-26,20.0
2020-04-27,47.0
2020-04-28,47.0
2020-04-29,51.0
2020-04-30,52.0
2020-05-01,56.0
2020-05-02,56.0
2020-05-03,56.0
2020-05-04,56.0
2020-05-05,60.0
2020-05-06,66.0
2020-05-07,66.0
2020-05-08,70.0
2020-05-09,78.0
2020-05-10,79.0
2020-05-11,79.0
2020-05-12,81.0
2020-05-13,86.0
2020-05-14,95.0
2020-05-15,101.0
2020-05-16,104.0
2020-05-17,105.0
2020-05-18,123.0
2020-05-19,129.0
2020-05-20,136.0
2020-05-21,141.0
2020-05-22,139.0
2020-05-23,146.0
2020-05-24,147.0
2020-05-25,149.0
2020-05-26,188.0
2020-05-27,196.0
2020-05-28,207.0
2020-05-29,215.0
2020-05-30,225.0
2020-05-31,226.0
2020-06-01,227.0
2020-06-02,246.0
2020-06-03,252.0
2020-06-04,259.0
2020-06-05,267.0
2020-06-06,281.0
2020-06-07,284.0
2020-06-08,284.0
2020-06-09,308.0
2020-06-10,318.0
2020-06-11,329.0
2020-06-12,346.0
2020-06-13,354.0
2020-06-14,366.0
2020-06-15,366.0
2020-06-16,378.0
2020-06-17,383.0
2020-06-18,386.0
2020-06-19,431.0
2020-06-20,453.0
2020-06-21,469.0
2020-06-22,476.0
2020-06-23,551.0
2020-06-24,626.0
2020-06-25,701.0
2020-06-26,718.0
2020-06-27,788.0
2020-06-28,813.0
2020-06-29,845.0
2020-06-30,865.0
2020-07-01,927.0
2020-07-02,997.0
2020-07-03,1050.0
2020-07-04,1057.0
2020-07-05,1107.0
2020-07-06,1141.0
2020-07-07,1185.0
2020-07-08,1229.0
2020-07-09,1257.0
2020-07-10,1288.0
2020-07-11,1308.0
2020-07-12,1338.0
2020-07-13,1343.0
2020-07-14,1403.0
2020-07-15,1431.0
2020-07-16,1484.0
2020-07-17,1505.0
2020-07-18,1533.0
2020-07-19,1611.0
2020-07-20,1621.0
