Data,SURSRSCA43015
2020-03-27,0.0
2020-03-28,0.0
2020-03-29,0.0
2020-03-30,0.0
2020-03-31,0.0
2020-04-01,0.0
2020-04-02,0.0
2020-04-03,0.0
2020-04-04,0.0
2020-04-05,0.0
2020-04-06,0.0
2020-04-07,0.0
2020-04-08,0.0
2020-04-09,0.0
2020-04-10,0.0
2020-04-11,0.0
2020-04-12,0.0
2020-04-13,0.0
2020-04-14,0.0
2020-04-15,0.0
2020-04-16,0.0
2020-04-17,0.0
2020-04-18,0.0
2020-04-19,0.0
2020-04-20,0.0
2020-04-21,0.0
2020-04-22,0.0
2020-04-23,0.0
2020-04-24,0.0
2020-04-25,0.0
2020-04-26,0.0
2020-04-27,0.0
2020-04-28,1.0
2020-04-29,1.0
2020-04-30,1.0
2020-05-01,1.0
2020-05-02,1.0
2020-05-03,1.0
2020-05-04,1.0
2020-05-05,1.0
2020-05-06,13.0
2020-05-07,13.0
2020-05-08,41.0
2020-05-09,41.0
2020-05-10,41.0
2020-05-11,41.0
2020-05-12,47.0
2020-05-13,47.0
2020-05-14,48.0
2020-05-15,66.0
2020-05-16,66.0
2020-05-17,66.0
2020-05-18,66.0
2020-05-19,66.0
2020-05-20,85.0
2020-05-21,95.0
2020-05-22,104.0
2020-05-23,123.0
2020-05-24,126.0
2020-05-25,130.0
2020-05-26,135.0
2020-05-27,136.0
2020-05-28,148.0
2020-05-29,158.0
2020-05-30,160.0
2020-05-31,163.0
2020-06-01,163.0
2020-06-02,173.0
2020-06-03,179.0
2020-06-04,186.0
2020-06-05,197.0
2020-06-06,203.0
2020-06-07,204.0
2020-06-08,208.0
2020-06-09,222.0
2020-06-10,228.0
2020-06-11,235.0
2020-06-12,240.0
2020-06-13,243.0
2020-06-14,244.0
2020-06-15,259.0
2020-06-16,280.0
