Data,Saida_Estimada,Saida,Erro
2020-03-27,0,0,0
2020-03-28,0,0,0
2020-03-29,0,0,0
2020-03-30,0,0,0
2020-03-31,0,0,0
2020-04-01,0,0,0
2020-04-02,0,0,0
2020-04-03,0,0,0
2020-04-04,0,0,0
2020-04-05,0,0,0
2020-04-06,0,0,0
2020-04-07,0,0,0
2020-04-08,0,0,0
2020-04-09,0,0,0
2020-04-10,0,0,0
2020-04-11,0,0,0
2020-04-12,0,0,0
2020-04-13,0,0,0
2020-04-14,0,0,0
2020-04-15,0,0,0
2020-04-16,0,0,0
2020-04-17,0,0,0
2020-04-18,0,1,1
2020-04-19,1,1,0
2020-04-20,1,1,0
2020-04-21,1,1,0
2020-04-22,1,3,2
2020-04-23,3,3,0
2020-04-24,3,4,1
2020-04-25,4,4,0
2020-04-26,4,4,0
2020-04-27,4,11,7
2020-04-28,13,11,-2
2020-04-29,11,13,2
2020-04-30,14,18,4
2020-05-01,20,21,1
2020-05-02,22,23,1
2020-05-03,24,24,0
2020-05-04,24,26,2
2020-05-05,27,26,-1
2020-05-06,26,37,11
2020-05-07,41,39,-2
2020-05-08,40,40,+
2020-05-09,41,40,-1
2020-05-10,40,39,-1
2020-05-11,39,39,+
2020-05-12,39,39,+
2020-05-13,39,50,11
2020-05-14,55,52,-3
2020-05-15,53,52,-1
2020-05-16,53,68,15
2020-05-17,75,130,55
2020-05-18,155,132,-23
2020-05-19,135,140,5
2020-05-20,145,141,-4
2020-05-21,144,141,-3
2020-05-22,143,145,2
2020-05-23,149,150,1
2020-05-24,154,239,85
2020-05-25,276,272,-4
2020-05-26,289,279,-10
2020-05-27,287,279,-8
2020-05-28,284,322,38
2020-05-29,344,323,-21
2020-05-30,329,324,-5
2020-05-31,330,376,46
2020-06-01,402,418,16
2020-06-02,442,491,49
2020-06-03,528,494,-34
2020-06-04,505,500,-5
2020-06-05,512,515,3
2020-06-06,531,610,79
2020-06-07,657,682,25
2020-06-08,722,682,-40
2020-06-09,695,957,262
2020-06-10,1078,965,-113
2020-06-11,987,992,5
2020-06-12,1022,1006,-16
2020-06-13,1031,1043,12
2020-06-14,1077,1371,294
2020-06-15,1520,1440,-80
2020-06-16,1494,1500,6
2020-06-17,1552,1686,134
2020-06-18,1789,1771,-18
2020-06-19,1838,1818,-20
2020-06-20,1872,1896,24
2020-06-21,1963,1965,2
2020-06-22,2030,2106,76
2020-06-23,2201,2176,-25
2020-06-24,2246,2279,33
2020-06-25,2363,2320,-43
2020-06-26,2382,2323,-59
2020-06-27,2371,2437,66
2020-06-28,2528,2545,17
2020-06-29,2636,2747,111
2020-06-30,2877,3004,127
2020-07-01,3160,3140,-20
2020-07-02,3254,3193,-61
2020-07-03,3277,3199,-78
2020-07-04,3266,3210,-56
2020-07-05,3279,3336,57
2020-07-06,3450,3492,42
2020-07-07,3620,3594,-26
2020-07-08,3704,3650,-54
2020-07-09,3744,3814,70
2020-07-10,3952,3970,18
2020-07-11,4108,4002,-106
2020-07-12,4095,4010,-85
2020-07-13,4094,4081,-13
2020-07-14,4190,4109,-81
2020-07-15,4202,4158,-44
2020-07-16,4260,4169,-91
2020-07-17,4257,4223,-34
2020-07-18,4328,4240,-88
2020-07-19,4332,4277,-55
2020-07-20,4377,4279,-98
2020-07-21,4366,4319,-47
2020-07-22,4421,4348,-73
2020-07-23,4447,4350,-97
2020-07-24,4439,4494,55
2020-07-25,4638,4549,-89
2020-07-26,4661,4621,-40
2020-07-27,4797.14,4622,-175.144
2020-07-28,4945,4668,-277.002
2020-07-29,5100.21,4871,-229.205
2020-07-30,5261.28,5050,-211.281
2020-07-31,5427.8,5199,-228.805
2020-08-01,5599.73,5556,-43.7284
2020-08-02,5777.14,6231,453.856
2020-08-03,5960.2,6312,351.802
2020-08-04,6149.06,6386,236.942
2020-08-05,6343.9,6620,276.096
2020-08-06,6544.93,7139,594.075
2020-08-07,6752.32,7480,727.684
2020-08-08,6966.28,7896,929.721
2020-08-09,7187.02,8510,1322.98
2020-08-10,7414.76,8920,1505.24
2020-08-11,7649.71,7.90999e-321,-7649.71
