Data,Saida_Estimada,Saida,Erro
2020-03-27,0,0,0
2020-03-28,0,0,0
2020-03-29,0,0,0
2020-03-30,0,0,0
2020-03-31,0,0,0
2020-04-01,0,0,0
2020-04-02,0,0,0
2020-04-03,0,0,0
2020-04-04,0,0,0
2020-04-05,0,0,0
2020-04-06,0,1,1
2020-04-07,0,1,1
2020-04-08,1,1,0
2020-04-09,1,1,0
2020-04-10,1,1,0
2020-04-11,1,1,0
2020-04-12,1,1,0
2020-04-13,1,1,0
2020-04-14,1,1,0
2020-04-15,1,1,0
2020-04-16,1,1,0
2020-04-17,1,1,0
2020-04-18,1,1,0
2020-04-19,1,1,0
2020-04-20,1,1,0
2020-04-21,1,2,1
2020-04-22,1,2,1
2020-04-23,2,2,0
2020-04-24,2,2,0
2020-04-25,2,6,4
2020-04-26,5,6,1
2020-04-27,6,6,0
2020-04-28,6,6,0
2020-04-29,6,7,1
2020-04-30,7,11,4
2020-05-01,10,12,2
2020-05-02,12,14,2
2020-05-03,14,16,2
2020-05-04,16,18,2
2020-05-05,18,21,3
2020-05-06,21,21,0
2020-05-07,21,22,1
2020-05-08,22,27,5
2020-05-09,27,33,6
2020-05-10,33,33,+
2020-05-11,34,36,2
2020-05-12,36,36,+
2020-05-13,37,39,2
2020-05-14,39,50,11
2020-05-15,49,57,8
2020-05-16,57,60,3
2020-05-17,61,59,-2
2020-05-18,61,59,-2
2020-05-19,61,63,2
2020-05-20,64,63,-1
2020-05-21,65,75,10
2020-05-22,75,76,1
2020-05-23,78,77,-1
2020-05-24,79,77,-2
2020-05-25,80,90,10
2020-05-26,91,90,-1
2020-05-27,93,98,5
2020-05-28,100,99,-1
2020-05-29,102,99,-3
2020-05-30,102,100,-2
2020-05-31,103,122,19
2020-06-01,122,125,3
2020-06-02,129,167,38
2020-06-03,165,176,11
2020-06-04,181,176,-5
2020-06-05,183,181,-2
2020-06-06,187,181,-6
2020-06-07,188,185,-3
2020-06-08,191,185,-6
2020-06-09,192,173,-19
2020-06-10,182,215,33
2020-06-11,215,216,1
2020-06-12,224,218,-6
2020-06-13,226,218,-8
2020-06-14,226,224,-2
2020-06-15,231,257,26
2020-06-16,260,260,+
2020-06-17,269,264,-5
2020-06-18,273,265,-8
2020-06-19,275,270,-5
2020-06-20,279,306,27
2020-06-21,311,307,-4
2020-06-22,319,322,3
2020-06-23,331,327,-4
2020-06-24,339,339,+
2020-06-25,350,343,-7
2020-06-26,361.779,359,-2.77898
2020-06-27,373.873,363,-10.8733
2020-06-28,386.388,372,-14.3875
2020-06-29,399.318,386,-13.3176
2020-06-30,412.681,390,-22.681
2020-07-01,426.491,394,-32.4914
2020-07-02,440.764,403,-37.7641
2020-07-03,455.514,421,-34.5143
2020-07-04,470.758,429,-41.7582
2020-07-05,486.512,436,-50.5123
2020-07-06,502.794,465,-37.7935
2020-07-07,519.62,483,-36.6197
2020-07-08,537.009,499,-38.0089
2020-07-09,554.98,522,-32.98
2020-07-10,573.553,537,-36.5525
2020-07-11,592.747,7.22603e-316,-592.747
