Data,Saida_Estimada,Data
2020-03-08,1,2020-03-08
2020-03-09,1,2020-03-09
2020-03-10,1,2020-03-10
2020-03-11,1,2020-03-11
2020-03-12,1,2020-03-12
2020-03-13,1,2020-03-13
2020-03-14,1,2020-03-14
2020-03-15,1,2020-03-15
2020-03-16,1,2020-03-16
2020-03-17,1,2020-03-17
2020-03-18,1,2020-03-18
2020-03-19,1,2020-03-19
2020-03-20,4,2020-03-20
2020-03-21,5,2020-03-21
2020-03-22,7,2020-03-22
2020-03-23,7,2020-03-23
2020-03-24,7,2020-03-24
2020-03-25,9,2020-03-25
2020-03-26,11,2020-03-26
2020-03-27,12,2020-03-27
2020-03-28,12,2020-03-28
2020-03-29,15,2020-03-29
2020-03-30,18,2020-03-30
2020-03-31,18,2020-03-31
2020-04-01,19,2020-04-01
2020-04-02,19,2020-04-02
2020-04-03,19,2020-04-03
2020-04-04,23,2020-04-04
2020-04-05,25,2020-04-05
2020-04-06,30,2020-04-06
2020-04-07,33,2020-04-07
2020-04-08,35,2020-04-08
2020-04-09,40,2020-04-09
2020-04-10,40,2020-04-10
2020-04-11,48,2020-04-11
2020-04-12,52,2020-04-12
2020-04-13,53,2020-04-13
2020-04-14,55,2020-04-14
2020-04-15,76,2020-04-15
2020-04-16,89,2020-04-16
2020-04-17,97,2020-04-17
2020-04-18,118,2020-04-18
2020-04-19,143,2020-04-19
2020-04-20,172,2020-04-20
2020-04-21,187,2020-04-21
2020-04-22,226,2020-04-22
2020-04-23,264,2020-04-23
2020-04-24,347,2020-04-24
2020-04-25,444,2020-04-25
2020-04-26,542,2020-04-26
2020-04-27,605,2020-04-27
2020-04-28,699,2020-04-28
2020-04-29,841,2020-04-29
2020-04-30,1034,2020-04-30
2020-05-01,1142,2020-05-01
2020-05-02,1331,2020-05-02
2020-05-03,1497,2020-05-03
2020-05-04,1583,2020-05-04
2020-05-05,1687,2020-05-05
2020-05-06,1766,2020-05-06
2020-05-07,1869,2020-05-07
2020-05-08,2042,2020-05-08
2020-05-09,2225,2020-05-09
2020-05-10,2382,2020-05-10
2020-05-11,2484,2020-05-11
2020-05-12,2578,2020-05-12
2020-05-13,2820,2020-05-13
2020-05-14,3028,2020-05-14
2020-05-15,3257,2020-05-15
2020-05-16,3518,2020-05-16
2020-05-17,3921,2020-05-17
2020-05-18,4188,2020-05-18
2020-05-19,4427,2020-05-19
2020-05-20,4733,2020-05-20
2020-05-21,4888,2020-05-21
2020-05-22,5370,2020-05-22
2020-05-23,5809,2020-05-23
2020-05-24,6180,2020-05-24
2020-05-25,6791,2020-05-25
2020-05-26,7324,2020-05-26
2020-05-27,7752,2020-05-27
2020-05-28,8310,2020-05-28
2020-05-29,8841,2020-05-29
2020-05-30,9452,2020-05-30
2020-05-31,10115,2020-05-31
2020-06-01,11231,2020-06-01
2020-06-02,11906,2020-06-02
2020-06-03,12682,2020-06-03
2020-06-04,13602,2020-06-04
2020-06-05,14386,2020-06-05
2020-06-06,15295,2020-06-06
2020-06-07,16263,2020-06-07
2020-06-08,17244,2020-06-08
2020-06-09,17361,2020-06-09
'2020-06-10',18809,+
'2020-06-11',20578,+
'2020-06-12',22514,+
'2020-06-13',24631,+
'2020-06-14',26948,+
'2020-06-15',29483,+
'2020-06-16',32257,+
'2020-06-17',35291,+
'2020-06-18',38611,+
'2020-06-19',42243,+
'2020-06-20',46217,+
'2020-06-21',50564,+
'2020-06-22',55321,+
'2020-06-23',60524,+
'2020-06-24',66218,+
'2020-06-25',72447,+
