Data,Saida_Estimada,Data
2020-02-25,0,2020-02-25
2020-02-26,0,2020-02-26
2020-02-27,0,2020-02-27
2020-02-28,0,2020-02-28
2020-02-29,0,2020-02-29
2020-03-01,0,2020-03-01
2020-03-02,0,2020-03-02
2020-03-03,0,2020-03-03
2020-03-04,0,2020-03-04
2020-03-05,0,2020-03-05
2020-03-06,0,2020-03-06
2020-03-07,0,2020-03-07
2020-03-08,0,2020-03-08
2020-03-09,0,2020-03-09
2020-03-10,0,2020-03-10
2020-03-11,0,2020-03-11
2020-03-12,0,2020-03-12
2020-03-13,0,2020-03-13
2020-03-14,0,2020-03-14
2020-03-15,0,2020-03-15
2020-03-16,0,2020-03-16
2020-03-17,0,2020-03-17
2020-03-18,0,2020-03-18
2020-03-19,0,2020-03-19
2020-03-20,0,2020-03-20
2020-03-21,1,2020-03-21
2020-03-22,1,2020-03-22
2020-03-23,1,2020-03-23
2020-03-24,1,2020-03-24
2020-03-25,1,2020-03-25
2020-03-26,1,2020-03-26
2020-03-27,2,2020-03-27
2020-03-28,2,2020-03-28
2020-03-29,4,2020-03-29
2020-03-30,4,2020-03-30
2020-03-31,9,2020-03-31
2020-04-01,10,2020-04-01
2020-04-02,11,2020-04-02
2020-04-03,11,2020-04-03
2020-04-04,22,2020-04-04
2020-04-05,31,2020-04-05
2020-04-06,30,2020-04-06
2020-04-07,36,2020-04-07
2020-04-08,53,2020-04-08
2020-04-09,128,2020-04-09
2020-04-10,138,2020-04-10
2020-04-11,182,2020-04-11
2020-04-12,207,2020-04-12
2020-04-13,248,2020-04-13
2020-04-14,252,2020-04-14
2020-04-15,336,2020-04-15
2020-04-16,352,2020-04-16
2020-04-17,381,2020-04-17
2020-04-18,383,2020-04-18
2020-04-19,411,2020-04-19
2020-04-20,435,2020-04-20
2020-04-21,451,2020-04-21
2020-04-22,477,2020-04-22
2020-04-23,499,2020-04-23
2020-04-24,585,2020-04-24
2020-04-25,677,2020-04-25
2020-04-26,721,2020-04-26
2020-04-27,856,2020-04-27
2020-04-28,880,2020-04-28
2020-04-29,968,2020-04-29
2020-04-30,1076,2020-04-30
2020-05-01,1131,2020-05-01
2020-05-02,1166,2020-05-02
2020-05-03,1242,2020-05-03
2020-05-04,1616,2020-05-04
2020-05-05,1861,2020-05-05
2020-05-06,2049,2020-05-06
2020-05-07,2142,2020-05-07
2020-05-08,2311,2020-05-08
2020-05-09,2428,2020-05-09
2020-05-10,2619,2020-05-10
2020-05-11,2727,2020-05-11
2020-05-12,2768,2020-05-12
2020-05-13,3069,2020-05-13
2020-05-14,3123,2020-05-14
2020-05-15,3659,2020-05-15
2020-05-16,3799,2020-05-16
2020-05-17,4010,2020-05-17
2020-05-18,4105,2020-05-18
2020-05-19,4164,2020-05-19
2020-05-20,4525,2020-05-20
2020-05-21,4757,2020-05-21
2020-05-22,5538,2020-05-22
2020-05-23,5966,2020-05-23
2020-05-24,6405,2020-05-24
2020-05-25,6621,2020-05-25
2020-05-26,6850,2020-05-26
2020-05-27,7291,2020-05-27
2020-05-28,8045,2020-05-28
2020-05-29,8557,2020-05-29
2020-05-30,8817,2020-05-30
2020-05-31,9848,2020-05-31
2020-06-01,9975,2020-06-01
2020-06-02,10271,2020-06-02
2020-06-03,11013,2020-06-03
2020-06-04,11619,2020-06-04
2020-06-05,12029,2020-06-05
2020-06-06,12930,2020-06-06
2020-06-07,13288,2020-06-07
2020-06-08,13515,2020-06-08
2020-06-09,13764,2020-06-09
2020-06-10,14325,2020-06-10
2020-06-11,15318,2020-06-11
2020-06-12,15782,2020-06-12
2020-06-13,16306,2020-06-13
2020-06-14,17002,2020-06-14
'2020-06-15',17060,+
'2020-06-16',17734,+
'2020-06-17',18467,+
'2020-06-18',19240,+
'2020-06-19',20048,+
'2020-06-20',20891,+
'2020-06-21',21769,+
'2020-06-22',22685,+
'2020-06-23',23639,+
'2020-06-24',24633,+
'2020-06-25',25669,+
'2020-06-26',26749,+
'2020-06-27',27874,+
'2020-06-28',29046,+
'2020-06-29',30268,+
'2020-06-30',31541,+
