Data,Saida_Estimada,Data
2020-03-28,2,2020-03-28
2020-03-29,2,2020-03-29
2020-03-30,2,2020-03-30
2020-03-31,2,2020-03-31
2020-04-01,2,2020-04-01
2020-04-02,2,2020-04-02
2020-04-03,2,2020-04-03
2020-04-04,1,2020-04-04
2020-04-05,1,2020-04-05
2020-04-06,2,2020-04-06
2020-04-07,2,2020-04-07
2020-04-08,2,2020-04-08
2020-04-09,2,2020-04-09
2020-04-10,2,2020-04-10
2020-04-11,2,2020-04-11
2020-04-12,4,2020-04-12
2020-04-13,4,2020-04-13
2020-04-14,4,2020-04-14
2020-04-15,4,2020-04-15
2020-04-16,4,2020-04-16
2020-04-17,4,2020-04-17
2020-04-18,4,2020-04-18
2020-04-19,4,2020-04-19
2020-04-20,6,2020-04-20
2020-04-21,5,2020-04-21
2020-04-22,5,2020-04-22
2020-04-23,5,2020-04-23
2020-04-24,5,2020-04-24
2020-04-25,5,2020-04-25
2020-04-26,6,2020-04-26
2020-04-27,7,2020-04-27
2020-04-28,7,2020-04-28
2020-04-29,7,2020-04-29
2020-04-30,7,2020-04-30
2020-05-01,7,2020-05-01
2020-05-02,7,2020-05-02
2020-05-03,7,2020-05-03
2020-05-04,7,2020-05-04
2020-05-05,7,2020-05-05
2020-05-06,7,2020-05-06
2020-05-07,7,2020-05-07
2020-05-08,7,2020-05-08
2020-05-09,7,2020-05-09
2020-05-10,7,2020-05-10
2020-05-11,8,2020-05-11
2020-05-12,8,2020-05-12
2020-05-13,10,2020-05-13
2020-05-14,10,2020-05-14
2020-05-15,10,2020-05-15
2020-05-16,25,2020-05-16
2020-05-17,21,2020-05-17
2020-05-18,21,2020-05-18
2020-05-19,21,2020-05-19
2020-05-20,28,2020-05-20
2020-05-21,25,2020-05-21
2020-05-22,27,2020-05-22
2020-05-23,28,2020-05-23
2020-05-24,30,2020-05-24
2020-05-25,30,2020-05-25
2020-05-26,29,2020-05-26
2020-05-27,30,2020-05-27
2020-05-28,30,2020-05-28
2020-05-29,26,2020-05-29
2020-05-30,30,2020-05-30
2020-05-31,32,2020-05-31
2020-06-01,35,2020-06-01
2020-06-02,36,2020-06-02
2020-06-03,54,2020-06-03
2020-06-04,52,2020-06-04
2020-06-05,65,2020-06-05
2020-06-06,88,2020-06-06
2020-06-07,113,2020-06-07
2020-06-08,105,2020-06-08
'2020-06-09',109,+
'2020-06-10',86,+
'2020-06-11',66,+
'2020-06-12',50,+
'2020-06-13',38,+
'2020-06-14',29,+
'2020-06-15',22,+
'2020-06-16',16,+
'2020-06-17',12,+
'2020-06-18',9,+
'2020-06-19',7,+
'2020-06-20',5,+
'2020-06-21',4,+
'2020-06-22',3,+
'2020-06-23',2,+
'2020-06-24',1,+
