Data,Saida_Estimada,Data
2020-02-26,1,2020-02-26
2020-02-27,1,2020-02-27
2020-02-28,1,2020-02-28
2020-02-29,2,2020-02-29
2020-03-01,2,2020-03-01
2020-03-02,2,2020-03-02
2020-03-03,2,2020-03-03
2020-03-04,3,2020-03-04
2020-03-05,7,2020-03-05
2020-03-06,13,2020-03-06
2020-03-07,19,2020-03-07
2020-03-08,25,2020-03-08
2020-03-09,25,2020-03-09
2020-03-10,34,2020-03-10
2020-03-11,52,2020-03-11
2020-03-12,77,2020-03-12
2020-03-13,98,2020-03-13
2020-03-14,121,2020-03-14
2020-03-15,200,2020-03-15
2020-03-16,234,2020-03-16
2020-03-17,291,2020-03-17
2020-03-18,428,2020-03-18
2020-03-19,621,2020-03-19
2020-03-20,904,2020-03-20
2020-03-21,1128,2020-03-21
2020-03-22,1546,2020-03-22
2020-03-23,1891,2020-03-23
2020-03-24,2201,2020-03-24
2020-03-25,2433,2020-03-25
2020-03-26,2915,2020-03-26
2020-03-27,3417,2020-03-27
2020-03-28,3903,2020-03-28
2020-03-29,4256,2020-03-29
2020-03-30,4579,2020-03-30
2020-03-31,5717,2020-03-31
2020-04-01,6834,2020-04-01
2020-04-02,7910,2020-04-02
2020-04-03,9056,2020-04-03
2020-04-04,10278,2020-04-04
2020-04-05,11130,2020-04-05
2020-04-06,12056,2020-04-06
2020-04-07,13717,2020-04-07
2020-04-08,15927,2020-04-08
2020-04-09,17857,2020-04-09
2020-04-10,19638,2020-04-10
2020-04-11,20727,2020-04-11
2020-04-12,22169,2020-04-12
2020-04-13,23430,2020-04-13
2020-04-14,25262,2020-04-14
2020-04-15,28320,2020-04-15
2020-04-16,30425,2020-04-16
2020-04-17,33682,2020-04-17
2020-04-18,36599,2020-04-18
2020-04-19,38654,2020-04-19
2020-04-20,40581,2020-04-20
2020-04-21,43079,2020-04-21
2020-04-22,45757,2020-04-22
2020-04-23,49492,2020-04-23
2020-04-24,52995,2020-04-24
2020-04-25,58509,2020-04-25
2020-04-26,61888,2020-04-26
2020-04-27,66501,2020-04-27
2020-04-28,71886,2020-04-28
2020-04-29,78162,2020-04-29
2020-04-30,85380,2020-04-30
2020-05-01,91299,2020-05-01
2020-05-02,96396,2020-05-02
2020-05-03,101147,2020-05-03
2020-05-04,107780,2020-05-04
2020-05-05,114715,2020-05-05
2020-05-06,125218,2020-05-06
2020-05-07,135106,2020-05-07
2020-05-08,145328,2020-05-08
2020-05-09,155939,2020-05-09
2020-05-10,162699,2020-05-10
2020-05-11,168331,2020-05-11
2020-05-12,177589,2020-05-12
2020-05-13,188974,2020-05-13
2020-05-14,202918,2020-05-14
2020-05-15,218223,2020-05-15
2020-05-16,233142,2020-05-16
2020-05-17,241080,2020-05-17
2020-05-18,254220,2020-05-18
2020-05-19,271628,2020-05-19
2020-05-20,291579,2020-05-20
2020-05-21,310087,2020-05-21
2020-05-22,330890,2020-05-22
2020-05-23,347398,2020-05-23
2020-05-24,363211,2020-05-24
2020-05-25,374898,2020-05-25
2020-05-26,391222,2020-05-26
2020-05-27,411821,2020-05-27
2020-05-28,438238,2020-05-28
2020-05-29,465166,2020-05-29
2020-05-30,498440,2020-05-30
2020-05-31,514200,2020-05-31
2020-06-01,526447,2020-06-01
2020-06-02,555383,2020-06-02
2020-06-03,584016,2020-06-03
2020-06-04,614941,2020-06-04
2020-06-05,645771,2020-06-05
2020-06-06,672846,2020-06-06
2020-06-07,691758,2020-06-07
'2020-06-08',+,+
'2020-06-09',+,+
'2020-06-10',+,+
'2020-06-11',+,+
'2020-06-12',+,+
'2020-06-13',+,+
'2020-06-14',+,+
'2020-06-15',+,+
'2020-06-16',+,+
'2020-06-17',+,+
'2020-06-18',+,+
'2020-06-19',+,+
'2020-06-20',+,+
'2020-06-21',+,+
'2020-06-22',+,+
