Data,Saida_Estimada,Saida,Erro
2020-03-07,1,1,0
2020-03-08,1,1,0
2020-03-09,1,1,0
2020-03-10,1,1,0
2020-03-11,2,2,0
2020-03-12,2,2,0
2020-03-13,2,2,0
2020-03-14,6,6,0
2020-03-15,6,8,2
2020-03-16,8,13,5
2020-03-17,14,22,8
2020-03-18,24,26,2
2020-03-19,27,42,15
2020-03-20,47,87,40
2020-03-21,100,100,0
2020-03-22,106,117,11
2020-03-23,124,133,9
2020-03-24,140,160,20
2020-03-25,171,160,-11
2020-03-26,164,200,36
2020-03-27,215,230,15
2020-03-28,244,260,16
2020-03-29,275,289,14
2020-03-30,304,312,8
2020-03-31,327,332,5
2020-04-01,347,355,8
2020-04-02,371,370,-1
2020-04-03,384,402,18
2020-04-04,422,454,32
2020-04-05,480,468,-12
2020-04-06,485,473,-12
2020-04-07,488,492,4
2020-04-08,511,509,-2
2020-04-09,528,527,-1
2020-04-10,547,555,8
2020-04-11,578,579,1
2020-04-12,602,614,12
2020-04-13,641,638,-3
2020-04-14,663,651,-12
2020-04-15,674,682,8
2020-04-16,710,716,6
2020-04-17,746,746,+
2020-04-18,776,762,-14
2020-04-19,789,827,38
2020-04-20,868,872,4
2020-04-21,909,881,-28
2020-04-22,910,946,36
2020-04-23,990,963,-27
2020-04-24,996,989,-7
2020-04-25,1025,1013,-12
2020-04-26,1049,1066,17
2020-04-27,1111,1146,35
2020-04-28,1200,1213,13
2020-04-29,1266,1275,9
2020-04-30,1329,1356,27
2020-05-01,1417,1466,49
2020-05-02,1537,1566,29
2020-05-03,1638,1649,11
2020-05-04,1719,1768,49
2020-05-05,1851,1818,-33
2020-05-06,1885,1906,21
2020-05-07,1985,2258,273
2020-05-08,2412,2442,30
2020-05-09,2561,2576,15
2020-05-10,2687,2682,-5
2020-05-11,2790,2783,-7
2020-05-12,2892,2979,87
2020-05-13,3117,3192,75
2020-05-14,3341,3416,75
2020-05-15,3575,3787,212
2020-05-16,3992,4140,148
2020-05-17,4352,4368,16
2020-05-18,4557,4619,62
2020-05-19,4821,4853,32
2020-05-20,5058,5161,103
2020-05-21,5394,5542,148
2020-05-22,5804,5948,144
2020-05-23,6228,6251,23
2020-05-24,6487.08,6638,150.921
2020-05-25,6749.08,6930,180.919
2020-05-26,7019.85,7210,190.154
2020-05-27,7301.05,7761,459.947
2020-05-28,7593.43,8300,706.574
2020-05-29,7897.49,8722,824.515
2020-05-30,8213.71,9474,1260.29
2020-05-31,8542.6,9780,1237.4
2020-06-01,8884.66,10510,1625.34
2020-06-02,9240.42,11256,2015.58
2020-06-03,9610.42,12020,2409.58
2020-06-04,9995.24,12923,2927.76
2020-06-05,10395.5,14208,3812.54
2020-06-06,10811.7,15850,5038.29
2020-06-07,11244.6,16623,5378.37
2020-06-08,11694.9,16384,4689.12
