Data,Saida_Estimada,Data
2020-02-25,0,2020-02-25
2020-02-26,0,2020-02-26
2020-02-27,0,2020-02-27
2020-02-28,0,2020-02-28
2020-02-29,0,2020-02-29
2020-03-01,0,2020-03-01
2020-03-02,0,2020-03-02
2020-03-03,0,2020-03-03
2020-03-04,0,2020-03-04
2020-03-05,0,2020-03-05
2020-03-06,0,2020-03-06
2020-03-07,0,2020-03-07
2020-03-08,0,2020-03-08
2020-03-09,0,2020-03-09
2020-03-10,0,2020-03-10
2020-03-11,0,2020-03-11
2020-03-12,0,2020-03-12
2020-03-13,0,2020-03-13
2020-03-14,0,2020-03-14
2020-03-15,0,2020-03-15
2020-03-16,0,2020-03-16
2020-03-17,2,2020-03-17
2020-03-18,4,2020-03-18
2020-03-19,7,2020-03-19
2020-03-20,7,2020-03-20
2020-03-21,9,2020-03-21
2020-03-22,18,2020-03-22
2020-03-23,22,2020-03-23
2020-03-24,21,2020-03-24
2020-03-25,24,2020-03-25
2020-03-26,25,2020-03-26
2020-03-27,26,2020-03-27
2020-03-28,29,2020-03-28
2020-03-29,32,2020-03-29
2020-03-30,38,2020-03-30
2020-03-31,47,2020-03-31
2020-04-01,50,2020-04-01
2020-04-02,53,2020-04-02
2020-04-03,55,2020-04-03
2020-04-04,63,2020-04-04
2020-04-05,64,2020-04-05
2020-04-06,67,2020-04-06
2020-04-07,68,2020-04-07
2020-04-08,85,2020-04-08
2020-04-09,89,2020-04-09
2020-04-10,92,2020-04-10
2020-04-11,102,2020-04-11
2020-04-12,104,2020-04-12
2020-04-13,104,2020-04-13
2020-04-14,119,2020-04-14
2020-04-15,119,2020-04-15
2020-04-16,126,2020-04-16
2020-04-17,137,2020-04-17
2020-04-18,150,2020-04-18
2020-04-19,170,2020-04-19
2020-04-20,175,2020-04-20
2020-04-21,177,2020-04-21
2020-04-22,179,2020-04-22
2020-04-23,181,2020-04-23
2020-04-24,194,2020-04-24
2020-04-25,226,2020-04-25
2020-04-26,225,2020-04-26
2020-04-27,245,2020-04-27
2020-04-28,247,2020-04-28
2020-04-29,248,2020-04-29
2020-04-30,259,2020-04-30
2020-05-01,265,2020-05-01
2020-05-02,271,2020-05-02
2020-05-03,276,2020-05-03
2020-05-04,282,2020-05-04
2020-05-05,283,2020-05-05
2020-05-06,294,2020-05-06
2020-05-07,299,2020-05-07
2020-05-08,326,2020-05-08
2020-05-09,340,2020-05-09
2020-05-10,362,2020-05-10
2020-05-11,378,2020-05-11
2020-05-12,403,2020-05-12
2020-05-13,423,2020-05-13
2020-05-14,450,2020-05-14
2020-05-15,472,2020-05-15
2020-05-16,501,2020-05-16
2020-05-17,531,2020-05-17
2020-05-18,603,2020-05-18
2020-05-19,643,2020-05-19
2020-05-20,670,2020-05-20
2020-05-21,728,2020-05-21
2020-05-22,783,2020-05-22
2020-05-23,845,2020-05-23
2020-05-24,899,2020-05-24
2020-05-25,970,2020-05-25
2020-05-26,1080,2020-05-26
2020-05-27,1155,2020-05-27
2020-05-28,1246,2020-05-28
2020-05-29,1322,2020-05-29
2020-05-30,1423,2020-05-30
2020-05-31,1480,2020-05-31
2020-06-01,1556,2020-06-01
2020-06-02,1639,2020-06-02
2020-06-03,1720,2020-06-03
2020-06-04,1898,2020-06-04
2020-06-05,2018,2020-06-05
2020-06-06,2081,2020-06-06
2020-06-07,2235,2020-06-07
2020-06-08,2357,2020-06-08
2020-06-09,2420,2020-06-09
2020-06-10,2568,2020-06-10
2020-06-11,2718,2020-06-11
2020-06-12,3008,2020-06-12
2020-06-13,3137,2020-06-13
2020-06-14,3398,2020-06-14
2020-06-15,3595,2020-06-15
2020-06-16,3699,2020-06-16
2020-06-17,3967,2020-06-17
2020-06-18,4391,2020-06-18
2020-06-19,4446,2020-06-19
2020-06-20,4914,2020-06-20
2020-06-21,5234,2020-06-21
2020-06-22,5472,2020-06-22
2020-06-23,5611,2020-06-23
2020-06-24,6070,2020-06-24
2020-06-25,6507,2020-06-25
2020-06-26,6819,2020-06-26
2020-06-27,7238,2020-06-27
2020-06-28,7646,2020-06-28
2020-06-29,7835,2020-06-29
2020-06-30,7974,2020-06-30
2020-07-01,8304,2020-07-01
2020-07-02,9133,2020-07-02
2020-07-03,9460,2020-07-03
2020-07-04,9784,2020-07-04
2020-07-05,10368,2020-07-05
2020-07-06,10477,2020-07-06
2020-07-07,10643,2020-07-07
'2020-07-08',11152,+
'2020-07-09',11640,+
'2020-07-10',12150,+
'2020-07-11',12683,+
'2020-07-12',13239,+
'2020-07-13',13820,+
'2020-07-14',14426,+
'2020-07-15',15059,+
'2020-07-16',15719,+
'2020-07-17',16409,+
'2020-07-18',17129,+
'2020-07-19',17880,+
'2020-07-20',18664,+
'2020-07-21',19483,+
'2020-07-22',20337,+
'2020-07-23',21229,+
