Data,Saida_Estimada,Data
2020-03-20,1,2020-03-20
2020-03-21,1,2020-03-21
2020-03-22,1,2020-03-22
2020-03-23,1,2020-03-23
2020-03-24,1,2020-03-24
2020-03-25,6,2020-03-25
2020-03-26,5,2020-03-26
2020-03-27,7,2020-03-27
2020-03-28,6,2020-03-28
2020-03-29,5,2020-03-29
2020-03-30,5,2020-03-30
2020-03-31,12,2020-03-31
2020-04-01,19,2020-04-01
2020-04-02,17,2020-04-02
2020-04-03,24,2020-04-03
2020-04-04,29,2020-04-04
2020-04-05,41,2020-04-05
2020-04-06,39,2020-04-06
2020-04-07,54,2020-04-07
2020-04-08,50,2020-04-08
2020-04-09,62,2020-04-09
2020-04-10,75,2020-04-10
2020-04-11,72,2020-04-11
2020-04-12,79,2020-04-12
2020-04-13,78,2020-04-13
2020-04-14,89,2020-04-14
2020-04-15,88,2020-04-15
2020-04-16,100,2020-04-16
2020-04-17,99,2020-04-17
2020-04-18,104,2020-04-18
2020-04-19,111,2020-04-19
2020-04-20,110,2020-04-20
2020-04-21,115,2020-04-21
2020-04-22,111,2020-04-22
2020-04-23,111,2020-04-23
2020-04-24,150,2020-04-24
2020-04-25,153,2020-04-25
2020-04-26,150,2020-04-26
2020-04-27,150,2020-04-27
2020-04-28,158,2020-04-28
2020-04-29,159,2020-04-29
2020-04-30,189,2020-04-30
2020-05-01,185,2020-05-01
2020-05-02,207,2020-05-02
2020-05-03,206,2020-05-03
2020-05-04,209,2020-05-04
2020-05-05,214,2020-05-05
2020-05-06,233,2020-05-06
2020-05-07,238,2020-05-07
2020-05-08,275,2020-05-08
2020-05-09,301,2020-05-09
2020-05-10,329,2020-05-10
2020-05-11,329,2020-05-11
2020-05-12,344,2020-05-12
2020-05-13,391,2020-05-13
2020-05-14,432,2020-05-14
2020-05-15,476,2020-05-15
2020-05-16,514,2020-05-16
2020-05-17,560,2020-05-17
2020-05-18,582,2020-05-18
2020-05-19,600,2020-05-19
2020-05-20,645,2020-05-20
2020-05-21,682,2020-05-21
2020-05-22,785,2020-05-22
2020-05-23,785,2020-05-23
2020-05-24,901,2020-05-24
2020-05-25,956,2020-05-25
2020-05-26,958,2020-05-26
2020-05-27,1073,2020-05-27
2020-05-28,1241,2020-05-28
2020-05-29,1272,2020-05-29
2020-05-30,1385,2020-05-30
2020-05-31,1588,2020-05-31
2020-06-01,1555,2020-06-01
2020-06-02,1641,2020-06-02
2020-06-03,1774,2020-06-03
2020-06-04,1839,2020-06-04
2020-06-05,2155,2020-06-05
2020-06-06,2310,2020-06-06
2020-06-07,2375,2020-06-07
'2020-06-08',954,+
'2020-06-09',+,+
'2020-06-10',-401,+
'2020-06-11',-422,+
'2020-06-12',-274,+
'2020-06-13',-110,+
'2020-06-14',+,+
'2020-06-15',46,+
'2020-06-16',48,+
'2020-06-17',31,+
'2020-06-18',12,+
'2020-06-19',+,+
'2020-06-20',-5,+
'2020-06-21',-5,+
'2020-06-22',-3,+
