Data,Saida_Estimada,Saida,Erro
2020-03-28,10,10,0
2020-03-29,10,10,0
2020-03-30,10,11,1
2020-03-31,11,12,1
2020-04-01,12,15,3
2020-04-02,15,15,0
2020-04-03,15,23,8
2020-04-04,23,24,1
2020-04-05,24,26,2
2020-04-06,26,26,0
2020-04-07,26,27,1
2020-04-08,27,30,3
2020-04-09,31,40,9
2020-04-10,41,58,17
2020-04-11,60,64,4
2020-04-12,66,78,12
2020-04-13,81,86,5
2020-04-14,89,103,14
2020-04-15,107,115,8
2020-04-16,119,124,5
2020-04-17,129,142,13
2020-04-18,147,148,1
2020-04-19,153,163,10
2020-04-20,169,172,3
2020-04-21,179,185,6
2020-04-22,192,205,13
2020-04-23,213,230,17
2020-04-24,239,254,15
2020-04-25,264,286,22
2020-04-26,297,313,16
2020-04-27,325,349,24
2020-04-28,363,410,47
2020-04-29,426,436,10
2020-04-30,453,499,46
2020-05-01,518,563,45
2020-05-02,585,614,29
2020-05-03,638,701,63
2020-05-04,728,711,-17
2020-05-05,739,802,63
2020-05-06,833,865,32
2020-05-07,899,907,8
2020-05-08,942,1062,120
2020-05-09,1104,1114,10
2020-05-10,1158,1179,21
2020-05-11,1226,1230,4
2020-05-12,1279,1316,37
2020-05-13,1368,1368,+
2020-05-14,1422,1451,29
2020-05-15,1509,1478,-31
2020-05-16,1537,1540,3
2020-05-17,1601,1697,96
2020-05-18,1765,1799,34
2020-05-19,1871,1889,18
2020-05-20,1964,2088,124
2020-05-21,2171,2226,55
2020-05-22,2315,2226,-89
2020-05-23,2315,2454,139
2020-05-24,2552,2612,60
2020-05-25,2717,2687,-30
2020-05-26,2795,2945,150
2020-05-27,3063,3232,169
2020-05-28,3362,3472,110
2020-05-29,3611,3685,74
2020-05-30,3833,3902,69
2020-05-31,4059,3959,-100
2020-06-01,4118,4151,33
2020-06-02,4318,4467,149
2020-06-03,4647,4820,173
2020-06-04,5014,5319,305
2020-06-05,5533,5552,19
2020-06-06,5776,5918,142
2020-06-07,6156,6004,-152
2020-06-08,6406,+,+
2020-06-09,6667,+,+
2020-06-10,6938,+,+
2020-06-11,7220,+,+
2020-06-12,7514,+,+
2020-06-13,7819,+,+
2020-06-14,8137,+,+
2020-06-15,8468,+,+
2020-06-16,8812,+,+
2020-06-17,9170,+,+
2020-06-18,9543,+,+
2020-06-19,9930,+,+
2020-06-20,10333,+,+
2020-06-21,10753,+,+
2020-06-22,11189,+,+
