Data,Saida_Estimada,Saida,Erro
2020-03-12,2,2,0
2020-03-13,32,2,-30
2020-03-14,2,2,0
2020-03-15,2,2,0
2020-03-16,-13,2,15
2020-03-17,-13,16,29
2020-03-18,16,16,0
2020-03-19,31,28,-3
2020-03-20,59,30,-29
2020-03-21,167,30,-137
2020-03-22,137,37,-100
2020-03-23,114,42,-72
2020-03-24,58,42,-16
2020-03-25,73,46,-27
2020-03-26,108,48,-60
2020-03-27,125,56,-69
2020-03-28,57,68,11
2020-03-29,70,73,3
2020-03-30,75,78,3
2020-03-31,35,87,52
2020-04-01,241,95,-146
2020-04-02,143,106,-37
2020-04-03,154,136,-18
2020-04-04,125,176,51
2020-04-05,166,201,35
2020-04-06,192,223,31
2020-04-07,215,352,137
2020-04-08,348,401,53
2020-04-09,444,555,111
2020-04-10,649,684,35
2020-04-11,736,816,80
2020-04-12,888,960,72
2020-04-13,1097,1154,57
2020-04-14,1313,1284,-29
2020-04-15,1462,1484,22
2020-04-16,1714,1683,-31
2020-04-17,1965,2006,41
2020-04-18,2344,2193,-151
2020-04-19,2538,2459,-79
2020-04-20,2828,2690,-138
2020-04-21,3051,2908,-143
2020-04-22,3322,3298,-24
2020-04-23,3679,3519,-160
2020-04-24,3892,3999,107
2020-04-25,4433,4507,74
2020-04-26,4928,4898,-30
2020-04-27,5332,5358,26
2020-04-28,5807,5724,-83
2020-04-29,6200,6194,-6
2020-04-30,6640,6876,236
2020-05-01,7344,7334,-10
2020-05-02,7863,8145,282
2020-05-03,8670,8643,-27
2020-05-04,9184,8863,-321
2020-05-05,9397,9325,-72
2020-05-06,9980,9881,-99
2020-05-07,10463,10824,361
2020-05-08,11407,11587,180
2020-05-09,12256,12470,214
2020-05-10,13152,13275,123
2020-05-11,13984,13768,-216
2020-05-12,14508,14309,-199
2020-05-13,15067,14901,-166
2020-05-14,15633,15588,-45
2020-05-15,16358,16209,-149
2020-05-16,17030,18488,1458
2020-05-17,19444,19452,8
2020-05-18,20364,20094,-270
2020-05-19,21012,21242,230
2020-05-20,22243,22560,317
2020-05-21,23544,23911,367
2020-05-22,24954,25760,806
2020-05-23,26895,26786,-109
2020-05-24,27894,27759,-135
2020-05-25,28929,28366,-563
2020-05-26,29541,28854,-687
2020-05-27,30166,29919,-247
2020-05-28,31145,30713,-432
2020-05-29,31965,32255,290
2020-05-30,33573,33427,-146
2020-05-31,34676,+,+
2020-06-01,35816,+,+
2020-06-02,36994,+,+
2020-06-03,38210,+,+
2020-06-04,39466,+,+
2020-06-05,40763,+,+
2020-06-06,42104,+,+
2020-06-07,43488,+,+
2020-06-08,44917,+,+
2020-06-09,46394,+,+
2020-06-10,47919,+,+
2020-06-11,49495,+,+
2020-06-12,51122,+,+
2020-06-13,52802,+,+
2020-06-14,54538,+,+
