Data,Saida_Estimada,Saida,Erro
2020-03-27,0,0,0
2020-03-28,14,14,0
2020-03-29,16,16,0
2020-03-30,16,16,0
2020-03-31,17,17,0
2020-04-01,20,20,0
2020-04-02,21,21,0
2020-04-03,43,43,0
2020-04-04,53,53,0
2020-04-05,55,58,3
2020-04-06,59,59,0
2020-04-07,61,63,2
2020-04-08,64,63,-1
2020-04-09,65,63,-2
2020-04-10,65,63,-2
2020-04-11,65,65,0
2020-04-12,67,67,0
2020-04-13,69,77,8
2020-04-14,77,82,5
2020-04-15,84,84,0
2020-04-16,87,84,-3
2020-04-17,87,89,2
2020-04-18,91,92,1
2020-04-19,95,94,-1
2020-04-20,97,104,7
2020-04-21,106,105,-1
2020-04-22,109,106,-3
2020-04-23,110,106,-4
2020-04-24,110,110,0
2020-04-25,113,111,-2
2020-04-26,115,112,-3
2020-04-27,116,112,-4
2020-04-28,116,117,1
2020-04-29,120,164,44
2020-04-30,160,174,14
2020-05-01,179,184,5
2020-05-02,189,190,1
2020-05-03,196,191,-5
2020-05-04,198,197,-1
2020-05-05,203,254,51
2020-05-06,251,248,-3
2020-05-07,259,281,22
2020-05-08,285,288,3
2020-05-09,298,296,-2
2020-05-10,306,299,-7
2020-05-11,310,293,-17
2020-05-12,306,335,29
2020-05-13,339,419,80
2020-05-14,417,456,39
2020-05-15,466,502,36
2020-05-16,512,527,15
2020-05-17,543,538,-5
2020-05-18,558,556,-2
2020-05-19,575,626,51
2020-05-20,636,665,29
2020-05-21,684,705,21
2020-05-22,725,736,11
2020-05-23,759,798,39
2020-05-24,817,803,-14
2020-05-25,835,813,-22
2020-05-26,845,885,40
2020-05-27,905,907,2
2020-05-28,940,907,-33
2020-05-29,945,986,41
2020-05-30,1009,1065,56
2020-05-31,1091,1065,-26
2020-06-01,1109,1108,-1
2020-06-02,1144,1129,-15
2020-06-03,1171,1238,67
2020-06-04,1265,1251,-14
2020-06-05,1300,1279,-21
2020-06-06,1326,1279,-47
2020-06-07,1332,1280,-52
2020-06-08,1333,1400,67
2020-06-09,1431,1417,-14
2020-06-10,1472,1461,-11
2020-06-11,1512,1601,89
2020-06-12,1636,1615,-21
2020-06-13,1679,1622,-57
2020-06-14,1688,1643,-45
2020-06-15,1707,1652,-55
2020-06-16,1719,1737,18
2020-06-17,1790,1737,-53
2020-06-18,1810,1810,+
2020-06-19,1869,1815,-54
2020-06-20,1890,2016,126
2020-06-21,2055,2019,-36
2020-06-22,2132.79,2025,-107.789
2020-06-23,2205.01,2029,-176.012
2020-06-24,2281.55,2235,-46.5513
2020-06-25,2360.33,2311,-49.3346
2020-06-26,2441.93,2442,0.0706825
2020-06-27,2526.32,2512,-14.3246
2020-06-28,2613.64,2499,-114.641
2020-06-29,2703.97,2767,63.0255
2020-06-30,2797.43,2853,55.5697
2020-07-01,2894.12,3057,162.884
2020-07-02,2994.14,3185,190.856
2020-07-03,3097.63,3233,135.372
2020-07-04,3204.69,3332,127.31
2020-07-05,3315.45,3381,65.5489
2020-07-06,3430.04,3442,11.9591
2020-07-07,3548.59,4.11063e-321,-3548.59
