Data,Saida_Estimada,Saida,Erro
2020-03-27,0,0,0
2020-03-28,22,22,0
2020-03-29,34,34,0
2020-03-30,36,36,0
2020-03-31,42,42,0
2020-04-01,48,48,0
2020-04-02,56,56,0
2020-04-03,59,77,18
2020-04-04,77,91,14
2020-04-05,94,108,14
2020-04-06,111,113,2
2020-04-07,118,116,-2
2020-04-08,122,112,-10
2020-04-09,119,112,-7
2020-04-10,118,117,-1
2020-04-11,123,131,8
2020-04-12,136,136,0
2020-04-13,143,145,2
2020-04-14,152,159,7
2020-04-15,166,171,5
2020-04-16,179,172,-7
2020-04-17,182,204,22
2020-04-18,210,236,26
2020-04-19,244,259,15
2020-04-20,270,279,9
2020-04-21,292,283,-9
2020-04-22,299,304,5
2020-04-23,318,335,17
2020-04-24,349,358,9
2020-04-25,375,370,-5
2020-04-26,390,397,7
2020-04-27,416,396,-20
2020-04-28,420,402,-18
2020-04-29,425,519,94
2020-04-30,529,567,38
2020-05-01,592,631,39
2020-05-02,657,667,10
2020-05-03,701,677,-24
2020-05-04,716,686,-30
2020-05-05,726,710,-16
2020-05-06,748,727,-21
2020-05-07,768,802,34
2020-05-08,837,829,-8
2020-05-09,874,872,-2
2020-05-10,917,871,-46
2020-05-11,924,906,-18
2020-05-12,954,908,-46
2020-05-13,963,1025,62
2020-05-14,1066,1083,17
2020-05-15,1138,1185,47
2020-05-16,1238,1288,50
2020-05-17,1347,1359,12
2020-05-18,1429,1380,-49
2020-05-19,1460,1451,-9
2020-05-20,1526,1583,57
2020-05-21,1655,1668,13
2020-05-22,1754,1727,-27
2020-05-23,1821,1865,44
2020-05-24,1953,1892,-61
2020-05-25,2002,1895,-107
2020-05-26,2010,2169,159
2020-05-27,2251,2221,-30
2020-05-28,2347,2221,-126
2020-05-29,2467.37,2576,108.63
2020-05-30,2596.1,2908,311.9
2020-05-31,2731.17,2908,176.829
2020-06-01,2873.33,3103,229.666
2020-06-02,3022.88,3209,186.115
2020-06-03,3180.22,3497,316.778
2020-06-04,3345.75,3538,192.252
2020-06-05,3519.89,3610,90.1105
2020-06-06,3703.09,3614,-89.0947
2020-06-07,3895.84,3614,-281.836
2020-06-08,4098.61,4139,40.3918
2020-06-09,4311.93,4208,-103.935
2020-06-10,4536.36,4367,-169.365
2020-06-11,4772.48,4969,196.524
2020-06-12,5020.88,5081,60.1231
2020-06-13,5282.21,+,-5282.21
