Data,Saida_Estimada,Data
2020-04-19,4,2020-04-19
2020-04-20,4,2020-04-20
2020-04-21,4,2020-04-21
2020-04-22,6,2020-04-22
2020-04-23,12,2020-04-23
2020-04-24,14,2020-04-24
2020-04-25,14,2020-04-25
2020-04-26,14,2020-04-26
2020-04-27,14,2020-04-27
2020-04-28,15,2020-04-28
2020-04-29,20,2020-04-29
2020-04-30,26,2020-04-30
2020-05-01,33,2020-05-01
2020-05-02,31,2020-05-02
2020-05-03,32,2020-05-03
2020-05-04,36,2020-05-04
2020-05-05,38,2020-05-05
2020-05-06,39,2020-05-06
2020-05-07,40,2020-05-07
2020-05-08,47,2020-05-08
2020-05-09,52,2020-05-09
2020-05-10,54,2020-05-10
2020-05-11,63,2020-05-11
2020-05-12,63,2020-05-12
2020-05-13,64,2020-05-13
2020-05-14,75,2020-05-14
2020-05-15,82,2020-05-15
2020-05-16,81,2020-05-16
2020-05-17,86,2020-05-17
2020-05-18,85,2020-05-18
2020-05-19,94,2020-05-19
2020-05-20,94,2020-05-20
2020-05-21,95,2020-05-21
2020-05-22,96,2020-05-22
2020-05-23,109,2020-05-23
2020-05-24,114,2020-05-24
2020-05-25,116,2020-05-25
2020-05-26,121,2020-05-26
2020-05-27,131,2020-05-27
2020-05-28,132,2020-05-28
2020-05-29,159,2020-05-29
2020-05-30,168,2020-05-30
2020-05-31,170,2020-05-31
2020-06-01,175,2020-06-01
2020-06-02,179,2020-06-02
'2020-06-03',188,+
'2020-06-04',197,+
'2020-06-05',207,+
'2020-06-06',217,+
'2020-06-07',228,+
'2020-06-08',239,+
'2020-06-09',250,+
'2020-06-10',262,+
'2020-06-11',275,+
'2020-06-12',288,+
'2020-06-13',301,+
'2020-06-14',314,+
'2020-06-15',327,+
'2020-06-16',342,+
'2020-06-17',356,+
'2020-06-18',372,+
'2020-06-19',388,+
'2020-06-20',405,+
'2020-06-21',422,+
'2020-06-22',440,+
'2020-06-23',460,+
'2020-06-24',479,+
'2020-06-25',500,+
'2020-06-26',522,+
'2020-06-27',544,+
