Data,Saida_Estimada,Saida,Erro
2020-04-05,1,1,0
2020-04-06,2,1,-1
2020-04-07,0,1,1
2020-04-08,0,1,1
2020-04-09,0,1,1
2020-04-10,0,1,1
2020-04-11,0,1,1
2020-04-12,0,1,1
2020-04-13,0,1,1
2020-04-14,7,1,-6
2020-04-15,4,1,-3
2020-04-16,4,1,-3
2020-04-17,1,1,0
2020-04-18,1,2,1
2020-04-19,6,2,-4
2020-04-20,5,2,-3
2020-04-21,1,4,3
2020-04-22,3,4,1
2020-04-23,3,4,1
2020-04-24,3,4,1
2020-04-25,3,4,1
2020-04-26,5,6,1
2020-04-27,7,10,3
2020-04-28,9,12,3
2020-04-29,10,13,3
2020-04-30,12,14,2
2020-05-01,12,15,3
2020-05-02,13,20,7
2020-05-03,21,29,8
2020-05-04,31,29,-2
2020-05-05,30,33,3
2020-05-06,42,33,-9
2020-05-07,38,38,0
2020-05-08,45,40,-5
2020-05-09,49,43,-6
2020-05-10,55,44,-11
2020-05-11,57,44,-13
2020-05-12,61,52,-9
2020-05-13,69,52,-17
2020-05-14,70,68,-2
2020-05-15,85,158,73
2020-05-16,173,165,-8
2020-05-17,177,175,-2
2020-05-18,187,179,-8
2020-05-19,190,179,-11
2020-05-20,189,195,6
2020-05-21,205,218,13
2020-05-22,227,229,2
2020-05-23,240,231,-9
2020-05-24,239,240,1
2020-05-25,247,243,-4
2020-05-26,253,251,-2
2020-05-27,258,262,4
2020-05-28,269,266,-3
2020-05-29,272,277,5
2020-05-30,290,284,-6
2020-05-31,289,288,-1
2020-06-01,291,311,20
2020-06-02,318,313,-5
2020-06-03,324,+,+
2020-06-04,331,+,+
2020-06-05,338,+,+
2020-06-06,344,+,+
2020-06-07,350,+,+
2020-06-08,356,+,+
2020-06-09,362,+,+
2020-06-10,368,+,+
2020-06-11,374,+,+
2020-06-12,379,+,+
2020-06-13,294,+,+
2020-06-14,212,+,+
2020-06-15,131,+,+
2020-06-16,53,+,+
2020-06-17,-21,+,+
2020-06-18,-95,+,+
2020-06-19,-167,+,+
2020-06-20,-236,+,+
2020-06-21,-304,+,+
2020-06-22,-370,+,+
2020-06-23,-434,+,+
2020-06-24,-496,+,+
2020-06-25,-556,+,+
2020-06-26,-615,+,+
2020-06-27,-672,+,+
