Data,Saida_Estimada,Data
2020-03-27,0,2020-03-27
2020-03-28,0,2020-03-28
2020-03-29,0,2020-03-29
2020-03-30,0,2020-03-30
2020-03-31,0,2020-03-31
2020-04-01,0,2020-04-01
2020-04-02,0,2020-04-02
2020-04-03,0,2020-04-03
2020-04-04,0,2020-04-04
2020-04-05,0,2020-04-05
2020-04-06,1,2020-04-06
2020-04-07,1,2020-04-07
2020-04-08,1,2020-04-08
2020-04-09,1,2020-04-09
2020-04-10,1,2020-04-10
2020-04-11,1,2020-04-11
2020-04-12,1,2020-04-12
2020-04-13,1,2020-04-13
2020-04-14,1,2020-04-14
2020-04-15,1,2020-04-15
2020-04-16,1,2020-04-16
2020-04-17,1,2020-04-17
2020-04-18,1,2020-04-18
2020-04-19,2,2020-04-19
2020-04-20,2,2020-04-20
2020-04-21,2,2020-04-21
2020-04-22,4,2020-04-22
2020-04-23,4,2020-04-23
2020-04-24,4,2020-04-24
2020-04-25,4,2020-04-25
2020-04-26,4,2020-04-26
2020-04-27,6,2020-04-27
2020-04-28,10,2020-04-28
2020-04-29,12,2020-04-29
2020-04-30,13,2020-04-30
2020-05-01,14,2020-05-01
2020-05-02,15,2020-05-02
2020-05-03,20,2020-05-03
2020-05-04,30,2020-05-04
2020-05-05,30,2020-05-05
2020-05-06,34,2020-05-06
2020-05-07,34,2020-05-07
2020-05-08,39,2020-05-08
2020-05-09,41,2020-05-09
2020-05-10,44,2020-05-10
2020-05-11,45,2020-05-11
2020-05-12,45,2020-05-12
2020-05-13,54,2020-05-13
2020-05-14,54,2020-05-14
2020-05-15,71,2020-05-15
2020-05-16,166,2020-05-16
2020-05-17,172,2020-05-17
2020-05-18,182,2020-05-18
2020-05-19,186,2020-05-19
2020-05-20,186,2020-05-20
2020-05-21,203,2020-05-21
2020-05-22,228,2020-05-22
2020-05-23,239,2020-05-23
2020-05-24,241,2020-05-24
2020-05-25,250,2020-05-25
2020-05-26,253,2020-05-26
2020-05-27,262,2020-05-27
2020-05-28,273,2020-05-28
2020-05-29,277,2020-05-29
2020-05-30,289,2020-05-30
2020-05-31,296,2020-05-31
2020-06-01,300,2020-06-01
2020-06-02,325,2020-06-02
2020-06-03,326,2020-06-03
2020-06-04,376,2020-06-04
2020-06-05,384,2020-06-05
2020-06-06,395,2020-06-06
2020-06-07,426,2020-06-07
2020-06-08,439,2020-06-08
2020-06-09,476,2020-06-09
2020-06-10,484,2020-06-10
2020-06-11,507,2020-06-11
2020-06-12,525,2020-06-12
'2020-06-13',526,+
'2020-06-14',549,+
'2020-06-15',574,+
'2020-06-16',599,+
'2020-06-17',626,+
'2020-06-18',654,+
'2020-06-19',683,+
'2020-06-20',714,+
'2020-06-21',746,+
'2020-06-22',779,+
'2020-06-23',814,+
'2020-06-24',851,+
'2020-06-25',889,+
'2020-06-26',928,+
'2020-06-27',970,+
'2020-06-28',1013,+
