Data,Saida_Estimada,Saida,Erro
2020-02-25,0,0,0
2020-02-26,0,0,0
2020-02-27,0,0,0
2020-02-28,0,0,0
2020-02-29,0,0,0
2020-03-01,0,0,0
2020-03-02,0,0,0
2020-03-03,0,0,0
2020-03-04,0,0,0
2020-03-05,0,0,0
2020-03-06,0,0,0
2020-03-07,0,0,0
2020-03-08,0,0,0
2020-03-09,0,0,0
2020-03-10,0,0,0
2020-03-11,0,0,0
2020-03-12,0,0,0
2020-03-13,0,0,0
2020-03-14,0,0,0
2020-03-15,0,0,0
2020-03-16,0,0,0
2020-03-17,0,0,0
2020-03-18,0,0,0
2020-03-19,0,3,3
2020-03-20,1,4,3
2020-03-21,3,2,-1
2020-03-22,2,2,0
2020-03-23,1,0,-1
2020-03-24,0,6,6
2020-03-25,2,6,4
2020-03-26,5,1,-4
2020-03-27,3,1,-2
2020-03-28,0,0,0
2020-03-29,0,9,9
2020-03-30,4,8,4
2020-03-31,8,0,-8
2020-04-01,3,1,-2
2020-04-02,0,0,0
2020-04-03,0,3,3
2020-04-04,1,0,-1
2020-04-05,1,2,1
2020-04-06,+,2,2
2020-04-07,1,+,-1
2020-04-08,+,4,4
2020-04-09,1,8,7
2020-04-10,5,8,3
2020-04-11,7,2,-5
2020-04-12,4,5,1
2020-04-13,3,13,10
2020-04-14,8,9,1
2020-04-15,10,2,-8
2020-04-16,5,9,4
2020-04-17,5,25,20
2020-04-18,16,7,-9
2020-04-19,15,21,6
2020-04-20,13,13,+
2020-04-21,16,19,3
2020-04-22,15,19,4
2020-04-23,18,13,-5
2020-04-24,15,7,-8
2020-04-25,9,24,15
2020-04-26,14,21,7
2020-04-27,21,+,-21
2020-04-28,9,32,23
2020-04-29,15,43,28
2020-04-30,35,50,15
2020-05-01,44,82,38
2020-05-02,63,67,4
2020-05-03,70,104,34
2020-05-04,81,76,-5
2020-05-05,85,84,-1
2020-05-06,76,126,50
2020-05-07,100,71,-29
2020-05-08,93,163,70
2020-05-09,112,158,46
2020-05-10,152,112,-40
2020-05-11,128,13,-115
2020-05-12,58,130,72
2020-05-13,69,104,35
2020-05-14,111,46,-65
2020-05-15,70,45,-25
2020-05-16,43,82,39
2020-05-17,60,130,70
2020-05-18,101,237,136
2020-05-19,175,248,73
2020-05-20,231,335,104
2020-05-21,278,286,8
2020-05-22,295,240,-55
2020-05-23,249,524,275
2020-05-24,367,293,-74
2020-05-25,386,341,-45
2020-05-26,302,280,-22
2020-05-27,294,470,176
2020-05-28,359,349,-10
2020-05-29,388,241,-147
2020-05-30,279,231,-48
2020-05-31,224,147,-77
2020-06-01,178,107,-71
2020-06-02,120,139,19
2020-06-03,108.223,214,105.777
2020-06-04,108.515,342,233.485
2020-06-05,103.188,263,159.812
2020-06-06,100.725,241,140.275
2020-06-07,97.0502,458,360.95
2020-06-08,94.114,145,50.886
2020-06-09,90.9753,329,238.025
2020-06-10,88.0807,289,200.919
2020-06-11,85.2112,345,259.789
2020-06-12,82.4674,204,121.533
2020-06-13,79.7965,239,159.204
2020-06-14,77.2194,108,30.7806
2020-06-15,74.7221,129,54.2779
2020-06-16,72.3072,232,159.693
2020-06-17,69.9696,336,266.03
2020-06-18,67.7079,8.53745e-321,-67.7079
