Data,Saida_Estimada,Saida,Erro
2020-02-25,0,0,0
2020-02-26,0,0,0
2020-02-27,0,0,0
2020-02-28,0,0,0
2020-02-29,0,0,0
2020-03-01,0,0,0
2020-03-02,0,0,0
2020-03-03,0,0,0
2020-03-04,0,0,0
2020-03-05,0,0,0
2020-03-06,0,0,0
2020-03-07,0,0,0
2020-03-08,0,0,0
2020-03-09,0,0,0
2020-03-10,0,0,0
2020-03-11,0,0,0
2020-03-12,0,0,0
2020-03-13,0,0,0
2020-03-14,0,0,0
2020-03-15,0,0,0
2020-03-16,0,0,0
2020-03-17,0,0,0
2020-03-18,0,0,0
2020-03-19,0,0,0
2020-03-20,0,1,1
2020-03-21,0,0,0
2020-03-22,0,0,0
2020-03-23,0,0,0
2020-03-24,0,0,0
2020-03-25,0,0,0
2020-03-26,0,1,1
2020-03-27,0,0,0
2020-03-28,0,2,2
2020-03-29,0,0,0
2020-03-30,0,4,4
2020-03-31,1,2,1
2020-04-01,2,1,-1
2020-04-02,1,0,-1
2020-04-03,0,8,8
2020-04-04,3,9,6
2020-04-05,6,1,-5
2020-04-06,4,5,1
2020-04-07,2,14,12
2020-04-08,7,59,52
2020-04-09,29,21,-8
2020-04-10,32,38,6
2020-04-11,23,27,4
2020-04-12,26,37,11
2020-04-13,25,12,-13
2020-04-14,20,65,45
2020-04-15,31,27,-4
2020-04-16,37,28,-9
2020-04-17,22,8,-14
2020-04-18,14,23,9
2020-04-19,12,23,11
2020-04-20,18,17,-1
2020-04-21,16,24,8
2020-04-22,16,22,6
2020-04-23,18,69,51
2020-04-24,36,85,49
2020-04-25,62,52,-10
2020-04-26,55,113,58
2020-04-27,66,44,-22
2020-04-28,64,76,12
2020-04-29,48,98,50
2020-04-30,70,64,-6
2020-05-01,66,41,-25
2020-05-02,42,66,24
2020-05-03,43,295,252
2020-05-04,145,251,106
2020-05-05,222,198,-24
2020-05-06,183,115,-68
2020-05-07,127,153,26
2020-05-08,108,123,15
2020-05-09,112,171,59
2020-05-10,119,120,1
2020-05-11,118,58,-60
2020-05-12,72,239,167
2020-05-13,119,95,-24
2020-05-14,136,423,287
2020-05-15,209,202,-7
2020-05-16,255,204,-51
2020-05-17,165,118,-47
2020-05-18,131,71,-60
2020-05-19,77,287,210
2020-05-20,144,239,95
2020-05-21,214,639,425
2020-05-22,355,467,112
2020-05-23,451,436,-15
2020-05-24,367,262,-105
2020-05-25,285,231,-54
2020-05-26,200,383,183
2020-05-27,249,652,403
2020-05-28,419,533,114
2020-05-29,482,317,-165
2020-05-30,347,844,497
2020-05-31,469,289,-180
2020-06-01,464,288,-176
2020-06-02,234,621,387
2020-06-03,368,596,228
2020-06-04,495,444,-51
2020-06-05,424,776,352
2020-06-06,494,446,-48
2020-06-07,499,272,-227
2020-06-08,293,249,-44
2020-06-09,212,477,265
2020-06-10,294,852,558
2020-06-11,538,543,5
2020-06-12,569,517,-52
2020-06-13,431,639,208
2020-06-14,469,190,-279
2020-06-15,339,301,-38
2020-06-16,199,1211,1012
2020-06-17,610,594,-16
2020-06-18,737,769,32
2020-06-19,553,535,-18
2020-06-20,531,1652,1121
2020-06-21,883,266,-617
2020-06-22,788,2842,2054
2020-06-23,1250,1755,505
2020-06-24,1876,482,-1394
2020-06-25,917,496,-421
2020-06-26,397,247,-150
2020-06-27,303,239,-64
2020-06-28,197,84,-113
2020-06-29,132,268,136
2020-06-30,142,239,97
2020-07-01,206,435,229
2020-07-02,273,226,-47
2020-07-03,270,421,151
2020-07-04,262,235,-27
2020-07-05,267,74,-193
2020-07-06,126,121,-5
2020-07-07,79,290,211
2020-07-08,166,230,64
2020-07-09,186.249,239,52.7512
2020-07-10,143.237,317,173.763
2020-07-11,134.32,199,64.6796
2020-07-12,113.001,85,-28.0013
2020-07-13,100.765,188,87.2353
2020-07-14,87.0594,333,245.941
2020-07-15,76.5103,523,446.49
2020-07-16,66.6227,596,529.377
2020-07-17,58.3023,432,373.698
2020-07-18,50.884,149,98.116
2020-07-19,44.4742,120,75.5258
2020-07-20,38.8412,440,401.159
2020-07-21,33.9362,260,226.064
2020-07-22,29.6437,255,225.356
2020-07-23,25.8974,178,152.103
2020-07-24,22.6231,5.49466e-316,-22.6231
