Data,Saida_Estimada,Saida,Erro
2020-02-25,0,0,0
2020-02-26,0,0,0
2020-02-27,0,0,0
2020-02-28,0,0,0
2020-02-29,0,0,0
2020-03-01,0,0,0
2020-03-02,0,0,0
2020-03-03,0,0,0
2020-03-04,0,0,0
2020-03-05,0,0,0
2020-03-06,0,0,0
2020-03-07,1,1,0
2020-03-08,0,0,0
2020-03-09,0,0,0
2020-03-10,0,0,0
2020-03-11,0,1,1
2020-03-12,0,0,0
2020-03-13,0,0,0
2020-03-14,0,4,4
2020-03-15,2,2,0
2020-03-16,2,5,3
2020-03-17,3,9,6
2020-03-18,7,4,-3
2020-03-19,5,16,11
2020-03-20,11,45,34
2020-03-21,33,13,-20
2020-03-22,24,17,-7
2020-03-23,15,16,1
2020-03-24,16,27,11
2020-03-25,22,0,-22
2020-03-26,10,40,30
2020-03-27,24,30,6
2020-03-28,33,30,-3
2020-03-29,29,29,0
2020-03-30,29,23,-6
2020-03-31,25,20,-5
2020-04-01,20,23,3
2020-04-02,21,15,-6
2020-04-03,17,32,15
2020-04-04,25,52,27
2020-04-05,43,14,-29
2020-04-06,28,5,-23
2020-04-07,8,19,11
2020-04-08,13,17,4
2020-04-09,17,18,1
2020-04-10,17,28,11
2020-04-11,23,24,1
2020-04-12,25,35,10
2020-04-13,30,24,-6
2020-04-14,27,13,-14
2020-04-15,17,31,14
2020-04-16,23,34,11
2020-04-17,32,30,-2
2020-04-18,31,16,-15
2020-04-19,21,65,44
2020-04-20,45,45,+
2020-04-21,52,9,-43
2020-04-22,22,65,43
2020-04-23,43,17,-26
2020-04-24,34,26,-8
2020-04-25,22,24,2
2020-04-26,24,53,29
2020-04-27,41,80,39
2020-04-28,69,67,-2
2020-04-29,71,62,-9
2020-04-30,63,81,18
2020-05-01,73,110,37
2020-05-02,98,100,2
2020-05-03,102,83,-19
2020-05-04,88,119,31
2020-05-05,104,50,-54
2020-05-06,75,88,13
2020-05-07,72,352,280
2020-05-08,248,184,-64
2020-05-09,245,134,-111
2020-05-10,151,106,-45
2020-05-11,115,101,-14
2020-05-12,101,196,95
2020-05-13,158,213,55
2020-05-14,204,224,20
2020-05-15,217,371,154
2020-05-16,311,353,42
2020-05-17,356,228,-128
2020-05-18,273,251,-22
2020-05-19,239,234,-5
2020-05-20,238,308,70
2020-05-21,277,381,104
2020-05-22,349,406,57
2020-05-23,392,303,-89
2020-05-24,339,387,48
2020-05-25,351,292,-59
2020-05-26,325,280,-45
2020-05-27,281,551,270
2020-05-28,443,539,96
2020-05-29,538,422,-116
2020-05-30,462,752,290
2020-05-31,620,306,-314
2020-06-01,471,730,259
2020-06-02,562,746,184
2020-06-03,732,764,32
2020-06-04,750,903,153
2020-06-05,841,1285,444
2020-06-06,1128,1642,514
2020-06-07,1491,773,-718
2020-06-08,1094,6,-1088
2020-06-09,295,1461,1166
2020-06-10,897,1343,446
2020-06-11,1374,1074,-300
2020-06-12,1165,889,-276
2020-06-13,950,563,-387
2020-06-14,680,912,232
2020-06-15,771,813,42
2020-06-16,842,1696,854
2020-06-17,1346,1760,414
2020-06-18,1719,1381,-338
2020-06-19,1511,2381,870
2020-06-20,1980,1336,-644
2020-06-21,1718,989,-729
2020-06-22,1110,921,-189
2020-06-23,938,1220,282
2020-06-24,1095,1886,791
2020-06-25,1616,1617,1
2020-06-26,1703,2455,752
2020-06-27,2115,1440,-675
2020-06-28,1810,2139,329
2020-06-29,1854,2166,312
2020-06-30,2135,2147,12
2020-07-01,2134,1458,-676
2020-07-02,1704,1605,-99
2020-07-03,1534,1715,181
2020-07-04,1657,1764,107
2020-07-05,1728,2094,366
2020-07-06,1949,2529,580
2020-07-07,2340,2311,-29
2020-07-08,2371,1620,-751
2020-07-09,2326.07,1363,-963.073
2020-07-10,2321.22,1620,-701.225
2020-07-11,2301.27,1109,-1192.27
2020-07-12,2287.22,2306,18.7811
2020-07-13,2271.07,1572,-699.067
2020-07-14,2255.86,1370,-885.86
2020-07-15,2240.44,1725,-515.438
2020-07-16,2225.24,2242,16.7582
2020-07-17,2210.1,1779,-431.103
2020-07-18,2195.08,1763,-432.085
2020-07-19,2180.16,1249,-931.162
2020-07-20,2165.34,1875,-290.343
2020-07-21,2150.62,1789,-361.623
2020-07-22,2136,1725,-411.005
2020-07-23,2121.49,2222,100.515
2020-07-24,2107.06,1.11258e-307,-2107.06
