Data,Saida_Estimada,Saida,Erro
2020-02-25,0,0,0
2020-02-26,0,0,0
2020-02-27,0,0,0
2020-02-28,0,0,0
2020-02-29,0,0,0
2020-03-01,0,0,0
2020-03-02,0,0,0
2020-03-03,0,0,0
2020-03-04,0,0,0
2020-03-05,0,0,0
2020-03-06,0,0,0
2020-03-07,0,0,0
2020-03-08,0,0,0
2020-03-09,0,0,0
2020-03-10,0,0,0
2020-03-11,0,0,0
2020-03-12,0,0,0
2020-03-13,0,0,0
2020-03-14,0,0,0
2020-03-15,0,0,0
2020-03-16,0,0,0
2020-03-17,0,0,0
2020-03-18,0,0,0
2020-03-19,0,0,0
2020-03-20,0,0,0
2020-03-21,0,1,1
2020-03-22,0,1,1
2020-03-23,1,0,-1
2020-03-24,0,6,6
2020-03-25,3,0,-3
2020-03-26,2,2,0
2020-03-27,1,3,2
2020-03-28,2,1,-1
2020-03-29,1,2,1
2020-03-30,1,7,6
2020-03-31,5,8,3
2020-04-01,7,21,14
2020-04-02,16,19,3
2020-04-03,20,10,-10
2020-04-04,13,7,-6
2020-04-05,8,8,0
2020-04-06,7,37,30
2020-04-07,26,39,13
2020-04-08,38,58,20
2020-04-09,51,43,-8
2020-04-10,49,20,-29
2020-04-11,29,51,22
2020-04-12,39,54,15
2020-04-13,53,47,-6
2020-04-14,50,33,-17
2020-04-15,38,152,114
2020-04-16,108,65,-43
2020-04-17,98,102,4
2020-04-18,89,243,154
2020-04-19,192,165,-27
2020-04-20,196,115,-81
2020-04-21,135,76,-59
2020-04-22,91,208,117
2020-04-23,160,153,-7
2020-04-24,175,194,19
2020-04-25,180,154,-26
2020-04-26,171,118,-53
2020-04-27,133,187,54
2020-04-28,163,118,-45
2020-04-29,145,276,131
2020-04-30,219,386,167
2020-05-01,349,316,-33
2020-05-02,346,299,-47
2020-05-03,309,235,-74
2020-05-04,262,187,-75
2020-05-05,207,303,96
2020-05-06,262,498,236
2020-05-07,430,361,-69
2020-05-08,417,520,103
2020-05-09,466,856,390
2020-05-10,738,834,96
2020-05-11,852,545,-307
2020-05-12,661,382,-279
2020-05-13,448,586,138
2020-05-14,515,689,174
2020-05-15,658,938,280
2020-05-16,855,853,-2
2020-05-17,896,900,4
2020-05-18,893,746,-147
2020-05-19,814,960,146
2020-05-20,890,916,26
2020-05-21,944,944,+
2020-05-22,945,1154,209
2020-05-23,1088,1555,467
2020-05-24,1422,2424,1002
2020-05-25,2123,1595,-528
2020-05-26,1930,1492,-438
2020-05-27,1550,1867,317
2020-05-28,1747,1834,87
2020-05-29,1869,2503,634
2020-05-30,2280,2138,-142
2020-05-31,2304,2019,-285
2020-06-01,2089,658,-1431
2020-06-02,1184,1328,144
2020-06-03,1089,1549,460
2020-06-04,1484,2455,971
2020-06-05,2141,2684,543
2020-06-06,2630,2157,-473
2020-06-07,2384,2123,-261
2020-06-08,2162,1778,-384
2020-06-09,1931,2698,767
2020-06-10,2381,1439,-942
2020-06-11,1936,2172,236
2020-06-12,1920,1925,5
2020-06-13,2043,1254,-789
2020-06-14,1525,991,-534
2020-06-15,1103,742,-361
2020-06-16,846,2119,1273
2020-06-17,1621,2024,403
2020-06-18,2085,1356,-729
2020-06-19,1627,2409,782
2020-06-20,2038,1173,-865
2020-06-21,1658,386,-1272
2020-06-22,690,630,-60
2020-06-23,545,1332,787
2020-06-24,1081,1293,212
2020-06-25,1324,1611,287
2020-06-26,1510,1773,263
2020-06-27,1733,1417,-316
2020-06-28,1570,397,-1173
2020-06-29,790,457,-333
2020-06-30,439,1482,1043
2020-07-01,1110,2805,1695
2020-07-02,1265.66,2769,1503.34
2020-07-03,1222.43,2189,966.571
2020-07-04,1254.36,843,-411.362
2020-07-05,1258.09,657,-601.087
2020-07-06,1272.6,537,-735.596
2020-07-07,1283.18,1837,553.816
2020-07-08,1295.4,851,-444.399
2020-07-09,1307.15,2384,1076.85
2020-07-10,1319.22,1395,75.7751
2020-07-11,1331.33,1680,348.67
2020-07-12,1343.58,554,-789.577
2020-07-13,1355.92,878,-477.924
2020-07-14,1368.39,1637,268.61
2020-07-15,1380.97,1002,-378.969
2020-07-16,1393.66,1657,263.336
2020-07-17,1406.48,2.89374e-320,-1406.48
