Data,Saida_Estimada,Saida,Erro
2020-02-25,0,0,0
2020-02-26,0,0,0
2020-02-27,0,0,0
2020-02-28,0,0,0
2020-02-29,0,0,0
2020-03-01,0,0,0
2020-03-02,0,0,0
2020-03-03,0,0,0
2020-03-04,0,0,0
2020-03-05,0,0,0
2020-03-06,0,0,0
2020-03-07,0,0,0
2020-03-08,0,0,0
2020-03-09,0,0,0
2020-03-10,0,0,0
2020-03-11,0,0,0
2020-03-12,0,0,0
2020-03-13,0,0,0
2020-03-14,0,0,0
2020-03-15,0,0,0
2020-03-16,0,0,0
2020-03-17,0,0,0
2020-03-18,0,0,0
2020-03-19,0,1,1
2020-03-20,0,0,0
2020-03-21,0,0,0
2020-03-22,0,0,0
2020-03-23,0,1,1
2020-03-24,0,1,1
2020-03-25,0,0,0
2020-03-26,0,2,2
2020-03-27,0,4,4
2020-03-28,2,5,3
2020-03-29,3,0,-3
2020-03-30,1,1,0
2020-03-31,0,2,2
2020-04-01,1,3,2
2020-04-02,1,1,0
2020-04-03,1,8,7
2020-04-04,3,3,0
2020-04-05,3,2,-1
2020-04-06,1,1,+
2020-04-07,+,1,1
2020-04-08,+,5,5
2020-04-09,2,14,12
2020-04-10,7,24,17
2020-04-11,13,6,-7
2020-04-12,8,16,8
2020-04-13,8,10,2
2020-04-14,8,25,17
2020-04-15,13,15,2
2020-04-16,12,14,2
2020-04-17,9,30,21
2020-04-18,16,10,-6
2020-04-19,11,31,20
2020-04-20,15,9,-6
2020-04-21,11,18,7
2020-04-22,9,38,29
2020-04-23,20,44,24
2020-04-24,28,41,13
2020-04-25,28,61,33
2020-04-26,36,52,16
2020-04-27,37,44,7
2020-04-28,31,90,59
2020-04-29,49,66,17
2020-04-30,50,115,65
2020-05-01,65,112,47
2020-05-02,76,108,32
2020-05-03,73,135,62
2020-05-04,84,50,-34
2020-05-05,54,142,88
2020-05-06,73,132,59
2020-05-07,91,164,73
2020-05-08,102,374,272
2020-05-09,200,125,-75
2020-05-10,145,185,40
2020-05-11,109,184,75
2020-05-12,124,252,128
2020-05-13,152,268,116
2020-05-14,176,316,140
2020-05-15,200,378,178
2020-05-16,239,324,85
2020-05-17,231,284,53
2020-05-18,200,439,239
2020-05-19,257,514,257
2020-05-20,327,538,211
2020-05-21,356,400,44
2020-05-22,303,644,341
2020-05-23,373,626,253
2020-05-24,425,315,-110
2020-05-25,288,193,-95
2020-05-26,159,903,744
2020-05-27,433,1290,857
2020-05-28,773,923,150
2020-05-29,711,879,168
2020-05-30,602,851,249
2020-05-31,579,300,-279
2020-06-01,336,533,197
2020-06-02,301,1164,863
2020-06-03,628,1159,531
2020-06-04,781,1561,780
2020-06-05,952,1000,48
2020-06-06,810,1208,398
2020-06-07,591.696,523,-68.6958
2020-06-08,451.693,641,189.307
2020-06-09,338.293,1501,1162.71
2020-06-10,255.454,1580,1324.55
2020-06-11,192.217,1338,1145.78
2020-06-12,144.856,1186,1041.14
2020-06-13,109.092,898,788.908
2020-06-14,82.1812,559,476.819
2020-06-15,61.9012,655,593.099
2020-06-16,46.6283,1460,1413.37
2020-06-17,35.1228,1584,1548.88
2020-06-18,26.4566,48,21.5434
2020-06-19,19.9286,3333,3313.07
2020-06-20,15.0113,1428,1412.99
2020-06-21,11.3074,263,251.693
2020-06-22,8.51737,8.06611e-308,-8.51737
