Data,Saida_Estimada,Data
2020-03-27,0,2020-03-27
2020-03-28,7,2020-03-28
2020-03-29,7,2020-03-29
2020-03-30,7,2020-03-30
2020-03-31,8,2020-03-31
2020-04-01,8,2020-04-01
2020-04-02,8,2020-04-02
2020-04-03,8,2020-04-03
2020-04-04,8,2020-04-04
2020-04-05,9,2020-04-05
2020-04-06,9,2020-04-06
2020-04-07,9,2020-04-07
2020-04-08,9,2020-04-08
2020-04-09,11,2020-04-09
2020-04-10,12,2020-04-10
2020-04-11,13,2020-04-11
2020-04-12,13,2020-04-12
2020-04-13,15,2020-04-13
2020-04-14,15,2020-04-14
2020-04-15,15,2020-04-15
2020-04-16,15,2020-04-16
2020-04-17,15,2020-04-17
2020-04-18,15,2020-04-18
2020-04-19,15,2020-04-19
2020-04-20,15,2020-04-20
2020-04-21,15,2020-04-21
2020-04-22,15,2020-04-22
2020-04-23,15,2020-04-23
2020-04-24,15,2020-04-24
2020-04-25,16,2020-04-25
2020-04-26,17,2020-04-26
2020-04-27,17,2020-04-27
2020-04-28,18,2020-04-28
2020-04-29,18,2020-04-29
2020-04-30,23,2020-04-30
2020-05-01,22,2020-05-01
2020-05-02,22,2020-05-02
2020-05-03,22,2020-05-03
2020-05-04,22,2020-05-04
2020-05-05,22,2020-05-05
2020-05-06,22,2020-05-06
2020-05-07,24,2020-05-07
2020-05-08,23,2020-05-08
2020-05-09,22,2020-05-09
2020-05-10,22,2020-05-10
2020-05-11,27,2020-05-11
2020-05-12,26,2020-05-12
2020-05-13,24,2020-05-13
2020-05-14,25,2020-05-14
2020-05-15,27,2020-05-15
2020-05-16,31,2020-05-16
2020-05-17,36,2020-05-17
2020-05-18,38,2020-05-18
2020-05-19,41,2020-05-19
2020-05-20,43,2020-05-20
2020-05-21,48,2020-05-21
2020-05-22,57,2020-05-22
2020-05-23,59,2020-05-23
2020-05-24,66,2020-05-24
2020-05-25,68,2020-05-25
2020-05-26,73,2020-05-26
2020-05-27,84,2020-05-27
2020-05-28,96,2020-05-28
2020-05-29,107,2020-05-29
2020-05-30,132,2020-05-30
2020-05-31,123,2020-05-31
2020-06-01,130,2020-06-01
2020-06-02,191,2020-06-02
2020-06-03,205,2020-06-03
2020-06-04,244,2020-06-04
2020-06-05,267,2020-06-05
2020-06-06,278,2020-06-06
2020-06-07,318,2020-06-07
2020-06-08,341,2020-06-08
2020-06-09,432,2020-06-09
2020-06-10,488,2020-06-10
2020-06-11,530,2020-06-11
2020-06-12,623,2020-06-12
2020-06-13,703,2020-06-13
2020-06-14,708,2020-06-14
2020-06-15,706,2020-06-15
2020-06-16,2385,2020-06-16
2020-06-17,2241,2020-06-17
2020-06-18,2373,2020-06-18
2020-06-19,2510,2020-06-19
2020-06-20,2628,2020-06-20
2020-06-21,3072,2020-06-21
2020-06-22,3726,2020-06-22
2020-06-23,3977,2020-06-23
2020-06-24,4250,2020-06-24
2020-06-25,4419,2020-06-25
2020-06-26,4580,2020-06-26
2020-06-27,4806,2020-06-27
2020-06-28,4836,2020-06-28
2020-06-29,4871,2020-06-29
2020-06-30,4978,2020-06-30
2020-07-01,5138,2020-07-01
2020-07-02,5300,2020-07-02
2020-07-03,5340,2020-07-03
2020-07-04,5342,2020-07-04
2020-07-05,5605,2020-07-05
2020-07-06,5585,2020-07-06
2020-07-07,5700,2020-07-07
2020-07-08,5956,2020-07-08
2020-07-09,6099,2020-07-09
2020-07-10,6276,2020-07-10
2020-07-11,6736,2020-07-11
2020-07-12,6769,2020-07-12
2020-07-13,6846,2020-07-13
2020-07-14,6914,2020-07-14
2020-07-15,7013,2020-07-15
2020-07-16,7076,2020-07-16
2020-07-17,7200,2020-07-17
2020-07-18,7227,2020-07-18
2020-07-19,7229,2020-07-19
2020-07-20,7223,2020-07-20
2020-07-21,7225,2020-07-21
2020-07-22,7513,2020-07-22
2020-07-23,7835,2020-07-23
'2020-07-24',8149,+
'2020-07-25',8352,+
'2020-07-26',8557,+
'2020-07-27',8767,+
'2020-07-28',8982,+
'2020-07-29',9203,+
'2020-07-30',9429,+
'2020-07-31',9660,+
'2020-08-01',9897,+
'2020-08-02',10140,+
'2020-08-03',10389,+
'2020-08-04',10644,+
'2020-08-05',10905,+
'2020-08-06',11173,+
'2020-08-07',11447,+
'2020-08-08',11728,+
