Data,Saida_Estimada,Saida,Erro
2020-03-27,0,0,0
2020-03-28,0,0,0
2020-03-29,0,0,0
2020-03-30,0,0,0
2020-03-31,0,0,0
2020-04-01,0,0,0
2020-04-02,0,0,0
2020-04-03,0,0,0
2020-04-04,0,0,0
2020-04-05,0,0,0
2020-04-06,0,0,0
2020-04-07,0,0,0
2020-04-08,0,0,0
2020-04-09,0,0,0
2020-04-10,0,0,0
2020-04-11,0,0,0
2020-04-12,0,0,0
2020-04-13,0,0,0
2020-04-14,0,0,0
2020-04-15,0,0,0
2020-04-16,0,1,1
2020-04-17,1,1,0
2020-04-18,1,1,0
2020-04-19,1,1,0
2020-04-20,1,1,0
2020-04-21,1,2,1
2020-04-22,2,2,0
2020-04-23,2,3,1
2020-04-24,3,3,0
2020-04-25,3,3,0
2020-04-26,3,3,0
2020-04-27,3,4,1
2020-04-28,4,4,0
2020-04-29,4,4,0
2020-04-30,4,4,0
2020-05-01,4,4,0
2020-05-02,4,4,0
2020-05-03,4,4,0
2020-05-04,4,4,0
2020-05-05,4,4,0
2020-05-06,4,4,0
2020-05-07,4,4,+
2020-05-08,4,4,+
2020-05-09,4,4,+
2020-05-10,4,4,+
2020-05-11,4,4,+
2020-05-12,4,4,+
2020-05-13,4,5,1
2020-05-14,5,5,+
2020-05-15,5,5,+
2020-05-16,5,6,1
2020-05-17,6,6,+
2020-05-18,6,7,1
2020-05-19,7,7,+
2020-05-20,7,7,+
2020-05-21,7,7,+
2020-05-22,7,7,+
2020-05-23,7,7,+
2020-05-24,7,7,+
2020-05-25,7,7,+
2020-05-26,7,7,+
2020-05-27,7,8,1
2020-05-28,8,8,+
2020-05-29,8,8,+
2020-05-30,8,8,+
2020-05-31,8,8,+
2020-06-01,8,8,+
2020-06-02,8,8,+
2020-06-03,8,8,+
2020-06-04,8,8,+
2020-06-05,8,8,+
2020-06-06,8,8,+
2020-06-07,8,8,+
2020-06-08,8,8,+
2020-06-09,8,8,+
2020-06-10,8,8,+
2020-06-11,8,8,+
2020-06-12,8,8,+
2020-06-13,8,8,+
2020-06-14,8,8,+
2020-06-15,8,8,+
2020-06-16,8,9,1
2020-06-17,9,9,+
2020-06-18,9,9,+
2020-06-19,9,9,+
2020-06-20,9,9,+
2020-06-21,9,9,+
2020-06-22,9,9,+
2020-06-23,9,9,+
2020-06-24,9,9,+
2020-06-25,9,9,+
2020-06-26,9,9,+
2020-06-27,9,9,+
2020-06-28,9,9,+
2020-06-29,9,9,+
2020-06-30,9,9,+
2020-07-01,9,9,+
2020-07-02,9,9,+
2020-07-03,9,11,2
2020-07-04,11,11,+
2020-07-05,11,12,1
2020-07-06,12,13,1
2020-07-07,13,13,+
2020-07-08,13,13,+
2020-07-09,13,13,+
2020-07-10,13,14,1
2020-07-11,14,15,1
2020-07-12,15,15,+
2020-07-13,15,15,+
2020-07-14,15,16,1
2020-07-15,16,16,+
2020-07-16,16,17,1
2020-07-17,17,18,1
2020-07-18,18,19,1
2020-07-19,19,19,+
2020-07-20,19,19,+
2020-07-21,19,20,1
2020-07-22,20,20,+
2020-07-23,20,20,+
2020-07-24,20,21,1
2020-07-25,21,22,1
2020-07-26,22,24,2
2020-07-27,24,24,+
2020-07-28,24,24,+
2020-07-29,24,27,3
2020-07-30,27,27,+
2020-07-31,27,28,1
2020-08-01,28,32,4
2020-08-02,32,32,+
2020-08-03,32,32,+
2020-08-04,32,34,2
2020-08-05,32.6371,35,2.36286
2020-08-06,33.3111,35,1.68893
2020-08-07,33.9998,35,1.00019
2020-08-08,34.7028,35,0.297176
2020-08-09,35.4204,36,0.579623
2020-08-10,36.1528,37,0.847234
2020-08-11,36.9003,38,1.0997
2020-08-12,37.6633,38,0.336711
2020-08-13,38.4421,38,-0.442055
2020-08-14,39.2369,38,-1.23692
2020-08-15,40.0482,38,-2.04823
2020-08-16,40.8763,38,-2.87631
2020-08-17,41.7215,39,-2.72151
2020-08-18,42.5842,40,-2.58419
2020-08-19,43.4647,41,-2.46471
2020-08-20,44.3634,6.10771e-315,-44.3634
