Data,Saida_Estimada,Data
2020-03-27,0,2020-03-27
2020-03-28,0,2020-03-28
2020-03-29,0,2020-03-29
2020-03-30,0,2020-03-30
2020-03-31,0,2020-03-31
2020-04-01,0,2020-04-01
2020-04-02,0,2020-04-02
2020-04-03,0,2020-04-03
2020-04-04,0,2020-04-04
2020-04-05,0,2020-04-05
2020-04-06,0,2020-04-06
2020-04-07,0,2020-04-07
2020-04-08,0,2020-04-08
2020-04-09,0,2020-04-09
2020-04-10,0,2020-04-10
2020-04-11,0,2020-04-11
2020-04-12,0,2020-04-12
2020-04-13,0,2020-04-13
2020-04-14,0,2020-04-14
2020-04-15,0,2020-04-15
2020-04-16,0,2020-04-16
2020-04-17,0,2020-04-17
2020-04-18,0,2020-04-18
2020-04-19,0,2020-04-19
2020-04-20,0,2020-04-20
2020-04-21,0,2020-04-21
2020-04-22,0,2020-04-22
2020-04-23,0,2020-04-23
2020-04-24,0,2020-04-24
2020-04-25,0,2020-04-25
2020-04-26,0,2020-04-26
2020-04-27,0,2020-04-27
2020-04-28,0,2020-04-28
2020-04-29,0,2020-04-29
2020-04-30,0,2020-04-30
2020-05-01,0,2020-05-01
2020-05-02,0,2020-05-02
2020-05-03,0,2020-05-03
2020-05-04,0,2020-05-04
2020-05-05,0,2020-05-05
2020-05-06,1,2020-05-06
2020-05-07,1,2020-05-07
2020-05-08,1,2020-05-08
2020-05-09,4,2020-05-09
2020-05-10,7,2020-05-10
2020-05-11,8,2020-05-11
2020-05-12,8,2020-05-12
2020-05-13,11,2020-05-13
2020-05-14,17,2020-05-14
2020-05-15,18,2020-05-15
2020-05-16,22,2020-05-16
2020-05-17,23,2020-05-17
2020-05-18,26,2020-05-18
2020-05-19,28,2020-05-19
2020-05-20,29,2020-05-20
2020-05-21,29,2020-05-21
2020-05-22,34,2020-05-22
2020-05-23,34,2020-05-23
2020-05-24,34,2020-05-24
2020-05-25,37,2020-05-25
2020-05-26,38,2020-05-26
2020-05-27,38,2020-05-27
2020-05-28,45,2020-05-28
2020-05-29,43,2020-05-29
2020-05-30,44,2020-05-30
2020-05-31,48,2020-05-31
2020-06-01,49,2020-06-01
2020-06-02,49,2020-06-02
2020-06-03,49,2020-06-03
2020-06-04,53,2020-06-04
2020-06-05,54,2020-06-05
2020-06-06,55,2020-06-06
2020-06-07,56,2020-06-07
2020-06-08,58,2020-06-08
2020-06-09,58,2020-06-09
2020-06-10,58,2020-06-10
2020-06-11,58,2020-06-11
2020-06-12,71,2020-06-12
2020-06-13,74,2020-06-13
2020-06-14,74,2020-06-14
2020-06-15,79,2020-06-15
2020-06-16,80,2020-06-16
2020-06-17,86,2020-06-17
2020-06-18,100,2020-06-18
2020-06-19,107,2020-06-19
2020-06-20,113,2020-06-20
2020-06-21,119,2020-06-21
2020-06-22,129,2020-06-22
2020-06-23,136,2020-06-23
'2020-06-24',137,+
'2020-06-25',143,+
'2020-06-26',150,+
'2020-06-27',158,+
'2020-06-28',165,+
'2020-06-29',174,+
'2020-06-30',182,+
'2020-07-01',191,+
'2020-07-02',200,+
'2020-07-03',210,+
'2020-07-04',221,+
'2020-07-05',231,+
'2020-07-06',243,+
'2020-07-07',255,+
'2020-07-08',267,+
'2020-07-09',280,+
