Data,Saida_Estimada,Saida,Erro
2020-03-27,0,0,0
2020-03-28,0,0,0
2020-03-29,0,0,0
2020-03-30,0,0,0
2020-03-31,0,0,0
2020-04-01,0,0,0
2020-04-02,0,0,0
2020-04-03,0,0,0
2020-04-04,0,0,0
2020-04-05,0,0,0
2020-04-06,0,1,1
2020-04-07,1,1,0
2020-04-08,1,1,0
2020-04-09,1,1,0
2020-04-10,1,2,1
2020-04-11,2,2,0
2020-04-12,2,2,0
2020-04-13,2,2,0
2020-04-14,2,2,0
2020-04-15,2,2,0
2020-04-16,2,2,0
2020-04-17,2,2,0
2020-04-18,2,2,0
2020-04-19,2,2,0
2020-04-20,2,2,0
2020-04-21,2,2,0
2020-04-22,2,2,0
2020-04-23,2,2,0
2020-04-24,2,2,0
2020-04-25,2,2,0
2020-04-26,2,2,0
2020-04-27,2,2,0
2020-04-28,2,2,0
2020-04-29,2,2,0
2020-04-30,2,2,0
2020-05-01,2,2,0
2020-05-02,2,2,0
2020-05-03,2,2,0
2020-05-04,2,2,0
2020-05-05,2,2,0
2020-05-06,2,2,0
2020-05-07,2,2,+
2020-05-08,2,3,1
2020-05-09,3,4,1
2020-05-10,4,4,+
2020-05-11,4,4,+
2020-05-12,4,4,+
2020-05-13,4,4,+
2020-05-14,4,4,+
2020-05-15,4,4,+
2020-05-16,4,4,+
2020-05-17,4,4,+
2020-05-18,4,4,+
2020-05-19,4,4,+
2020-05-20,4,7,3
2020-05-21,7,7,+
2020-05-22,7,12,5
2020-05-23,13,14,1
2020-05-24,14,14,+
2020-05-25,14,15,1
2020-05-26,15,15,+
2020-05-27,15,16,1
2020-05-28,16,16,+
2020-05-29,16,22,6
2020-05-30,23,37,14
2020-05-31,40,37,-3
2020-06-01,38,41,3
2020-06-02,43,41,-2
2020-06-03,42,42,+
2020-06-04,43.7994,42,-1.79945
2020-06-05,45.7872,50,4.2128
2020-06-06,47.8808,55,7.11918
2020-06-07,50.0724,55,4.92762
2020-06-08,52.3646,55,2.63543
2020-06-09,54.7617,55,0.238277
2020-06-10,57.2686,59,1.73138
2020-06-11,59.8903,64,4.10972
2020-06-12,62.632,65,2.36804
2020-06-13,65.4991,66,0.500851
2020-06-14,68.4976,68,-0.49759
2020-06-15,71.6333,69,-2.6333
2020-06-16,74.9125,74,-0.912549
2020-06-17,78.3419,78,-0.34192
2020-06-18,81.9283,78,-3.92828
2020-06-19,85.6788,+,-85.6788
