Data,Saida_Estimada,Saida,Erro
2020-03-27,0,0,0
2020-03-28,0,0,0
2020-03-29,0,0,0
2020-03-30,0,0,0
2020-03-31,0,0,0
2020-04-01,0,0,0
2020-04-02,0,0,0
2020-04-03,0,0,0
2020-04-04,0,0,0
2020-04-05,0,0,0
2020-04-06,0,0,0
2020-04-07,0,0,0
2020-04-08,0,0,0
2020-04-09,0,0,0
2020-04-10,0,0,0
2020-04-11,0,0,0
2020-04-12,0,0,0
2020-04-13,0,0,0
2020-04-14,0,0,0
2020-04-15,0,0,0
2020-04-16,0,1,1
2020-04-17,1,1,0
2020-04-18,1,1,0
2020-04-19,1,3,2
2020-04-20,3,4,1
2020-04-21,4,3,-1
2020-04-22,3,4,1
2020-04-23,4,4,0
2020-04-24,4,5,1
2020-04-25,5,9,4
2020-04-26,9,15,6
2020-04-27,16,17,1
2020-04-28,17,21,4
2020-04-29,22,25,3
2020-04-30,26,28,2
2020-05-01,29,30,1
2020-05-02,31,40,9
2020-05-03,42,42,0
2020-05-04,43,43,0
2020-05-05,44,50,6
2020-05-06,52,51,-1
2020-05-07,52,57,5
2020-05-08,59,63,4
2020-05-09,65,65,+
2020-05-10,67,75,8
2020-05-11,78,80,2
2020-05-12,83,94,11
2020-05-13,98,101,3
2020-05-14,105,105,+
2020-05-15,109,129,20
2020-05-16,135,136,1
2020-05-17,141,158,17
2020-05-18,165,162,-3
2020-05-19,168,173,5
2020-05-20,180,180,+
2020-05-21,187,213,26
2020-05-22,223,219,-4
2020-05-23,227,224,-3
2020-05-24,232,233,1
2020-05-25,242,263,21
2020-05-26,275,273,-2
2020-05-27,284,283,-1
2020-05-28,294,301,7
2020-05-29,313,330,17
2020-05-30,344,350,6
2020-05-31,364,361,-3
2020-06-01,375,459,84
2020-06-02,484,467,-17
2020-06-03,485,473,-12
2020-06-04,491,577,86
2020-06-05,607,598,-9
2020-06-06,622,698,76
2020-06-07,732,761,29
2020-06-08,794,761,-33
2020-06-09,789,816,27
2020-06-10,850,852,2
2020-06-11,886,960,74
2020-06-12,921.879,1053,131.121
2020-06-13,959.251,1078,118.749
2020-06-14,998.143,1123,124.857
2020-06-15,1038.61,1134,95.3893
2020-06-16,1080.72,1171,90.2803
2020-06-17,1124.54,1235,110.464
2020-06-18,1170.13,1292,121.872
2020-06-19,1217.57,1330,112.43
2020-06-20,1266.93,1337,70.066
2020-06-21,1318.3,1382,63.7
2020-06-22,1371.75,1402,30.2515
2020-06-23,1427.36,1431,3.63605
2020-06-24,1485.23,1440,-45.2343
2020-06-25,1545.45,1524,-21.4509
2020-06-26,1608.11,1578,-30.1088
2020-06-27,1673.31,3.71537e-321,-1673.31
