Data,Saida_Estimada,Saida,Erro
2020-04-16,0,0,0
2020-04-17,0,0,0
2020-04-18,0,0,0
2020-04-19,0,1,1
2020-04-20,1,1,0
2020-04-21,0,1,1
2020-04-22,0,1,1
2020-04-23,0,1,1
2020-04-24,0,1,1
2020-04-25,0,1,1
2020-04-26,0,1,1
2020-04-27,0,1,1
2020-04-28,0,1,1
2020-04-29,0,2,2
2020-04-30,1,2,1
2020-05-01,1,2,1
2020-05-02,1,3,2
2020-05-03,2,3,1
2020-05-04,2,3,1
2020-05-05,2,5,3
2020-05-06,4,5,1
2020-05-07,4,5,1
2020-05-08,4,5,1
2020-05-09,4,6,2
2020-05-10,5,7,2
2020-05-11,6,8,2
2020-05-12,7,9,2
2020-05-13,8,9,1
2020-05-14,8,10,2
2020-05-15,8,11,3
2020-05-16,10,11,1
2020-05-17,10,14,4
2020-05-18,12,14,2
2020-05-19,12,15,3
2020-05-20,12,14,2
2020-05-21,10,15,5
2020-05-22,11,17,6
2020-05-23,12,19,7
2020-05-24,14,20,6
2020-05-25,15,22,7
2020-05-26,17,23,6
2020-05-27,18,22,4
2020-05-28,17,23,6
2020-05-29,18,26,8
2020-05-30,21,27,6
2020-05-31,22,28,6
2020-06-01,23,30,7
2020-06-02,25,31,6
2020-06-03,26,32,6
2020-06-04,27,34,7
2020-06-05,32,+,+
2020-06-06,38,+,+
2020-06-07,43,+,+
2020-06-08,48,+,+
2020-06-09,52,+,+
2020-06-10,56,+,+
2020-06-11,60,+,+
2020-06-12,63,+,+
2020-06-13,67,+,+
2020-06-14,70,+,+
2020-06-15,72,+,+
2020-06-16,75,+,+
2020-06-17,77,+,+
2020-06-18,80,+,+
2020-06-19,82,+,+
