Data,Saida_Estimada,Data
2020-04-18,0,2020-04-18
2020-04-19,0,2020-04-19
2020-04-20,0,2020-04-20
2020-04-21,0,2020-04-21
2020-04-22,0,2020-04-22
2020-04-23,0,2020-04-23
2020-04-24,0,2020-04-24
2020-04-25,1,2020-04-25
2020-04-26,1,2020-04-26
2020-04-27,1,2020-04-27
2020-04-28,1,2020-04-28
2020-04-29,1,2020-04-29
2020-04-30,2,2020-04-30
2020-05-01,2,2020-05-01
2020-05-02,2,2020-05-02
2020-05-03,2,2020-05-03
2020-05-04,3,2020-05-04
2020-05-05,4,2020-05-05
2020-05-06,4,2020-05-06
2020-05-07,6,2020-05-07
2020-05-08,8,2020-05-08
2020-05-09,8,2020-05-09
2020-05-10,8,2020-05-10
2020-05-11,8,2020-05-11
2020-05-12,8,2020-05-12
2020-05-13,8,2020-05-13
2020-05-14,8,2020-05-14
2020-05-15,9,2020-05-15
2020-05-16,10,2020-05-16
2020-05-17,10,2020-05-17
2020-05-18,10,2020-05-18
2020-05-19,10,2020-05-19
2020-05-20,10,2020-05-20
2020-05-21,11,2020-05-21
2020-05-22,11,2020-05-22
2020-05-23,11,2020-05-23
2020-05-24,12,2020-05-24
2020-05-25,13,2020-05-25
2020-05-26,14,2020-05-26
2020-05-27,15,2020-05-27
2020-05-28,16,2020-05-28
2020-05-29,17,2020-05-29
2020-05-30,18,2020-05-30
2020-05-31,19,2020-05-31
2020-06-01,19,2020-06-01
2020-06-02,19,2020-06-02
2020-06-03,24,2020-06-03
2020-06-04,27,2020-06-04
2020-06-05,26,2020-06-05
2020-06-06,29,2020-06-06
2020-06-07,31,2020-06-07
2020-06-08,30,2020-06-08
2020-06-09,30,2020-06-09
2020-06-10,31,2020-06-10
'2020-06-11',31,+
'2020-06-12',31,+
'2020-06-13',32,+
'2020-06-14',33,+
'2020-06-15',33,+
'2020-06-16',34,+
'2020-06-17',35,+
'2020-06-18',36,+
'2020-06-19',37,+
'2020-06-20',38,+
'2020-06-21',39,+
'2020-06-22',40,+
'2020-06-23',41,+
'2020-06-24',42,+
'2020-06-25',43,+
'2020-06-26',45,+
