Data,Saida_Estimada,Saida,Erro
2020-03-28,2,2,0
2020-03-29,2,2,0
2020-03-30,2,2,0
2020-03-31,8,2,6
2020-04-01,8,7,1
2020-04-02,8,8,0
2020-04-03,9,8,1
2020-04-04,10,9,1
2020-04-05,11,10,1
2020-04-06,12,11,1
2020-04-07,16,12,4
2020-04-08,23,16,7
2020-04-09,30,23,7
2020-04-10,32,31,1
2020-04-11,33,33,0
2020-04-12,34,34,0
2020-04-13,40,35,5
2020-04-14,43,41,2
2020-04-15,43,44,-1
2020-04-16,50,45,5
2020-04-17,51,52,-1
2020-04-18,52,53,-1
2020-04-19,64,54,10
2020-04-20,79,66,13
2020-04-21,83,81,2
2020-04-22,96,86,10
2020-04-23,136,99,37
2020-04-24,143,140,3
2020-04-25,157,149,8
2020-04-26,192,163,29
2020-04-27,202,199,3
2020-04-28,215,211,4
2020-04-29,224,224,0
2020-04-30,233,234,-1
2020-05-01,262,244,18
2020-05-02,280,273,7
2020-05-03,304,292,12
2020-05-04,313,317,-4
2020-05-05,321,328,-7
2020-05-06,340,336,4
2020-05-07,369,355,14
2020-05-08,371,385,-14
2020-05-09,418,389,29
2020-05-10,429,435,-6
2020-05-11,429,449,-20
2020-05-12,461,450,11
2020-05-13,482,481,1
2020-05-14,545,504,41
2020-05-15,773,567,206
2020-05-16,778,795,-17
2020-05-17,801,816,-15
2020-05-18,815,839,-24
2020-05-19,938,854,84
2020-05-20,927,976,-49
2020-05-21,998,974,24
2020-05-22,1041,1043,-2
2020-05-23,1070,1090,-20
2020-05-24,1099,1121,-22
2020-05-25,1112,1152,-40
2020-05-26,1053,1166,-113
2020-05-27,1104,1110,-6
2020-05-28,1149,1155,-6
2020-05-29,1198,1203,-5
2020-05-30,1227,1254,-27
2020-05-31,1261,1286,-25
2020-06-01,1276,1321,-45
2020-06-02,1388,1339,49
2020-06-03,1451,1449,2
2020-06-04,1505,1519,-14
2020-06-05,1686,1576,110
2020-06-06,1738,1757,-19
2020-06-07,1758,1821,-63
2020-06-08,+,-3.24609e+06,+
2020-06-09,+,-2.14748e+09,+
2020-06-10,+,-2.14748e+09,+
2020-06-11,+,-2.14748e+09,+
2020-06-12,+,-2.14748e+09,+
2020-06-13,+,-2.14748e+09,+
2020-06-14,+,-2.14748e+09,+
2020-06-15,+,-2.14748e+09,+
2020-06-16,+,-2.14748e+09,+
2020-06-17,+,-2.14748e+09,+
2020-06-18,+,-2.14748e+09,+
2020-06-19,+,-2.14748e+09,+
2020-06-20,+,-2.14748e+09,+
2020-06-21,+,-2.14748e+09,+
2020-06-22,+,-2.14748e+09,+
