Data,Saida_Estimada,Data
2020-04-11,1,2020-04-11
2020-04-12,1,2020-04-12
2020-04-13,1,2020-04-13
2020-04-14,1,2020-04-14
2020-04-15,1,2020-04-15
2020-04-16,1,2020-04-16
2020-04-17,1,2020-04-17
2020-04-18,1,2020-04-18
2020-04-19,1,2020-04-19
2020-04-20,1,2020-04-20
2020-04-21,2,2020-04-21
2020-04-22,2,2020-04-22
2020-04-23,2,2020-04-23
2020-04-24,2,2020-04-24
2020-04-25,1,2020-04-25
2020-04-26,3,2020-04-26
2020-04-27,3,2020-04-27
2020-04-28,3,2020-04-28
2020-04-29,3,2020-04-29
2020-04-30,4,2020-04-30
2020-05-01,4,2020-05-01
2020-05-02,5,2020-05-02
2020-05-03,5,2020-05-03
2020-05-04,6,2020-05-04
2020-05-05,5,2020-05-05
2020-05-06,7,2020-05-06
2020-05-07,10,2020-05-07
2020-05-08,10,2020-05-08
2020-05-09,11,2020-05-09
2020-05-10,12,2020-05-10
2020-05-11,12,2020-05-11
2020-05-12,14,2020-05-12
2020-05-13,16,2020-05-13
2020-05-14,19,2020-05-14
2020-05-15,23,2020-05-15
2020-05-16,41,2020-05-16
2020-05-17,41,2020-05-17
2020-05-18,40,2020-05-18
2020-05-19,57,2020-05-19
2020-05-20,65,2020-05-20
2020-05-21,64,2020-05-21
2020-05-22,68,2020-05-22
2020-05-23,69,2020-05-23
2020-05-24,68,2020-05-24
2020-05-25,72,2020-05-25
2020-05-26,75,2020-05-26
2020-05-27,76,2020-05-27
2020-05-28,80,2020-05-28
2020-05-29,103,2020-05-29
2020-05-30,121,2020-05-30
2020-05-31,128,2020-05-31
2020-06-01,130,2020-06-01
2020-06-02,131,2020-06-02
2020-06-03,150,2020-06-03
2020-06-04,153,2020-06-04
'2020-06-05',172,+
'2020-06-06',193,+
'2020-06-07',218,+
'2020-06-08',245,+
'2020-06-09',276,+
'2020-06-10',311,+
'2020-06-11',350,+
'2020-06-12',394,+
'2020-06-13',444,+
'2020-06-14',499,+
'2020-06-15',562,+
'2020-06-16',633,+
'2020-06-17',713,+
'2020-06-18',802,+
'2020-06-19',903,+
