Data,Saida_Estimada,Saida,Erro
2020-03-27,0,0,0
2020-03-28,0,0,0
2020-03-29,0,0,0
2020-03-30,0,0,0
2020-03-31,0,0,0
2020-04-01,0,0,0
2020-04-02,0,0,0
2020-04-03,0,0,0
2020-04-04,1,1,0
2020-04-05,1,1,0
2020-04-06,1,1,0
2020-04-07,1,1,0
2020-04-08,1,1,0
2020-04-09,1,2,1
2020-04-10,2,2,0
2020-04-11,2,2,0
2020-04-12,2,2,0
2020-04-13,2,2,0
2020-04-14,2,2,0
2020-04-15,2,3,1
2020-04-16,3,3,0
2020-04-17,3,4,1
2020-04-18,4,6,2
2020-04-19,7,8,1
2020-04-20,9,8,-1
2020-04-21,8,9,1
2020-04-22,9,10,1
2020-04-23,10,10,0
2020-04-24,10,13,3
2020-04-25,14,14,0
2020-04-26,14,16,2
2020-04-27,17,16,-1
2020-04-28,16,16,0
2020-04-29,16,16,0
2020-04-30,16,16,0
2020-05-01,16,16,0
2020-05-02,16,18,2
2020-05-03,19,21,2
2020-05-04,23,22,-1
2020-05-05,22,23,1
2020-05-06,23,24,1
2020-05-07,24,25,1
2020-05-08,25,25,+
2020-05-09,25,25,+
2020-05-10,25,25,+
2020-05-11,25,25,+
2020-05-12,25,27,2
2020-05-13,28,27,-1
2020-05-14,27,27,+
2020-05-15,27,52,25
2020-05-16,68,43,-25
2020-05-17,37,42,5
2020-05-18,41,43,2
2020-05-19,43,53,10
2020-05-20,59,55,-4
2020-05-21,56,61,5
2020-05-22,65,61,-4
2020-05-23,61,64,3
2020-05-24,66,75,9
2020-05-25,82,77,-5
2020-05-26,78,78,+
2020-05-27,79,82,3
2020-05-28,84,88,4
2020-05-29,92,104,12
2020-05-30,114,114,+
2020-05-31,120,130,10
2020-06-01,140,149,9
2020-06-02,161,186,25
2020-06-03,210,198,-12
2020-06-04,206,208,2
2020-06-05,215,240,25
2020-06-06,261,265,4
2020-06-07,282,298,16
2020-06-08,320,312,-8
2020-06-09,322,365,43
2020-06-10,400,426,26
2020-06-11,467,448,-19
2020-06-12,464,472,8
2020-06-13,489,498,9
2020-06-14,517,568,51
2020-06-15,615,584,-31
2020-06-16,597,640,43
2020-06-17,679,670,-9
2020-06-18,692,699,7
2020-06-19,721,738,17
2020-06-20,766,810,44
2020-06-21,860,831,-29
2020-06-22,849,883,34
2020-06-23,920,922,2
2020-06-24,951,1036,85
2020-06-25,1114,1126,12
2020-06-26,1189,1188,-1
2020-06-27,1234,1392,158
2020-06-28,1529,1492,-37
2020-06-29,1563,1556,-7
2020-06-30,1605,1749,144
2020-07-01,1881,1879,-2
2020-07-02,1971,2004,33
2020-07-03,2094,2121,27
2020-07-04,2207,2233,26
2020-07-05,2316,2314,-2
2020-07-06,2378,2350,-28
2020-07-07,2386,2478,92
2020-07-08,2573,2630,57
2020-07-09,2741,2739,-2
2020-07-10,2823,2841,18
2020-07-11,2921,3067,146
2020-07-12,3227,3115,-112
2020-07-13,3163,3150,-13
2020-07-14,3190,3210,20
2020-07-15,3266,3390,124
2020-07-16,3523,3557,34
2020-07-17,3682,3643,-39
2020-07-18,3718,3698,-20
2020-07-19,3753,3744,-9
2020-07-20,3794,3860,66
2020-07-21,3955,4155,200
2020-07-22,4365,4380,15
2020-07-23,4547,4512,-35
2020-07-24,4621,4606,-15
2020-07-25,4691,4751,60
2020-07-26,4869,4801,-68
2020-07-27,4859,4817,-42
2020-07-28,4854,4898,44
2020-07-29,4977,5022,45
2020-07-30,5129,5140,11
2020-07-31,5243,5252,9
2020-08-01,5352,5327,-25
2020-08-02,5404,5360,-44
2020-08-03,5411,5389,-22
2020-08-04,5438,5473,35
2020-08-05,5499.97,5554,54.0274
2020-08-06,5570.51,5635,64.4916
2020-08-07,5646.87,5752,105.134
2020-08-08,5727.34,5838,110.658
2020-08-09,5810.88,5873,62.1168
2020-08-10,5896.84,5883,-13.8402
2020-08-11,5984.82,5938,-46.8155
2020-08-12,6074.57,6027,-47.569
2020-08-13,6165.96,6092,-73.9589
2020-08-14,6258.9,6149,-109.905
2020-08-15,6353.36,6172,-181.365
2020-08-16,6449.32,6195,-254.321
2020-08-17,6546.77,6227,-319.77
2020-08-18,6645.72,6273,-372.719
2020-08-19,6746.18,6331,-415.18
2020-08-20,6848.17,1.1682e-307,-6848.17
