Data,Saida_Estimada,Saida,Erro
2020-03-27,0,0,0
2020-03-28,0,0,0
2020-03-29,0,0,0
2020-03-30,0,0,0
2020-03-31,0,0,0
2020-04-01,0,0,0
2020-04-02,0,0,0
2020-04-03,0,0,0
2020-04-04,0,0,0
2020-04-05,0,0,0
2020-04-06,0,0,0
2020-04-07,0,0,0
2020-04-08,0,0,0
2020-04-09,0,0,0
2020-04-10,0,0,0
2020-04-11,0,0,0
2020-04-12,0,0,0
2020-04-13,0,0,0
2020-04-14,0,0,0
2020-04-15,0,2,2
2020-04-16,1,0,-1
2020-04-17,0,0,0
2020-04-18,0,0,0
2020-04-19,0,0,0
2020-04-20,0,0,0
2020-04-21,0,0,0
2020-04-22,0,0,0
2020-04-23,0,0,0
2020-04-24,0,1,1
2020-04-25,0,1,1
2020-04-26,1,1,0
2020-04-27,1,1,0
2020-04-28,1,1,0
2020-04-29,1,2,1
2020-04-30,1,1,0
2020-05-01,1,1,0
2020-05-02,1,1,0
2020-05-03,1,1,0
2020-05-04,1,1,0
2020-05-05,1,1,0
2020-05-06,1,1,0
2020-05-07,1,1,+
2020-05-08,1,1,+
2020-05-09,1,1,+
2020-05-10,1,1,+
2020-05-11,1,1,+
2020-05-12,1,1,+
2020-05-13,1,1,+
2020-05-14,1,1,+
2020-05-15,1,+,-1
2020-05-16,+,1,1
2020-05-17,+,1,1
2020-05-18,1,1,+
2020-05-19,1,2,1
2020-05-20,1,2,1
2020-05-21,2,3,1
2020-05-22,2,3,1
2020-05-23,3,3,+
2020-05-24,3,3,+
2020-05-25,3,4,1
2020-05-26,3,4,1
2020-05-27,4,4,+
2020-05-28,4,4,+
2020-05-29,4,4,+
2020-05-30,4,4,+
2020-05-31,4,4,+
2020-06-01,4.11898,5,0.881023
2020-06-02,4.21293,7,2.78707
2020-06-03,4.31569,7,2.68431
2020-06-04,4.41939,7,2.58061
2020-06-05,4.52595,7,2.47405
2020-06-06,4.63499,7,2.36501
2020-06-07,4.74668,7,2.25332
2020-06-08,4.86105,7,2.13895
2020-06-09,4.97818,7,2.02182
2020-06-10,5.09814,7,1.90186
2020-06-11,5.22098,7,1.77902
2020-06-12,5.34679,7,1.65321
2020-06-13,5.47563,7,1.52437
2020-06-14,5.60757,7,1.39243
2020-06-15,5.74269,7,1.25731
2020-06-16,5.88106,1.26975e-321,-5.88106
