Data,Saida_Estimada,Saida,Erro
2020-03-27,0,0,0
2020-03-28,2,2,0
2020-03-29,2,2,0
2020-03-30,2,2,0
2020-03-31,2,2,0
2020-04-01,2,2,0
2020-04-02,2,2,0
2020-04-03,2,2,0
2020-04-04,2,2,0
2020-04-05,5,5,0
2020-04-06,7,7,0
2020-04-07,7,7,0
2020-04-08,9,9,0
2020-04-09,9,9,0
2020-04-10,9,11,2
2020-04-11,11,14,3
2020-04-12,15,15,0
2020-04-13,15,12,-3
2020-04-14,10,14,4
2020-04-15,14,16,2
2020-04-16,16,16,0
2020-04-17,16,22,6
2020-04-18,24,28,4
2020-04-19,30,33,3
2020-04-20,35,33,-2
2020-04-21,33,36,3
2020-04-22,37,41,4
2020-04-23,43,43,0
2020-04-24,44,42,-2
2020-04-25,42,43,1
2020-04-26,43,45,2
2020-04-27,46,58,12
2020-04-28,63,58,-5
2020-04-29,58,80,22
2020-04-30,89,83,-6
2020-05-01,84,96,12
2020-05-02,101,96,-5
2020-05-03,96,96,0
2020-05-04,96,139,43
2020-05-05,156,144,-12
2020-05-06,147,177,30
2020-05-07,191,260,69
2020-05-08,293,266,-27
2020-05-09,270,275,5
2020-05-10,280,277,-3
2020-05-11,280,306,26
2020-05-12,319,311,-8
2020-05-13,315,318,3
2020-05-14,323,394,71
2020-05-15,426,451,25
2020-05-16,476,452,-24
2020-05-17,456,463,7
2020-05-18,471,535,64
2020-05-19,567,602,35
2020-05-20,632,688,56
2020-05-21,726,691,-35
2020-05-22,698,852,154
2020-05-23,920,857,-63
2020-05-24,866,859,-7
2020-05-25,867,867,+
2020-05-26,878,867,-11
2020-05-27,875,871,-4
2020-05-28,880,875,-5
2020-05-29,884,895,11
2020-05-30,910,1284,374
2020-05-31,1442,1291,-151
2020-06-01,1305,1342,37
2020-06-02,1373,1439,66
2020-06-03,1488,1544,56
2020-06-04,1597,1654,57
2020-06-05,1710,1715,5
2020-06-06,1753,1731,-22
2020-06-07,1753,1743,-10
2020-06-08,1763,1807,44
2020-06-09,1847,1921,74
2020-06-10,1981,2052,71
2020-06-11,2120,2198,78
2020-06-12,2273,2223,-50
2020-06-13,2253,2254,1
2020-06-14,2286,2258,-28
2020-06-15,2280,2411,131
2020-06-16,2491,2476,-15
2020-06-17,2523,2624,101
2020-06-18,2704,2678,-26
2020-06-19,2723,2768,45
2020-06-20,2827,2854,27
2020-06-21,2913,2874,-39
2020-06-22,2908,2961,53
2020-06-23,3021,3037,16
2020-06-24,3094,3101,7
2020-06-25,3154,3261,107
2020-06-26,3351,3380,29
2020-06-27,3456,3433,-23
2020-06-28,3485,3448,-37
2020-06-29,3485,3462,-23
2020-06-30,3499,3560,61
2020-07-01,3630,3777,147
2020-07-02,3893,3928,35
2020-07-03,4021,4037,16
2020-07-04,4115,4118,3
2020-07-05,4187,4120,-67
2020-07-06,4159,4145,-14
2020-07-07,4193,4243,50
2020-07-08,4319,4449,130
2020-07-09,4568,4594,26
2020-07-10,4691,4705,14
2020-07-11,4790,4757,-33
2020-07-12,4821,4788,-33
2020-07-13,4844,4800,-44
2020-07-14,4849,4856,7
2020-07-15,4922,4910,-12
2020-07-16,4976,5012,36
2020-07-17,5097,5023,-74
2020-07-18,5074,5054,-20
2020-07-19,5113,5063,-50
2020-07-20,5113,5082,-31
2020-07-21,5136,5158,22
2020-07-22,5234,5406,172
2020-07-23,5549,5576,27
2020-07-24,5692,5668,-24
2020-07-25,5755,5721,-34
2020-07-26,5794,5732,-62
2020-07-27,5789,5734,-55
2020-07-28,5788,5858,70
2020-07-29,5959,6009,50
2020-07-30,6122,6111,-11
2020-07-31,6206,6204,-2
2020-08-01,6297,6276,-21
2020-08-02,6361,6283,-78
2020-08-03,6344,6294,-50
2020-08-04,6357,6400,43
2020-08-05,6440.27,6454,13.7348
2020-08-06,6531.92,6588,56.0847
2020-08-07,6627.57,6655,27.4288
2020-08-08,6725.63,6718,-7.62731
2020-08-09,6825.5,6731,-94.5038
2020-08-10,6927,6730,-197
2020-08-11,7030.06,6785,-245.056
2020-08-12,7134.66,6925,-209.664
2020-08-13,7240.84,7026,-214.836
2020-08-14,7348.59,7197,-151.59
2020-08-15,7457.95,7221,-236.948
2020-08-16,7568.93,7226,-342.935
2020-08-17,7681.57,7251,-430.573
2020-08-18,7795.89,7293,-502.887
2020-08-19,7911.9,7388,-523.903
2020-08-20,8029.64,8.90068e-308,-8029.64
