Data,Saida_Estimada,Data
2020-03-27,0,2020-03-27
2020-03-28,0,2020-03-28
2020-03-29,0,2020-03-29
2020-03-30,1,2020-03-30
2020-03-31,1,2020-03-31
2020-04-01,1,2020-04-01
2020-04-02,1,2020-04-02
2020-04-03,1,2020-04-03
2020-04-04,5,2020-04-04
2020-04-05,5,2020-04-05
2020-04-06,5,2020-04-06
2020-04-07,10,2020-04-07
2020-04-08,9,2020-04-08
2020-04-09,9,2020-04-09
2020-04-10,10,2020-04-10
2020-04-11,10,2020-04-11
2020-04-12,10,2020-04-12
2020-04-13,11,2020-04-13
2020-04-14,12,2020-04-14
2020-04-15,10,2020-04-15
2020-04-16,18,2020-04-16
2020-04-17,23,2020-04-17
2020-04-18,27,2020-04-18
2020-04-19,27,2020-04-19
2020-04-20,43,2020-04-20
2020-04-21,40,2020-04-21
2020-04-22,49,2020-04-22
2020-04-23,47,2020-04-23
2020-04-24,51,2020-04-24
2020-04-25,63,2020-04-25
2020-04-26,69,2020-04-26
2020-04-27,88,2020-04-27
2020-04-28,115,2020-04-28
2020-04-29,121,2020-04-29
2020-04-30,122,2020-04-30
2020-05-01,124,2020-05-01
2020-05-02,128,2020-05-02
2020-05-03,134,2020-05-03
2020-05-04,135,2020-05-04
2020-05-05,268,2020-05-05
2020-05-06,253,2020-05-06
2020-05-07,272,2020-05-07
2020-05-08,320,2020-05-08
2020-05-09,351,2020-05-09
2020-05-10,376,2020-05-10
2020-05-11,400,2020-05-11
2020-05-12,433,2020-05-12
2020-05-13,437,2020-05-13
2020-05-14,456,2020-05-14
2020-05-15,487,2020-05-15
2020-05-16,519,2020-05-16
2020-05-17,575,2020-05-17
2020-05-18,576,2020-05-18
2020-05-19,641,2020-05-19
2020-05-20,670,2020-05-20
2020-05-21,725,2020-05-21
2020-05-22,732,2020-05-22
2020-05-23,807,2020-05-23
2020-05-24,796,2020-05-24
2020-05-25,800,2020-05-25
2020-05-26,804,2020-05-26
2020-05-27,822,2020-05-27
2020-05-28,825,2020-05-28
2020-05-29,832,2020-05-29
2020-05-30,851,2020-05-30
2020-05-31,1174,2020-05-31
2020-06-01,1153,2020-06-01
2020-06-02,1285,2020-06-02
2020-06-03,1431,2020-06-03
2020-06-04,1584,2020-06-04
2020-06-05,1810,2020-06-05
2020-06-06,1875,2020-06-06
2020-06-07,2122,2020-06-07
2020-06-08,2119,2020-06-08
2020-06-09,2212,2020-06-09
2020-06-10,2427,2020-06-10
2020-06-11,2482,2020-06-11
2020-06-12,2686,2020-06-12
2020-06-13,2791,2020-06-13
2020-06-14,2829,2020-06-14
2020-06-15,2906,2020-06-15
2020-06-16,2975,2020-06-16
2020-06-17,3008,2020-06-17
2020-06-18,3132,2020-06-18
2020-06-19,3164,2020-06-19
2020-06-20,3304,2020-06-20
2020-06-21,3396,2020-06-21
2020-06-22,3395,2020-06-22
2020-06-23,3404,2020-06-23
2020-06-24,3578,2020-06-24
2020-06-25,3667,2020-06-25
2020-06-26,3711,2020-06-26
2020-06-27,3796,2020-06-27
2020-06-28,3877,2020-06-28
2020-06-29,3986,2020-06-29
2020-06-30,3989,2020-06-30
2020-07-01,4032,2020-07-01
2020-07-02,4113,2020-07-02
2020-07-03,4165,2020-07-03
2020-07-04,4235,2020-07-04
2020-07-05,4272,2020-07-05
2020-07-06,4306,2020-07-06
2020-07-07,4363,2020-07-07
2020-07-08,4399,2020-07-08
2020-07-09,4480,2020-07-09
2020-07-10,4493,2020-07-10
2020-07-11,4544,2020-07-11
2020-07-12,4603,2020-07-12
2020-07-13,4617,2020-07-13
2020-07-14,4623,2020-07-14
2020-07-15,4627,2020-07-15
2020-07-16,4680,2020-07-16
2020-07-17,4755,2020-07-17
2020-07-18,4784,2020-07-18
2020-07-19,4791,2020-07-19
2020-07-20,4792,2020-07-20
2020-07-21,4835,2020-07-21
2020-07-22,4873,2020-07-22
'2020-07-23',4952,+
'2020-07-24',4993,+
'2020-07-25',5033,+
'2020-07-26',5072,+
'2020-07-27',5112,+
'2020-07-28',5152,+
'2020-07-29',5192,+
'2020-07-30',5233,+
'2020-07-31',5274,+
'2020-08-01',5315,+
'2020-08-02',5357,+
'2020-08-03',5399,+
'2020-08-04',5441,+
'2020-08-05',5484,+
'2020-08-06',5527,+
'2020-08-07',5570,+
