Data,Saida_Estimada,Data
2020-03-28,0,2020-03-28
2020-03-29,0,2020-03-29
2020-03-30,0,2020-03-30
2020-03-31,0,2020-03-31
2020-04-01,0,2020-04-01
2020-04-02,0,2020-04-02
2020-04-03,0,2020-04-03
2020-04-04,0,2020-04-04
2020-04-05,0,2020-04-05
2020-04-06,0,2020-04-06
2020-04-07,0,2020-04-07
2020-04-08,0,2020-04-08
2020-04-09,1,2020-04-09
2020-04-10,1,2020-04-10
2020-04-11,1,2020-04-11
2020-04-12,1,2020-04-12
2020-04-13,1,2020-04-13
2020-04-14,1,2020-04-14
2020-04-15,2,2020-04-15
2020-04-16,3,2020-04-16
2020-04-17,4,2020-04-17
2020-04-18,6,2020-04-18
2020-04-19,6,2020-04-19
2020-04-20,6,2020-04-20
2020-04-21,7,2020-04-21
2020-04-22,8,2020-04-22
2020-04-23,9,2020-04-23
2020-04-24,11,2020-04-24
2020-04-25,11,2020-04-25
2020-04-26,11,2020-04-26
2020-04-27,12,2020-04-27
2020-04-28,13,2020-04-28
2020-04-29,13,2020-04-29
2020-04-30,17,2020-04-30
2020-05-01,17,2020-05-01
2020-05-02,23,2020-05-02
2020-05-03,25,2020-05-03
2020-05-04,26,2020-05-04
2020-05-05,26,2020-05-05
2020-05-06,31,2020-05-06
2020-05-07,31,2020-05-07
2020-05-08,32,2020-05-08
2020-05-09,39,2020-05-09
2020-05-10,40,2020-05-10
2020-05-11,44,2020-05-11
2020-05-12,45,2020-05-12
2020-05-13,47,2020-05-13
2020-05-14,56,2020-05-14
2020-05-15,57,2020-05-15
2020-05-16,60,2020-05-16
2020-05-17,67,2020-05-17
2020-05-18,68,2020-05-18
2020-05-19,74,2020-05-19
2020-05-20,86,2020-05-20
2020-05-21,88,2020-05-21
2020-05-22,114,2020-05-22
2020-05-23,118,2020-05-23
2020-05-24,120,2020-05-24
2020-05-25,120,2020-05-25
2020-05-26,132,2020-05-26
2020-05-27,137,2020-05-27
2020-05-28,149,2020-05-28
2020-05-29,154,2020-05-29
2020-05-30,155,2020-05-30
2020-05-31,159,2020-05-31
2020-06-01,164,2020-06-01
2020-06-02,175,2020-06-02
2020-06-03,203,2020-06-03
2020-06-04,230,2020-06-04
2020-06-05,250,2020-06-05
2020-06-06,254,2020-06-06
2020-06-07,266,2020-06-07
'2020-06-08',293,+
'2020-06-09',323,+
'2020-06-10',357,+
'2020-06-11',394,+
'2020-06-12',435,+
'2020-06-13',480,+
'2020-06-14',529,+
'2020-06-15',584,+
'2020-06-16',645,+
'2020-06-17',712,+
'2020-06-18',785,+
'2020-06-19',867,+
'2020-06-20',956,+
'2020-06-21',1055,+
'2020-06-22',1165,+
