Data,Saida_Estimada,Saida,Erro
2020-03-27,0,0,0
2020-03-28,0,0,0
2020-03-29,0,0,0
2020-03-30,0,0,0
2020-03-31,0,0,0
2020-04-01,0,0,0
2020-04-02,0,0,0
2020-04-03,0,0,0
2020-04-04,0,0,0
2020-04-05,0,0,0
2020-04-06,0,0,0
2020-04-07,0,0,0
2020-04-08,0,0,0
2020-04-09,0,0,0
2020-04-10,0,0,0
2020-04-11,0,0,0
2020-04-12,0,1,1
2020-04-13,1,1,0
2020-04-14,1,1,0
2020-04-15,1,1,0
2020-04-16,1,1,0
2020-04-17,1,2,1
2020-04-18,2,2,0
2020-04-19,2,2,0
2020-04-20,2,2,0
2020-04-21,2,2,0
2020-04-22,2,2,0
2020-04-23,2,4,2
2020-04-24,4,4,0
2020-04-25,4,4,0
2020-04-26,4,4,0
2020-04-27,4,4,0
2020-04-28,4,5,1
2020-04-29,5,5,0
2020-04-30,5,7,2
2020-05-01,7,7,0
2020-05-02,7,7,0
2020-05-03,7,7,0
2020-05-04,7,8,1
2020-05-05,8,8,0
2020-05-06,8,9,1
2020-05-07,9,10,1
2020-05-08,10,10,+
2020-05-09,10,10,+
2020-05-10,10,10,+
2020-05-11,10,10,+
2020-05-12,10,12,2
2020-05-13,12,14,2
2020-05-14,14,14,+
2020-05-15,14,14,+
2020-05-16,14,14,+
2020-05-17,14,14,+
2020-05-18,14,14,+
2020-05-19,14,14,+
2020-05-20,14,14,+
2020-05-21,14,19,5
2020-05-22,19,19,+
2020-05-23,19,21,2
2020-05-24,21,21,+
2020-05-25,21,26,5
2020-05-26,26,26,+
2020-05-27,26,30,4
2020-05-28,30,30,+
2020-05-29,30,48,18
2020-05-30,49,49,+
2020-05-31,49,49,+
2020-06-01,49,50,1
2020-06-02,50,50,+
2020-06-03,50,52,2
2020-06-04,53,60,7
2020-06-05,61,61,+
2020-06-06,62,61,-1
2020-06-07,62,61,-1
2020-06-08,62,61,-1
2020-06-09,62,62,+
2020-06-10,63,64,1
2020-06-11,65,68,3
2020-06-12,69,68,-1
2020-06-13,69,69,+
2020-06-14,70,71,1
2020-06-15,72,71,-1
2020-06-16,72,75,3
2020-06-17,76,90,14
2020-06-18,92,90,-2
2020-06-19,91,90,-1
2020-06-20,91,90,-1
2020-06-21,91,90,-1
2020-06-22,91,90,-1
2020-06-23,91,92,1
2020-06-24,93,95,2
2020-06-25,96,95,-1
2020-06-26,96,95,-1
2020-06-27,96,97,1
2020-06-28,98,98,+
2020-06-29,99,98,-1
2020-06-30,99,100,1
2020-07-01,101,100,-1
2020-07-02,101,102,1
2020-07-03,103,107,4
2020-07-04,109,107,-2
2020-07-05,110.992,107,-3.99238
2020-07-06,113.019,109,-4.01908
2020-07-07,115.083,113,-2.08269
2020-07-08,117.184,116,-1.18398
2020-07-09,119.324,118,-1.32363
2020-07-10,121.502,118,-3.50235
2020-07-11,123.721,118,-5.72086
2020-07-12,125.98,118,-7.97987
2020-07-13,128.28,126,-2.28012
2020-07-14,130.622,130,-0.622382
2020-07-15,133.007,131,-2.00741
2020-07-16,135.436,132,-3.43598
2020-07-17,137.909,132,-5.9089
2020-07-18,140.427,132,-8.42696
2020-07-19,142.991,132,-10.991
2020-07-20,145.602,1.06768e-320,-145.602
