Data,Saida_Estimada,Saida,Erro
2020-05-04,2,2,0
2020-05-05,2,5,3
2020-05-06,6,5,-1
2020-05-07,4,6,2
2020-05-08,6,14,8
2020-05-09,15,14,-1
2020-05-10,13,31,18
2020-05-11,35,37,2
2020-05-12,36,37,1
2020-05-13,37,37,0
2020-05-14,34,96,62
2020-05-15,109,131,22
2020-05-16,134,146,12
2020-05-17,143,172,29
2020-05-18,172,172,0
2020-05-19,163,195,32
2020-05-20,191,195,4
2020-05-21,185,196,11
2020-05-22,187,321,134
2020-05-23,346,414,68
2020-05-24,424,509,85
2020-05-25,516,545,29
2020-05-26,530,621,91
2020-05-27,615,656,41
2020-05-28,635,657,22
2020-05-29,627,823,196
2020-05-30,838,889,51
2020-05-31,868,934,66
2020-06-01,905,982,77
2020-06-02,951,992,41
2020-06-03,947,1094,147
2020-06-04,1076,1176,100
2020-06-05,1148,1250,102
2020-06-06,1215,1286,71
2020-06-07,1237,1379,142
2020-06-08,1137,0,0
2020-06-09,1065,0,0
2020-06-10,1004,0,0
2020-06-11,949,0,0
2020-06-12,900,0,0
2020-06-13,854,0,0
2020-06-14,812,+,+
2020-06-15,772,+,+
2020-06-16,736,+,+
2020-06-17,702,+,+
2020-06-18,670,+,+
2020-06-19,641,+,+
2020-06-20,614,+,+
2020-06-21,589,+,+
2020-06-22,565,+,+
