Data,Saida_Estimada,Data
2020-03-27,0,2020-03-27
2020-03-28,0,2020-03-28
2020-03-29,0,2020-03-29
2020-03-30,0,2020-03-30
2020-03-31,0,2020-03-31
2020-04-01,0,2020-04-01
2020-04-02,0,2020-04-02
2020-04-03,0,2020-04-03
2020-04-04,0,2020-04-04
2020-04-05,0,2020-04-05
2020-04-06,0,2020-04-06
2020-04-07,0,2020-04-07
2020-04-08,0,2020-04-08
2020-04-09,0,2020-04-09
2020-04-10,0,2020-04-10
2020-04-11,0,2020-04-11
2020-04-12,0,2020-04-12
2020-04-13,0,2020-04-13
2020-04-14,0,2020-04-14
2020-04-15,0,2020-04-15
2020-04-16,0,2020-04-16
2020-04-17,0,2020-04-17
2020-04-18,0,2020-04-18
2020-04-19,1,2020-04-19
2020-04-20,1,2020-04-20
2020-04-21,1,2020-04-21
2020-04-22,1,2020-04-22
2020-04-23,1,2020-04-23
2020-04-24,1,2020-04-24
2020-04-25,1,2020-04-25
2020-04-26,2,2020-04-26
2020-04-27,3,2020-04-27
2020-04-28,3,2020-04-28
2020-04-29,3,2020-04-29
2020-04-30,4,2020-04-30
2020-05-01,5,2020-05-01
2020-05-02,11,2020-05-02
2020-05-03,11,2020-05-03
2020-05-04,11,2020-05-04
2020-05-05,11,2020-05-05
2020-05-06,11,2020-05-06
2020-05-07,24,2020-05-07
2020-05-08,23,2020-05-08
2020-05-09,25,2020-05-09
2020-05-10,97,2020-05-10
2020-05-11,97,2020-05-11
2020-05-12,112,2020-05-12
2020-05-13,131,2020-05-13
2020-05-14,163,2020-05-14
2020-05-15,220,2020-05-15
2020-05-16,275,2020-05-16
2020-05-17,345,2020-05-17
2020-05-18,327,2020-05-18
2020-05-19,333,2020-05-19
2020-05-20,374,2020-05-20
2020-05-21,380,2020-05-21
2020-05-22,417,2020-05-22
2020-05-23,458,2020-05-23
2020-05-24,520,2020-05-24
2020-05-25,600,2020-05-25
2020-05-26,585,2020-05-26
2020-05-27,639,2020-05-27
2020-05-28,677,2020-05-28
2020-05-29,742,2020-05-29
2020-05-30,877,2020-05-30
2020-05-31,987,2020-05-31
2020-06-01,1034,2020-06-01
2020-06-02,1031,2020-06-02
2020-06-03,1106,2020-06-03
2020-06-04,1169,2020-06-04
2020-06-05,1328,2020-06-05
2020-06-06,1378,2020-06-06
2020-06-07,1532,2020-06-07
2020-06-08,1561,2020-06-08
2020-06-09,1713,2020-06-09
2020-06-10,1698,2020-06-10
2020-06-11,1779,2020-06-11
2020-06-12,1955,2020-06-12
2020-06-13,1986,2020-06-13
2020-06-14,1994,2020-06-14
2020-06-15,2034,2020-06-15
2020-06-16,2127,2020-06-16
2020-06-17,2285,2020-06-17
2020-06-18,2403,2020-06-18
'2020-06-19',2407,+
'2020-06-20',2513,+
'2020-06-21',2628,+
'2020-06-22',2750,+
'2020-06-23',2877,+
'2020-06-24',3010,+
'2020-06-25',3150,+
'2020-06-26',3295,+
'2020-06-27',3448,+
'2020-06-28',3608,+
'2020-06-29',3775,+
'2020-06-30',3950,+
'2020-07-01',4133,+
'2020-07-02',4324,+
'2020-07-03',4525,+
'2020-07-04',4734,+
