Data,Saida_Estimada,Saida,Erro
2020-03-27,0,0,0
2020-03-28,0,0,0
2020-03-29,0,0,0
2020-03-30,0,0,0
2020-03-31,0,0,0
2020-04-01,0,0,0
2020-04-02,0,0,0
2020-04-03,0,0,0
2020-04-04,0,0,0
2020-04-05,0,0,0
2020-04-06,0,0,0
2020-04-07,0,0,0
2020-04-08,0,0,0
2020-04-09,0,1,1
2020-04-10,1,1,0
2020-04-11,1,1,0
2020-04-12,1,1,0
2020-04-13,1,1,0
2020-04-14,1,1,0
2020-04-15,1,1,0
2020-04-16,1,1,0
2020-04-17,1,1,0
2020-04-18,1,1,0
2020-04-19,1,1,0
2020-04-20,1,1,0
2020-04-21,1,3,2
2020-04-22,3,2,-1
2020-04-23,1,3,2
2020-04-24,3,3,0
2020-04-25,3,3,0
2020-04-26,3,5,2
2020-04-27,5,5,0
2020-04-28,5,5,0
2020-04-29,5,6,1
2020-04-30,6,6,0
2020-05-01,6,10,4
2020-05-02,11,12,1
2020-05-03,12,13,1
2020-05-04,13,15,2
2020-05-05,15,16,1
2020-05-06,16,19,3
2020-05-07,20,19,-1
2020-05-08,19,19,+
2020-05-09,19,23,4
2020-05-10,24,25,1
2020-05-11,26,27,1
2020-05-12,28,30,2
2020-05-13,31,39,8
2020-05-14,42,39,-3
2020-05-15,40,40,+
2020-05-16,41,40,-1
2020-05-17,41,41,+
2020-05-18,42,41,-1
2020-05-19,42,43,1
2020-05-20,44,65,21
2020-05-21,72,81,9
2020-05-22,87,81,-6
2020-05-23,83,143,60
2020-05-24,162,156,-6
2020-05-25,163,159,-4
2020-05-26,164,140,-24
2020-05-27,139,167,28
2020-05-28,178,184,6
2020-05-29,193,195,2
2020-05-30,203,235,32
2020-05-31,251,270,19
2020-06-01,286,269,-17
2020-06-02,277,275,-2
2020-06-03,284,281,-3
2020-06-04,291,318,27
2020-06-05,336,347,11
2020-06-06,364,374,10
2020-06-07,391,399,8
2020-06-08,417,400,-17
2020-06-09,412,469,57
2020-06-10,499,507,8
2020-06-11,531,538,7
2020-06-12,561,538,-23
2020-06-13,554,565,11
2020-06-14,588,568,-20
2020-06-15,586,580,-6
2020-06-16,600,610,10
2020-06-17,635,628,-7
2020-06-18,660.454,659,-1.45438
2020-06-19,686.798,701,14.202
2020-06-20,714.162,724,9.83771
2020-06-21,742.61,734,-8.60989
2020-06-22,772.189,736,-36.1891
2020-06-23,802.946,784,-18.946
2020-06-24,834.928,849,14.072
2020-06-25,868.184,889,20.8161
2020-06-26,902.764,936,33.2357
2020-06-27,938.722,954,15.2779
2020-06-28,976.112,955,-21.1121
2020-06-29,1014.99,959,-55.9914
2020-06-30,1055.42,997,-58.4193
2020-07-01,1097.46,1043,-54.4574
2020-07-02,1141.17,1089,-52.17
2020-07-03,1186.62,3.95253e-321,-1186.62
