Data,Saida_Estimada,Saida,Erro
2020-03-28,0,0,0
2020-03-29,0,0,0
2020-03-30,0,0,0
2020-03-31,0,0,0
2020-04-01,0,0,0
2020-04-02,0,0,0
2020-04-03,0,0,0
2020-04-04,0,0,0
2020-04-05,0,0,0
2020-04-06,0,0,0
2020-04-07,0,0,0
2020-04-08,0,0,0
2020-04-09,0,0,0
2020-04-10,0,0,0
2020-04-11,0,0,0
2020-04-12,0,0,0
2020-04-13,0,0,0
2020-04-14,0,0,0
2020-04-15,0,0,0
2020-04-16,0,0,0
2020-04-17,0,0,0
2020-04-18,0,2,2
2020-04-19,1,2,1
2020-04-20,2,3,1
2020-04-21,2,3,1
2020-04-22,2,3,1
2020-04-23,2,3,1
2020-04-24,2,3,1
2020-04-25,2,3,1
2020-04-26,2,4,2
2020-04-27,3,4,1
2020-04-28,3,5,2
2020-04-29,4,5,1
2020-04-30,4,7,3
2020-05-01,6,7,1
2020-05-02,6,9,3
2020-05-03,7,12,5
2020-05-04,11,12,1
2020-05-05,10,15,5
2020-05-06,13,17,4
2020-05-07,15,17,2
2020-05-08,14,18,4
2020-05-09,15,20,5
2020-05-10,17,22,5
2020-05-11,19,24,5
2020-05-12,21,24,3
2020-05-13,20,33,13
2020-05-14,29,38,9
2020-05-15,34,39,5
2020-05-16,33,41,8
2020-05-17,35,41,6
2020-05-18,35,47,12
2020-05-19,40,54,14
2020-05-20,48,55,7
2020-05-21,48,60,12
2020-05-22,51,61,10
2020-05-23,43.1972,71,27.8028
2020-05-24,34.1873,73,38.8127
2020-05-25,27.1902,74,46.8098
2020-05-26,21.2182,74,52.7818
2020-05-27,16.6358,85,68.3642
2020-05-28,12.9735,91,78.0265
2020-05-29,10.1427,99,88.8573
2020-05-30,7.91658,106,98.0834
2020-05-31,6.18555,109,102.814
2020-06-01,4.83032,113,108.17
2020-06-02,3.7735,113,109.227
2020-06-03,2.94728,114,111.053
2020-06-04,2.30229,120,117.698
2020-06-05,1.79831,128,126.202
2020-06-06,1.40473,130,128.595
2020-06-07,1.09725,132,130.903
