Data,Saida_Estimada,Saida,Erro
2020-04-24,3,3,0
2020-04-25,3,3,0
2020-04-26,2,3,1
2020-04-27,2,3,1
2020-04-28,2,3,1
2020-04-29,1,5,4
2020-04-30,5,5,0
2020-05-01,3,8,5
2020-05-02,6,14,8
2020-05-03,10,20,10
2020-05-04,16,30,14
2020-05-05,27,35,8
2020-05-06,28,44,16
2020-05-07,36,52,16
2020-05-08,40,88,48
2020-05-09,84,104,20
2020-05-10,85,109,24
2020-05-11,79,131,52
2020-05-12,107,155,48
2020-05-13,126,166,40
2020-05-14,123,199,76
2020-05-15,161,220,59
2020-05-16,166,252,86
2020-05-17,199,277,78
2020-05-18,211,331,120
2020-05-19,270,388,118
2020-05-20,312,409,97
2020-05-21,299,437,138
2020-05-22,322,619,297
2020-05-23,562,689,127
2020-05-24,530,673,143
2020-05-25,454,697,243
2020-05-26,497,785,288
2020-05-27,606,890,284
2020-05-28,690,954,264
2020-05-29,703,1048,345
2020-05-30,787,1089,302
2020-05-31,777,1113,336
2020-06-01,781,1130,349
2020-06-02,787,1230,443
2020-06-03,919,1377,458
2020-06-04,1055,1525,470
2020-06-05,1160,1637,477
2020-06-06,1211,1714,503
2020-06-07,1237,1757,520
2020-06-08,543,+,+
2020-06-09,-110,+,+
2020-06-10,-535,+,+
2020-06-11,-659,+,+
2020-06-12,-522,+,+
2020-06-13,-231,+,+
2020-06-14,83,+,+
2020-06-15,320,+,+
2020-06-16,426,+,+
2020-06-17,403,+,+
2020-06-18,290,+,+
2020-06-19,145,+,+
2020-06-20,21,+,+
2020-06-21,-49,+,+
2020-06-22,-59,+,+
