Data,Saida_Estimada,Data
2020-04-19,1,2020-04-19
2020-04-20,1,2020-04-20
2020-04-21,1,2020-04-21
2020-04-22,1,2020-04-22
2020-04-23,2,2020-04-23
2020-04-24,2,2020-04-24
2020-04-25,2,2020-04-25
2020-04-26,2,2020-04-26
2020-04-27,3,2020-04-27
2020-04-28,3,2020-04-28
2020-04-29,3,2020-04-29
2020-04-30,3,2020-04-30
2020-05-01,5,2020-05-01
2020-05-02,6,2020-05-02
2020-05-03,7,2020-05-03
2020-05-04,5,2020-05-04
2020-05-05,6,2020-05-05
2020-05-06,6,2020-05-06
2020-05-07,6,2020-05-07
2020-05-08,6,2020-05-08
2020-05-09,7,2020-05-09
2020-05-10,7,2020-05-10
2020-05-11,12,2020-05-11
2020-05-12,17,2020-05-12
2020-05-13,21,2020-05-13
2020-05-14,25,2020-05-14
2020-05-15,29,2020-05-15
2020-05-16,42,2020-05-16
2020-05-17,44,2020-05-17
2020-05-18,44,2020-05-18
2020-05-19,52,2020-05-19
2020-05-20,68,2020-05-20
2020-05-21,77,2020-05-21
2020-05-22,87,2020-05-22
2020-05-23,109,2020-05-23
2020-05-24,108,2020-05-24
2020-05-25,104,2020-05-25
2020-05-26,109,2020-05-26
2020-05-27,151,2020-05-27
2020-05-28,172,2020-05-28
2020-05-29,176,2020-05-29
2020-05-30,183,2020-05-30
2020-05-31,229,2020-05-31
2020-06-01,227,2020-06-01
2020-06-02,227,2020-06-02
2020-06-03,252,2020-06-03
2020-06-04,275,2020-06-04
2020-06-05,292,2020-06-05
2020-06-06,346,2020-06-06
2020-06-07,377,2020-06-07
2020-06-08,378,2020-06-08
'2020-06-09',376,+
'2020-06-10',376,+
'2020-06-11',376,+
'2020-06-12',377,+
'2020-06-13',377,+
'2020-06-14',378,+
'2020-06-15',378,+
'2020-06-16',379,+
'2020-06-17',379,+
'2020-06-18',380,+
'2020-06-19',380,+
'2020-06-20',381,+
'2020-06-21',381,+
'2020-06-22',382,+
'2020-06-23',382,+
'2020-06-24',383,+
