Data,Saida_Estimada,Saida,Erro
2020-03-27,0,0,0
2020-03-28,0,0,0
2020-03-29,0,0,0
2020-03-30,0,0,0
2020-03-31,0,0,0
2020-04-01,0,0,0
2020-04-02,0,0,0
2020-04-03,0,0,0
2020-04-04,0,0,0
2020-04-05,0,0,0
2020-04-06,0,0,0
2020-04-07,0,0,0
2020-04-08,0,0,0
2020-04-09,0,0,0
2020-04-10,0,0,0
2020-04-11,0,0,0
2020-04-12,0,0,0
2020-04-13,0,0,0
2020-04-14,0,0,0
2020-04-15,0,0,0
2020-04-16,0,0,0
2020-04-17,0,0,0
2020-04-18,0,0,0
2020-04-19,0,0,0
2020-04-20,0,0,0
2020-04-21,0,0,0
2020-04-22,0,0,0
2020-04-23,0,0,0
2020-04-24,0,0,0
2020-04-25,0,0,0
2020-04-26,0,0,0
2020-04-27,0,0,0
2020-04-28,0,0,0
2020-04-29,0,0,0
2020-04-30,0,0,0
2020-05-01,0,0,0
2020-05-02,0,0,0
2020-05-03,0,0,0
2020-05-04,0,0,0
2020-05-05,0,0,0
2020-05-06,0,0,0
2020-05-07,+,1,1
2020-05-08,1,1,+
2020-05-09,1,1,+
2020-05-10,1,1,+
2020-05-11,1,1,+
2020-05-12,1,1,+
2020-05-13,1,1,+
2020-05-14,1,1,+
2020-05-15,1,1,+
2020-05-16,1,1,+
2020-05-17,1,1,+
2020-05-18,1,1,+
2020-05-19,1,1,+
2020-05-20,1,3,2
2020-05-21,3,3,+
2020-05-22,3,3,+
2020-05-23,3,3,+
2020-05-24,3,4,1
2020-05-25,4,5,1
2020-05-26,5,5,+
2020-05-27,5,6,1
2020-05-28,6,6,+
2020-05-29,6,8,2
2020-05-30,8,8,+
2020-05-31,8,8,+
2020-06-01,8,8,+
2020-06-02,8,9,1
2020-06-03,9,9,+
2020-06-04,9,10,1
2020-06-05,10,12,2
2020-06-06,12,12,+
2020-06-07,12,16,4
2020-06-08,16,16,+
2020-06-09,16,17,1
2020-06-10,17,19,2
2020-06-11,19,20,1
2020-06-12,20,20,+
2020-06-13,20,20,+
2020-06-14,20,25,5
2020-06-15,26,26,+
2020-06-16,26,26,+
2020-06-17,26,26,+
2020-06-18,26,28,2
2020-06-19,28,28,+
2020-06-20,28,29,1
2020-06-21,29,31,2
2020-06-22,31,32,1
2020-06-23,32,33,1
2020-06-24,33,34,1
2020-06-25,34,37,3
2020-06-26,37,38,1
2020-06-27,38,39,1
2020-06-28,39,40,1
2020-06-29,40,40,+
2020-06-30,40,42,2
2020-07-01,42,43,1
2020-07-02,43,44,1
2020-07-03,44,49,5
2020-07-04,50,50,+
2020-07-05,50,50,+
2020-07-06,50,51,1
2020-07-07,51,52,1
2020-07-08,52,52,+
2020-07-09,52,52,+
2020-07-10,52,52,+
2020-07-11,52,53,1
2020-07-12,53,54,1
2020-07-13,54,55,1
2020-07-14,55,58,3
2020-07-15,59,61,2
2020-07-16,62,63,1
2020-07-17,64,63,-1
2020-07-18,63,64,1
2020-07-19,64,64,+
2020-07-20,64,67,3
2020-07-21,68,70,2
2020-07-22,71,72,1
2020-07-23,73,73,+
2020-07-24,73,74,1
2020-07-25,75,75,+
2020-07-26,76,76,+
2020-07-27,77,77,+
2020-07-28,78,79,1
2020-07-29,80,80,+
2020-07-30,81,81,+
2020-07-31,82,82,+
2020-08-01,83,82,-1
2020-08-02,82,82,+
2020-08-03,82,82,+
2020-08-04,82,84,2
2020-08-05,82.9149,84,1.08506
2020-08-06,84,84,3.49987e-05
2020-08-07,85.1268,85,-0.126822
2020-08-08,86.2736,86,-0.273561
2020-08-09,87.4366,86,-1.43657
2020-08-10,88.6154,86,-2.6154
2020-08-11,89.8101,87,-2.81014
2020-08-12,91.021,88,-3.021
2020-08-13,92.2482,89,-3.24819
2020-08-14,93.4919,91,-2.49192
2020-08-15,94.7524,91,-3.75241
2020-08-16,96.0299,92,-4.02991
2020-08-17,97.3246,92,-5.32462
2020-08-18,98.6368,93,-5.6368
2020-08-19,99.9667,94,-5.96666
2020-08-20,101.314,1.50444e-315,-101.314
