Data,Saida_Estimada,Data
2020-04-14,1,2020-04-14
2020-04-15,1,2020-04-15
2020-04-16,1,2020-04-16
2020-04-17,2,2020-04-17
2020-04-18,2,2020-04-18
2020-04-19,2,2020-04-19
2020-04-20,2,2020-04-20
2020-04-21,4,2020-04-21
2020-04-22,4,2020-04-22
2020-04-23,6,2020-04-23
2020-04-24,5,2020-04-24
2020-04-25,6,2020-04-25
2020-04-26,6,2020-04-26
2020-04-27,7,2020-04-27
2020-04-28,7,2020-04-28
2020-04-29,8,2020-04-29
2020-04-30,10,2020-04-30
2020-05-01,17,2020-05-01
2020-05-02,12,2020-05-02
2020-05-03,15,2020-05-03
2020-05-04,16,2020-05-04
2020-05-05,15,2020-05-05
2020-05-06,15,2020-05-06
2020-05-07,17,2020-05-07
2020-05-08,20,2020-05-08
2020-05-09,23,2020-05-09
2020-05-10,26,2020-05-10
2020-05-11,29,2020-05-11
2020-05-12,29,2020-05-12
2020-05-13,32,2020-05-13
2020-05-14,31,2020-05-14
2020-05-15,31,2020-05-15
2020-05-16,33,2020-05-16
2020-05-17,38,2020-05-17
2020-05-18,43,2020-05-18
2020-05-19,45,2020-05-19
2020-05-20,46,2020-05-20
2020-05-21,49,2020-05-21
2020-05-22,53,2020-05-22
2020-05-23,63,2020-05-23
2020-05-24,69,2020-05-24
2020-05-25,79,2020-05-25
2020-05-26,80,2020-05-26
2020-05-27,84,2020-05-27
2020-05-28,88,2020-05-28
2020-05-29,95,2020-05-29
2020-05-30,101,2020-05-30
2020-05-31,105,2020-05-31
2020-06-01,110,2020-06-01
2020-06-02,115,2020-06-02
2020-06-03,122,2020-06-03
2020-06-04,132,2020-06-04
2020-06-05,145,2020-06-05
2020-06-06,155,2020-06-06
2020-06-07,174,2020-06-07
'2020-06-08',184,+
'2020-06-09',196,+
'2020-06-10',209,+
'2020-06-11',223,+
'2020-06-12',238,+
'2020-06-13',255,+
'2020-06-14',272,+
'2020-06-15',290,+
'2020-06-16',310,+
'2020-06-17',331,+
'2020-06-18',353,+
'2020-06-19',377,+
'2020-06-20',402,+
'2020-06-21',430,+
'2020-06-22',459,+
'2020-06-23',490,+
