Data,Saida_Estimada,Saida,Erro
2020-03-30,1,1,0
2020-03-31,1,2,1
2020-04-01,2,1,-1
2020-04-02,1,1,0
2020-04-03,1,1,0
2020-04-04,1,1,0
2020-04-05,1,1,0
2020-04-06,1,1,0
2020-04-07,1,3,2
2020-04-08,3,3,0
2020-04-09,3,5,2
2020-04-10,5,5,0
2020-04-11,5,7,2
2020-04-12,7,9,2
2020-04-13,9,10,1
2020-04-14,10,10,0
2020-04-15,10,11,1
2020-04-16,11,13,2
2020-04-17,13,15,2
2020-04-18,15,15,0
2020-04-19,15,16,1
2020-04-20,16,19,3
2020-04-21,19,21,2
2020-04-22,21,25,4
2020-04-23,26,30,4
2020-04-24,31,32,1
2020-04-25,33,41,8
2020-04-26,42,45,3
2020-04-27,47,53,6
2020-04-28,55,58,3
2020-04-29,60,63,3
2020-04-30,65,71,6
2020-05-01,74,77,3
2020-05-02,80,89,9
2020-05-03,93,98,5
2020-05-04,102,105,3
2020-05-05,109,111,2
2020-05-06,116,121,5
2020-05-07,126,141,15
2020-05-08,147,163,16
2020-05-09,170,189,19
2020-05-10,197,213,16
2020-05-11,222,237,15
2020-05-12,247,260,13
2020-05-13,271,278,7
2020-05-14,290,292,2
2020-05-15,305,315,10
2020-05-16,329,420,91
2020-05-17,439,458,19
2020-05-18,478,479,1
2020-05-19,500,561,61
2020-05-20,551.883,664,112.117
2020-05-21,606.14,760,153.86
2020-05-22,662.879,855,192.121
2020-05-23,722.214,931,208.786
2020-05-24,784.263,1019,234.737
2020-05-25,849.152,1065,215.848
2020-05-26,917.009,1126,208.991
2020-05-27,987.97,1208,220.03
2020-05-28,1062.18,1258,195.822
2020-05-29,1139.78,1419,279.218
2020-05-30,1220.94,1524,303.065
2020-05-31,1305.8,1574,268.199
2020-06-01,1394.55,1659,264.45
2020-06-02,1487.36,1706,218.64
2020-06-03,1584.42,1791,206.585
2020-06-04,1685.91,1942,256.089
