Data,Saida_Estimada,Data
2020-04-06,2,2020-04-06
2020-04-07,2,2020-04-07
2020-04-08,1,2020-04-08
2020-04-09,2,2020-04-09
2020-04-10,2,2020-04-10
2020-04-11,2,2020-04-11
2020-04-12,2,2020-04-12
2020-04-13,4,2020-04-13
2020-04-14,5,2020-04-14
2020-04-15,7,2020-04-15
2020-04-16,8,2020-04-16
2020-04-17,8,2020-04-17
2020-04-18,8,2020-04-18
2020-04-19,11,2020-04-19
2020-04-20,12,2020-04-20
2020-04-21,13,2020-04-21
2020-04-22,11,2020-04-22
2020-04-23,11,2020-04-23
2020-04-24,13,2020-04-24
2020-04-25,12,2020-04-25
2020-04-26,17,2020-04-26
2020-04-27,15,2020-04-27
2020-04-28,16,2020-04-28
2020-04-29,17,2020-04-29
2020-04-30,19,2020-04-30
2020-05-01,21,2020-05-01
2020-05-02,21,2020-05-02
2020-05-03,21,2020-05-03
2020-05-04,22,2020-05-04
2020-05-05,25,2020-05-05
2020-05-06,27,2020-05-06
2020-05-07,28,2020-05-07
2020-05-08,29,2020-05-08
2020-05-09,32,2020-05-09
2020-05-10,33,2020-05-10
2020-05-11,43,2020-05-11
2020-05-12,45,2020-05-12
2020-05-13,54,2020-05-13
2020-05-14,55,2020-05-14
2020-05-15,63,2020-05-15
2020-05-16,68,2020-05-16
2020-05-17,73,2020-05-17
2020-05-18,75,2020-05-18
2020-05-19,80,2020-05-19
2020-05-20,86,2020-05-20
2020-05-21,93,2020-05-21
2020-05-22,97,2020-05-22
2020-05-23,102,2020-05-23
2020-05-24,106,2020-05-24
2020-05-25,111,2020-05-25
2020-05-26,113,2020-05-26
2020-05-27,117,2020-05-27
2020-05-28,122,2020-05-28
2020-05-29,129,2020-05-29
2020-05-30,131,2020-05-30
2020-05-31,133,2020-05-31
2020-06-01,135,2020-06-01
2020-06-02,141,2020-06-02
2020-06-03,143,2020-06-03
2020-06-04,147,2020-06-04
'2020-06-05',146,+
'2020-06-06',145,+
'2020-06-07',144,+
'2020-06-08',144,+
'2020-06-09',143,+
'2020-06-10',142,+
'2020-06-11',141,+
'2020-06-12',141,+
'2020-06-13',140,+
'2020-06-14',139,+
'2020-06-15',139,+
'2020-06-16',138,+
'2020-06-17',137,+
'2020-06-18',137,+
'2020-06-19',136,+
