Data,Saida_Estimada,Saida,Erro
2020-03-27,0,0,0
2020-03-28,0,0,0
2020-03-29,0,0,0
2020-03-30,0,0,0
2020-03-31,0,0,0
2020-04-01,0,0,0
2020-04-02,0,0,0
2020-04-03,0,0,0
2020-04-04,0,0,0
2020-04-05,0,1,1
2020-04-06,1,1,0
2020-04-07,1,2,1
2020-04-08,2,2,0
2020-04-09,2,2,0
2020-04-10,2,2,0
2020-04-11,2,3,1
2020-04-12,3,4,1
2020-04-13,4,6,2
2020-04-14,6,6,0
2020-04-15,6,6,0
2020-04-16,6,7,1
2020-04-17,7,7,0
2020-04-18,7,8,1
2020-04-19,8,8,0
2020-04-20,8,8,0
2020-04-21,8,8,0
2020-04-22,8,8,0
2020-04-23,8,8,0
2020-04-24,8,8,0
2020-04-25,8,8,0
2020-04-26,8,8,0
2020-04-27,8,12,4
2020-04-28,13,12,-1
2020-04-29,12,13,1
2020-04-30,13,13,0
2020-05-01,13,15,2
2020-05-02,15,19,4
2020-05-03,20,21,1
2020-05-04,22,22,0
2020-05-05,22,26,4
2020-05-06,27,27,0
2020-05-07,27,28,1
2020-05-08,28,31,3
2020-05-09,32,34,2
2020-05-10,35,39,4
2020-05-11,41,44,3
2020-05-12,46,46,+
2020-05-13,47,48,1
2020-05-14,49,52,3
2020-05-15,54,58,4
2020-05-16,61,62,1
2020-05-17,64,69,5
2020-05-18,72,77,5
2020-05-19,81,82,1
2020-05-20,85,86,1
2020-05-21,88,86,-2
2020-05-22,87,94,7
2020-05-23,98,101,3
2020-05-24,105,106,1
2020-05-25,109,111,2
2020-05-26,114,118,4
2020-05-27,122,124,2
2020-05-28,128,128,+
2020-05-29,131.588,138,6.41208
2020-05-30,135.079,143,7.92102
2020-05-31,138.59,150,11.4097
2020-06-01,142.166,159,16.8336
2020-06-02,145.825,166,20.175
2020-06-03,149.574,174,24.4258
2020-06-04,153.418,186,32.5815
2020-06-05,157.361,193,35.6389
2020-06-06,161.405,197,35.5952
2020-06-07,165.552,203,37.4476
2020-06-08,169.807,206,36.1935
2020-06-09,174.17,210,35.83
2020-06-10,178.646,215,36.3545
2020-06-11,183.236,224,40.7639
2020-06-12,187.945,226,38.0554
2020-06-13,192.774,1,-191.774
