Data,Saida_Estimada,Data
2020-04-14,1,2020-04-14
2020-04-15,1,2020-04-15
2020-04-16,2,2020-04-16
2020-04-17,2,2020-04-17
2020-04-18,2,2020-04-18
2020-04-19,3,2020-04-19
2020-04-20,3,2020-04-20
2020-04-21,4,2020-04-21
2020-04-22,9,2020-04-22
2020-04-23,9,2020-04-23
2020-04-24,11,2020-04-24
2020-04-25,18,2020-04-25
2020-04-26,20,2020-04-26
2020-04-27,21,2020-04-27
2020-04-28,27,2020-04-28
2020-04-29,32,2020-04-29
2020-04-30,34,2020-04-30
2020-05-01,41,2020-05-01
2020-05-02,40,2020-05-02
2020-05-03,42,2020-05-03
2020-05-04,45,2020-05-04
2020-05-05,45,2020-05-05
2020-05-06,46,2020-05-06
2020-05-07,48,2020-05-07
2020-05-08,49,2020-05-08
2020-05-09,49,2020-05-09
2020-05-10,51,2020-05-10
2020-05-11,56,2020-05-11
2020-05-12,56,2020-05-12
2020-05-13,55,2020-05-13
2020-05-14,57,2020-05-14
2020-05-15,61,2020-05-15
2020-05-16,55,2020-05-16
2020-05-17,61,2020-05-17
2020-05-18,64,2020-05-18
2020-05-19,63,2020-05-19
2020-05-20,70,2020-05-20
2020-05-21,74,2020-05-21
2020-05-22,79,2020-05-22
2020-05-23,84,2020-05-23
2020-05-24,91,2020-05-24
2020-05-25,92,2020-05-25
2020-05-26,98,2020-05-26
2020-05-27,101,2020-05-27
2020-05-28,113,2020-05-28
2020-05-29,125,2020-05-29
2020-05-30,138,2020-05-30
2020-05-31,139,2020-05-31
2020-06-01,139,2020-06-01
2020-06-02,147,2020-06-02
2020-06-03,152,2020-06-03
2020-06-04,158,2020-06-04
'2020-06-05',177,+
'2020-06-06',200,+
'2020-06-07',225,+
'2020-06-08',254,+
'2020-06-09',286,+
'2020-06-10',322,+
'2020-06-11',363,+
'2020-06-12',409,+
'2020-06-13',461,+
'2020-06-14',520,+
'2020-06-15',586,+
'2020-06-16',660,+
'2020-06-17',743,+
'2020-06-18',837,+
'2020-06-19',943,+
