Data,Saida_Estimada,Saida,Erro
2020-03-27,0,0,0
2020-03-28,0,0,0
2020-03-29,0,0,0
2020-03-30,0,0,0
2020-03-31,0,0,0
2020-04-01,0,0,0
2020-04-02,0,0,0
2020-04-03,0,0,0
2020-04-04,0,0,0
2020-04-05,0,0,0
2020-04-06,0,0,0
2020-04-07,0,0,0
2020-04-08,0,0,0
2020-04-09,0,0,0
2020-04-10,0,0,0
2020-04-11,0,0,0
2020-04-12,0,0,0
2020-04-13,0,0,0
2020-04-14,0,0,0
2020-04-15,0,0,0
2020-04-16,0,1,1
2020-04-17,0,1,1
2020-04-18,1,2,1
2020-04-19,2,3,1
2020-04-20,3,3,0
2020-04-21,3,4,1
2020-04-22,4,4,0
2020-04-23,4,4,0
2020-04-24,4,4,0
2020-04-25,4,4,0
2020-04-26,4,8,4
2020-04-27,8,8,0
2020-04-28,8,15,7
2020-04-29,15,26,11
2020-04-30,26,27,1
2020-05-01,28,32,4
2020-05-02,33,33,0
2020-05-03,34,34,0
2020-05-04,35,36,1
2020-05-05,37,40,3
2020-05-06,41,41,0
2020-05-07,42,47,5
2020-05-08,48,53,5
2020-05-09,54,66,12
2020-05-10,68,75,7
2020-05-11,77,79,2
2020-05-12,82,88,6
2020-05-13,91,103,12
2020-05-14,106,110,4
2020-05-15,114,122,8
2020-05-16,126,138,12
2020-05-17,143,149,6
2020-05-18,154,153,-1
2020-05-19,159,164,5
2020-05-20,170,188,18
2020-05-21,194,193,-1
2020-05-22,201,214,13
2020-05-23,222,226,4
2020-05-24,235,228,-7
2020-05-25,237,247,10
2020-05-26,256,258,2
2020-05-27,268,274,6
2020-05-28,285,280,-5
2020-05-29,291,299,8
2020-05-30,310,313,3
2020-05-31,325,322,-3
2020-06-01,335,326,-9
2020-06-02,340,332,-8
2020-06-03,346,358,12
2020-06-04,372,364,-8
2020-06-05,379,387,8
2020-06-06,402,404,2
2020-06-07,420,443,23
2020-06-08,460,449,-11
2020-06-09,468,464,-4
2020-06-10,483,507,24
2020-06-11,526,553,27
2020-06-12,574,569,-5
2020-06-13,592,591,-1
2020-06-14,615,616,1
2020-06-15,641,622,-19
2020-06-16,648,660,12
2020-06-17,686,694,8
2020-06-18,722,724,2
2020-06-19,753,738,-15
2020-06-20,769,835,66
2020-06-21,865,858,-7
2020-06-22,894,910,16
2020-06-23,946,930,-16
2020-06-24,985.22,980,-5.22022
2020-06-25,1025.96,1035,9.03784
2020-06-26,1068.39,1095,26.6051
2020-06-27,1112.58,1128,15.4176
2020-06-28,1158.6,1187,28.4027
2020-06-29,1206.52,1227,20.4846
2020-06-30,1256.42,1265,8.58465
2020-07-01,1308.38,1394,85.6209
2020-07-02,1362.49,1438,75.5081
2020-07-03,1418.84,1475,56.1572
2020-07-04,1477.52,1525,47.4757
2020-07-05,1538.63,1557,18.3672
2020-07-06,1602.27,1574,-28.2687
2020-07-07,1668.54,1618,-50.5365
2020-07-08,1737.54,1679,-58.545
2020-07-09,1809.41,4.18968e-321,-1809.41
