Data,Saida_Estimada,Saida,Erro
2020-03-27,0,0,0
2020-03-28,1,1,0
2020-03-29,1,1,0
2020-03-30,1,1,0
2020-03-31,1,1,0
2020-04-01,1,1,0
2020-04-02,1,1,0
2020-04-03,1,1,0
2020-04-04,1,1,0
2020-04-05,1,1,0
2020-04-06,1,1,0
2020-04-07,1,1,0
2020-04-08,1,1,0
2020-04-09,1,1,0
2020-04-10,1,1,0
2020-04-11,1,1,0
2020-04-12,1,1,0
2020-04-13,1,2,1
2020-04-14,2,2,0
2020-04-15,2,2,0
2020-04-16,2,2,0
2020-04-17,2,2,0
2020-04-18,2,2,0
2020-04-19,2,2,0
2020-04-20,2,3,1
2020-04-21,3,3,0
2020-04-22,3,4,1
2020-04-23,4,4,0
2020-04-24,4,4,0
2020-04-25,4,4,0
2020-04-26,4,4,0
2020-04-27,4,4,0
2020-04-28,4,4,0
2020-04-29,4,4,0
2020-04-30,4,4,0
2020-05-01,4,4,0
2020-05-02,4,4,0
2020-05-03,4,4,0
2020-05-04,4,4,0
2020-05-05,4,5,1
2020-05-06,5,5,0
2020-05-07,5,5,+
2020-05-08,5,5,+
2020-05-09,5,5,+
2020-05-10,5,5,+
2020-05-11,5,5,+
2020-05-12,5,5,+
2020-05-13,5,6,1
2020-05-14,6,6,+
2020-05-15,6,6,+
2020-05-16,6,6,+
2020-05-17,6,7,1
2020-05-18,7,8,1
2020-05-19,8,9,1
2020-05-20,9,9,+
2020-05-21,9,9,+
2020-05-22,9,9,+
2020-05-23,9,10,1
2020-05-24,10,12,2
2020-05-25,12,12,+
2020-05-26,12,13,1
2020-05-27,13,15,2
2020-05-28,15,15,+
2020-05-29,15,15,+
2020-05-30,15,16,1
2020-05-31,16,16,+
2020-06-01,16,16,+
2020-06-02,16,18,2
2020-06-03,18,19,1
2020-06-04,19,19,+
2020-06-05,19,20,1
2020-06-06,20,23,3
2020-06-07,23,25,2
2020-06-08,25,26,1
2020-06-09,26,27,1
2020-06-10,27,30,3
2020-06-11,30,30,+
2020-06-12,30,30,+
2020-06-13,30,35,5
2020-06-14,36,37,1
2020-06-15,38,38,+
2020-06-16,39,40,1
2020-06-17,41,40,-1
2020-06-18,41,43,2
2020-06-19,44,44,+
2020-06-20,45,48,3
2020-06-21,49,52,3
2020-06-22,53,54,1
2020-06-23,55,56,1
2020-06-24,57,59,2
2020-06-25,60,59,-1
2020-06-26,60,60,+
2020-06-27,61,60,-1
2020-06-28,61,65,4
2020-06-29,66,68,2
2020-06-30,69,71,2
2020-07-01,73,72,-1
2020-07-02,74,72,-2
2020-07-03,73,75,2
2020-07-04,77,76,-1
2020-07-05,78,78,+
2020-07-06,80.2195,81,0.780452
2020-07-07,82.5096,82,-0.509568
2020-07-08,84.8653,84,-0.865281
2020-07-09,87.2883,89,1.71174
2020-07-10,89.7804,90,0.219572
2020-07-11,92.3437,92,-0.343745
2020-07-12,94.9802,95,0.0197529
2020-07-13,97.692,96,-1.69202
2020-07-14,100.481,98,-2.48122
2020-07-15,103.35,98,-5.35006
2020-07-16,106.301,98,-8.3008
2020-07-17,109.336,104,-5.33579
2020-07-18,112.457,105,-7.45743
2020-07-19,115.668,106,-9.6682
2020-07-20,118.971,108,-10.9706
2020-07-21,122.367,8.06613e-308,-122.367
