Data,Saida_Estimada,Saida,Erro
2020-03-28,0,0,0
2020-03-29,0,1,1
2020-03-30,0,1,1
2020-03-31,1,1,0
2020-04-01,1,1,0
2020-04-02,1,1,0
2020-04-03,1,3,2
2020-04-04,2,3,1
2020-04-05,3,3,0
2020-04-06,3,3,0
2020-04-07,3,3,0
2020-04-08,3,5,2
2020-04-09,4,5,1
2020-04-10,5,5,0
2020-04-11,5,7,2
2020-04-12,6,7,1
2020-04-13,7,8,1
2020-04-14,8,7,-1
2020-04-15,7,7,0
2020-04-16,7,7,0
2020-04-17,7,9,2
2020-04-18,9,9,0
2020-04-19,9,9,0
2020-04-20,9,9,0
2020-04-21,9,9,0
2020-04-22,9,9,0
2020-04-23,9,9,0
2020-04-24,9,10,1
2020-04-25,10,10,0
2020-04-26,10,11,1
2020-04-27,11,11,0
2020-04-28,11,12,1
2020-04-29,12,14,2
2020-04-30,14,15,1
2020-05-01,15,15,0
2020-05-02,15,16,1
2020-05-03,16,17,1
2020-05-04,17,17,0
2020-05-05,17,19,2
2020-05-06,19,20,1
2020-05-07,20,21,1
2020-05-08,21,21,+
2020-05-09,22,24,2
2020-05-10,24,24,+
2020-05-11,25,26,1
2020-05-12,26,28,2
2020-05-13,29,33,4
2020-05-14,33,33,+
2020-05-15,34,34,+
2020-05-16,35,40,5
2020-05-17,40,40,+
2020-05-18,42,41,-1
2020-05-19,43,44,1
2020-05-20,44.3915,47,2.60854
2020-05-21,47.1134,51,3.88661
2020-05-22,49.6513,52,2.34875
2020-05-23,52.3808,52,-0.380784
2020-05-24,55.2171,53,-2.21709
2020-05-25,58.1879,57,-1.18792
2020-05-26,61.2939,60,-1.29386
2020-05-27,64.5425,67,2.45753
2020-05-28,67.94,67,-0.939961
2020-05-29,71.4932,73,1.50677
2020-05-30,75.2094,85,9.79059
2020-05-31,79.096,85,5.90404
2020-06-01,83.1607,88,4.83929
2020-06-02,87.4118,93,5.58818
2020-06-03,91.8578,96,4.14217
2020-06-04,96.5077,101,4.49232
