Data,Saida_Estimada,Data
2020-03-28,42,2020-03-28
2020-03-29,42,2020-03-29
2020-03-30,62,2020-03-30
2020-03-31,63,2020-03-31
2020-04-01,65,2020-04-01
2020-04-02,65,2020-04-02
2020-04-03,86,2020-04-03
2020-04-04,82,2020-04-04
2020-04-05,110,2020-04-05
2020-04-06,109,2020-04-06
2020-04-07,110,2020-04-07
2020-04-08,154,2020-04-08
2020-04-09,238,2020-04-09
2020-04-10,256,2020-04-10
2020-04-11,368,2020-04-11
2020-04-12,400,2020-04-12
2020-04-13,455,2020-04-13
2020-04-14,565,2020-04-14
2020-04-15,580,2020-04-15
2020-04-16,718,2020-04-16
2020-04-17,789,2020-04-17
2020-04-18,1019,2020-04-18
2020-04-19,1212,2020-04-19
2020-04-20,1290,2020-04-20
2020-04-21,1439,2020-04-21
2020-04-22,1406,2020-04-22
2020-04-23,1670,2020-04-23
2020-04-24,1840,2020-04-24
2020-04-25,2004,2020-04-25
2020-04-26,2285,2020-04-26
2020-04-27,2458,2020-04-27
2020-04-28,2499,2020-04-28
2020-04-29,2693,2020-04-29
2020-04-30,2976,2020-04-30
2020-05-01,3163,2020-05-01
2020-05-02,3360,2020-05-02
2020-05-03,3425,2020-05-03
2020-05-04,3584,2020-05-04
2020-05-05,3685,2020-05-05
2020-05-06,3754,2020-05-06
2020-05-07,4001,2020-05-07
2020-05-08,4065,2020-05-08
2020-05-09,4251,2020-05-09
2020-05-10,4456,2020-05-10
2020-05-11,4632,2020-05-11
2020-05-12,4752,2020-05-12
2020-05-13,4928,2020-05-13
2020-05-14,5209,2020-05-14
2020-05-15,5420,2020-05-15
2020-05-16,5498,2020-05-16
2020-05-17,5844,2020-05-17
2020-05-18,6058,2020-05-18
2020-05-19,6237,2020-05-19
2020-05-20,6461,2020-05-20
2020-05-21,6697,2020-05-21
2020-05-22,6942,2020-05-22
2020-05-23,7197,2020-05-23
2020-05-24,7462,2020-05-24
2020-05-25,7737,2020-05-25
2020-05-26,8022,2020-05-26
2020-05-27,8317,2020-05-27
2020-05-28,8623,2020-05-28
2020-05-29,8941,2020-05-29
2020-05-30,9270,2020-05-30
2020-05-31,9612,2020-05-31
2020-06-01,9966,2020-06-01
2020-06-02,10333,2020-06-02
2020-06-03,10713,2020-06-03
