Data,Saida_Estimada,Saida,Erro
2020-03-28,13,13,0
2020-03-29,-54,13,67
2020-03-30,-54,13,67
2020-03-31,-54,16,70
2020-04-01,-51,17,68
2020-04-02,-50,20,70
2020-04-03,-63,21,84
2020-04-04,-67,23,90
2020-04-05,-81,27,108
2020-04-06,-81,27,108
2020-04-07,-92,30,122
2020-04-08,-110,30,140
2020-04-09,-110,32,142
2020-04-10,-124,33,157
2020-04-11,-122,33,155
2020-04-12,-133,35,168
2020-04-13,-136,35,171
2020-04-14,-136,36,172
2020-04-15,-146,37,183
2020-04-16,-145,38,183
2020-04-17,-149,42,191
2020-04-18,-150,55,205
2020-04-19,-140,60,200
2020-04-20,-158,63,221
2020-04-21,-224,64,288
2020-04-22,-248,78,326
2020-04-23,-248,80,328
2020-04-24,-252,99,351
2020-04-25,-305,105,410
2020-04-26,-310,107,417
2020-04-27,-410,137,547
2020-04-28,-405,203,608
2020-04-29,-344,236,580
2020-04-30,-474,321,795
2020-05-01,-730,370,1100
2020-05-02,-853,422,1275
2020-05-03,-1250,512,1762
2020-05-04,-1405,551,1956
2020-05-05,-1644,655,2299
2020-05-06,-2004,736,2740
2020-05-07,-2123,915,3038
2020-05-08,-2478,1101,3579
2020-05-09,-2709,1213,3922
2020-05-10,-3550,1348,4898
2020-05-11,-4382,1369,5751
2020-05-12,-4952,1552,6504
2020-05-13,-5453,1724,7177
2020-05-14,-5376,1888,7264
2020-05-15,-6184,2128,8312
2020-05-16,-6828,2320,9148
2020-05-17,-7494,2409,9903
2020-05-18,-8679,2567,11246
2020-05-19,-9507,2806,12313
2020-05-20,-9707,3007,12714
2020-05-21,-10340,3203,13543
2020-05-22,-11399,3309,14708
2020-05-23,-29202.1,3449,32651.1
2020-05-24,-48750.9,3561,52311.9
2020-05-25,9049.78,3643,-5406.78
2020-05-26,171140,3834,-167306
2020-05-27,451760,3938,-447822
2020-05-28,442000,4095,-437905
2020-05-29,-463457,4282,467739
2020-05-30,-2.9787e+06,4459,2.98316e+06
2020-05-31,-5.66138e+06,4596,5.66597e+06
2020-06-01,-3.58345e+06,4757,3.5882e+06
2020-06-02,1.24589e+07,4996,-1.24539e+07
2020-06-03,4.4606e+07,5213,-4.46008e+07
2020-06-04,6.80004e+07,5335,-6.79951e+07
2020-06-05,5.33387e+06,5604,-5.32827e+06
2020-06-06,-2.39183e+08,5833,2.39189e+08
2020-06-07,-6.32551e+08,6026,6.32557e+08
