Data,Saida_Estimada,Saida,Erro
2020-03-27,0,0,0
2020-03-28,25,25,0
2020-03-29,34,34,0
2020-03-30,42,42,0
2020-03-31,42,42,0
2020-04-01,43,43,0
2020-04-02,43,43,0
2020-04-03,46,46,0
2020-04-04,46,46,0
2020-04-05,48,48,0
2020-04-06,48,50,2
2020-04-07,51,50,-1
2020-04-08,50,54,4
2020-04-09,56,62,6
2020-04-10,66,70,4
2020-04-11,74,72,-2
2020-04-12,73,77,4
2020-04-13,80,88,8
2020-04-14,94,97,3
2020-04-15,102,99,-3
2020-04-16,100,108,8
2020-04-17,113,133,20
2020-04-18,148,140,-8
2020-04-19,144,158,14
2020-04-20,169,171,2
2020-04-21,179,190,11
2020-04-22,201,209,8
2020-04-23,221,222,1
2020-04-24,230,229,-1
2020-04-25,234,253,19
2020-04-26,268,274,6
2020-04-27,287,296,9
2020-04-28,310,306,-4
2020-04-29,313,345,32
2020-04-30,369,389,20
2020-05-01,416,462,46
2020-05-02,506,529,23
2020-05-03,570,632,62
2020-05-04,694,707,13
2020-05-05,753,774,21
2020-05-06,816,896,80
2020-05-07,970,964,-6
2020-05-08,1008,1104,96
2020-05-09,1190,1254,64
2020-05-10,1346,1337,-9
2020-05-11,1391,1344,-47
2020-05-12,1354,1455,101
2020-05-13,1526,1516,-10
2020-05-14,1558,1538,-20
2020-05-15,1558,1558,+
2020-05-16,1577,1580,3
2020-05-17,1600,1701,101
2020-05-18,1779,1931,152
2020-05-19,2073,2128,55
2020-05-20,2252,2358,106
2020-05-21,2502,2559,57
2020-05-22,2687,2679,-8
2020-05-23,2761,3145,384
2020-05-24,3429,3426,-3
2020-05-25,3605,3754,149
2020-05-26,3961,4005,44
2020-05-27,4169,4346,177
2020-05-28,4564,4527,-37
2020-05-29,4653,4712,59
2020-05-30,4841,4876,35
2020-05-31,4994,4982,-12
2020-06-01,5067,5068,1
2020-06-02,5142,5159,17
2020-06-03,5236,5221,-15
2020-06-04,5282,5408,126
2020-06-05,5542,5522,-20
2020-06-06,5614,5583,-31
2020-06-07,5645,5652,7
2020-06-08,5719,5754,35
2020-06-09,5840,5901,61
2020-06-10,6014,5938,-76
2020-06-11,5988,6211,223
2020-06-12,6399,6361,-38
2020-06-13,6478,6545,67
2020-06-14,6683,6601,-82
2020-06-15,6665,6715,50
2020-06-16,6813,6899,86
2020-06-17,7038,7118,80
2020-06-18,7279,7250,-29
2020-06-19,7361,7447,86
2020-06-20,7597,7628,31
2020-06-21,7769,7739,-30
2020-06-22,7840,7841,1
2020-06-23,7938,8017,79
2020-06-24,8157,8120,-37
2020-06-25,8218,8334,116
2020-06-26,8498,8518,20
2020-06-27,8665,8736,71
2020-06-28,8904,8855,-49
2020-06-29,8966,8896,-70
2020-06-30,8962,8992,30
2020-07-01,9091,9226,135
2020-07-02,9406,9413,7
2020-07-03,9555.77,9475,-80.7707
2020-07-04,9688.78,9671,-17.7847
2020-07-05,9812.75,9779,-33.7531
2020-07-06,9932.09,9830,-102.091
2020-07-07,10049.3,9940,-109.331
2020-07-08,10165.9,10134,-31.9269
2020-07-09,10282.7,10309,26.2843
2020-07-10,10400.2,10472,71.8167
2020-07-11,10518.6,10583,64.3863
2020-07-12,10638.2,10651,12.824
2020-07-13,10759,10706,-52.9734
2020-07-14,10881.1,10810,-71.0715
2020-07-15,11004.5,10898,-106.515
2020-07-16,11129.3,10991,-138.335
2020-07-17,11255.6,11053,-202.558
2020-07-18,11383.2,3.24156e-320,-11383.2
