Data,Saida_Estimada,Saida,Erro
2020-03-27,0,0,0
2020-03-28,0,0,0
2020-03-29,0,0,0
2020-03-30,0,0,0
2020-03-31,0,0,0
2020-04-01,0,0,0
2020-04-02,0,0,0
2020-04-03,0,0,0
2020-04-04,0,0,0
2020-04-05,0,0,0
2020-04-06,0,1,1
2020-04-07,1,1,0
2020-04-08,1,1,0
2020-04-09,1,1,0
2020-04-10,1,3,2
2020-04-11,3,3,0
2020-04-12,3,3,0
2020-04-13,3,3,0
2020-04-14,3,7,4
2020-04-15,7,3,-4
2020-04-16,2,3,1
2020-04-17,3,3,0
2020-04-18,3,3,0
2020-04-19,3,3,0
2020-04-20,3,3,0
2020-04-21,3,3,0
2020-04-22,3,3,0
2020-04-23,3,3,0
2020-04-24,3,3,0
2020-04-25,3,3,0
2020-04-26,3,4,1
2020-04-27,4,4,0
2020-04-28,4,4,0
2020-04-29,4,4,0
2020-04-30,4,5,1
2020-05-01,5,5,0
2020-05-02,5,6,1
2020-05-03,6,6,0
2020-05-04,6,8,2
2020-05-05,8,12,4
2020-05-06,12,15,3
2020-05-07,15,14,-1
2020-05-08,14,15,1
2020-05-09,15,15,+
2020-05-10,15,15,+
2020-05-11,15,15,+
2020-05-12,15,16,1
2020-05-13,16,18,2
2020-05-14,18,20,2
2020-05-15,20,22,2
2020-05-16,22,22,+
2020-05-17,22,22,+
2020-05-18,22,22,+
2020-05-19,22,22,+
2020-05-20,22,28,6
2020-05-21,29,29,+
2020-05-22,29,29,+
2020-05-23,29,32,3
2020-05-24,32,32,+
2020-05-25,32,36,4
2020-05-26,37,39,2
2020-05-27,40,41,1
2020-05-28,41,42,1
2020-05-29,42,47,5
2020-05-30,48,47,-1
2020-05-31,47,47,+
2020-06-01,47,49,2
2020-06-02,50,53,3
2020-06-03,54,55,1
2020-06-04,56,95,39
2020-06-05,101,111,10
2020-06-06,114,133,19
2020-06-07,138,154,16
2020-06-08,159,198,39
2020-06-09,206,206,+
2020-06-10,210,243,33
2020-06-11,251,259,8
2020-06-12,265,270,5
2020-06-13,275,279,4
2020-06-14,284,274,-10
2020-06-15,277,280,3
2020-06-16,285,319,34
2020-06-17,329,327,-2
2020-06-18,333,340,7
2020-06-19,347,348,1
2020-06-20,354,357,3
2020-06-21,364,359,-5
2020-06-22,365,385,20
2020-06-23,394,400,6
2020-06-24,408,429,21
2020-06-25,439,448,9
2020-06-26,457,504,47
2020-06-27,519,504,-15
2020-06-28,512,515,3
2020-06-29,525,547,22
2020-06-30,560,583,23
2020-07-01,597,604,7
2020-07-02,616,643,27
2020-07-03,658,646,-12
2020-07-04,657,676,19
2020-07-05,669.397,679,9.60291
2020-07-06,682.181,685,2.8192
2020-07-07,695.228,700,4.77211
2020-07-08,708.527,726,17.4731
2020-07-09,722.081,732,9.91931
2020-07-10,735.894,764,28.1062
2020-07-11,749.971,781,31.0289
2020-07-12,764.318,793,28.6823
2020-07-13,778.939,803,24.0613
2020-07-14,793.839,828,34.1606
2020-07-15,809.025,857,47.9748
2020-07-16,824.502,928,103.498
2020-07-17,840.274,931,90.7262
2020-07-18,856.348,931,74.6521
2020-07-19,872.729,931,58.2706
2020-07-20,889.424,1.05187e-320,-889.424
